problem,family,run,seed,seedIndex,generation,FE,source,seedFeasible,prob,absProbHalf,queryScore,disagreement,paretoValue,reliability,boundaryTrust,utility,localEvalCount,feasibleForwardSuccess,ubySuccess,frrSuccess,initialBracketGap,bracketGap,shrinkSuccess,tightSuccess,hardNegativeConfirmed,tightenBracket,tightBracket,m2Success,m3Success,m3Downstream,m4Success,m4Tight,m4Recover
MW1_BC,MW_BC,1,1703,13,79,16024,1,0,0.505951968586,0.00595196858600044,0.988096062827999,0.00549026208668794,0,1,0.988096062827999,0.988096062827999,1,0,0,0,0.02,0.00460078724845926,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,14,80,16230,1,0,0.494667359376607,0.0053326406233925,0.989334718753215,0.00236066971670956,0,1,0.989334718753215,0.989334718753215,1,0,0,0,0.02,0.0040523920409318,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,15,80,16230,1,0,0.523790283472067,0.0237902834720671,0.952419433055866,4.33682805060011e-05,0,1,0.952419433055866,0.952419433055866,1,0,0,0,0.02,0.00131540975676325,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,16,80,16230,1,0,0.470997408172626,0.0290025918273742,0.941994816345252,0.00251600090383188,0,1,0.941994816345252,0.941994816345252,1,0,0,0,0.02,0.00307107689742197,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,17,81,16432,1,0,0.497460559203743,0.0025394407962569,0.994921118407486,0.00926049712498923,0,1,0.994921118407486,0.994921118407486,1,0,0,0,0.02,0.00165289465694906,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,18,83,16834,1,0,0.479375778914579,0.0206242210854208,0.958751557829158,0.000755387924950199,0,1,0.958751557829158,0.958751557829158,1,0,0,1,0.02,0.000724092562040684,1,1,1,1,1,1,0,0,1,1,1
MW1_BC,MW_BC,1,1703,19,84,17035,1,1,0.508969148911879,0.00896914891187939,0.982061702176241,0.000266251007076473,0,1,0.982061702176241,0.982061702176241,0,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,20,85,17238,1,0,0.500537425740066,0.000537425740065767,0.998925148519868,0.00156617344562463,0,1,0.998925148519868,0.998925148519868,1,0,0,0,0.02,0.000580338156518987,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,21,85,17238,1,1,0.509295832099863,0.00929583209986296,0.981408335800274,0.00024910636880734,0,1,0.981408335800274,0.981408335800274,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,22,86,17440,1,1,0.498840858626032,0.001159141373968,0.997681717252064,0.000294996127487096,0,1,0.997681717252064,0.997681717252064,0,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,23,86,17440,1,1,0.522991391935795,0.0229913919357948,0.95401721612841,0.0029010368695273,0,1,0.95401721612841,0.95401721612841,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,24,87,17641,1,1,0.512148736459148,0.0121487364591483,0.975702527081703,0.00131697042064351,0,1,0.975702527081703,0.975702527081703,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,25,88,17845,1,1,0.475881560490933,0.0241184395090668,0.951763120981866,0.00230209260007316,0,1,0.951763120981866,0.951763120981866,0,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,26,88,17845,1,1,0.475098132599998,0.0249018674000017,0.950196265199997,0.000499607592466988,0,1,0.950196265199997,0.950196265199997,0,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,27,88,17845,1,0,0.451573612889972,0.0484263871100277,0.903147225779945,0.000391385122591461,0,1,0.903147225779945,0.903147225779945,1,0,0,0,0.02,0.000936343106109852,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,28,89,18051,1,0,0.498855105611673,0.00114489438832738,0.997710211223345,0.00142363525518393,0,1,0.997710211223345,0.997710211223345,1,0,0,0,0.02,0.00107724813816451,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,29,89,18051,1,1,0.508128867931245,0.00812886793124457,0.983742264137511,0.00071722314296916,0,1,0.983742264137511,0.983742264137511,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,30,89,18051,1,0,0.491419361707349,0.0085806382926506,0.982838723414699,0.000676940330917815,0,1,0.982838723414699,0.982838723414699,1,0,0,1,0.02,0.00452685206165755,1,1,1,1,1,1,0,0,1,1,1
MW1_BC,MW_BC,1,1703,31,89,18051,1,1,0.474456340682613,0.0255436593173874,0.948912681365225,2.9134265779592e-05,0,1,0.948912681365225,0.948912681365225,0,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,32,90,18256,1,1,0.508128867931245,0.00812886793124457,0.983742264137511,0.00071722314296916,0,1,0.983742264137511,0.983742264137511,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,33,90,18256,1,1,0.490352525447009,0.00964747455299092,0.980705050894018,0.000333459053851518,0,1,0.980705050894018,0.980705050894018,0,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,34,90,18256,1,0,0.487598692807929,0.0124013071920715,0.975197385615857,0.000285744631673274,0,1,0.975197385615857,0.975197385615857,1,0,0,0,0.02,0.00455188876381265,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,35,90,18256,1,1,0.476472452362521,0.0235275476374792,0.952944904725042,2.10505561901582e-06,0,1,0.952944904725042,0.952944904725042,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,36,91,18462,1,1,0.501172085124341,0.00117208512434086,0.997655829751318,4.92231756475423e-05,0,1,0.997655829751318,0.997655829751318,0,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,37,91,18462,1,0,0.501589978037436,0.00158997803743588,0.996820043925128,0.0014047951357631,0,1,0.996820043925128,0.996820043925128,1,0,0,0,0.02,0.000691397120524713,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,38,91,18462,1,1,0.503781222025325,0.00378122202532538,0.992437555949349,0.000521208543936399,0,1,0.992437555949349,0.992437555949349,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,39,91,18462,1,0,0.472443927808749,0.0275560721912514,0.944887855617497,0.00422686535496195,0,1,0.944887855617497,0.944887855617497,1,0,0,0,0.02,0.00404389412400108,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,40,92,18665,1,0,0.496237847622841,0.0037621523771591,0.992475695245682,0.00223224093646176,0,1,0.992475695245682,0.992475695245682,1,0,0,0,0.02,0.00678063686707982,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,41,92,18665,1,1,0.47991872386047,0.0200812761395303,0.959837447720939,0.000765660556647396,0,1,0.959837447720939,0.959837447720939,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,42,93,18869,1,0,0.497180216509097,0.00281978349090334,0.994360433018193,0.000403740096768301,0,1,0.994360433018193,0.994360433018193,1,0,0,0,0.02,0.00646983524324622,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,43,93,18869,1,1,0.47991872386047,0.0200812761395303,0.959837447720939,0.000765660556647396,0,1,0.959837447720939,0.959837447720939,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,44,93,18869,1,1,0.469946436303279,0.0300535636967214,0.939892872606557,0.00454565205152306,0,1,0.939892872606557,0.939892872606557,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,45,94,19070,1,1,0.502771122432952,0.00277112243295241,0.994457755134095,0.000427703012369415,0,1,0.994457755134095,0.994457755134095,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,46,95,19275,1,1,0.502771122432952,0.00277112243295241,0.994457755134095,0.000427703012369415,0,1,0.994457755134095,0.994457755134095,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,47,95,19275,1,1,0.505130169443517,0.00513016944351696,0.989739661112966,0.0117121077215171,0,1,0.989739661112966,0.989739661112966,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,48,95,19275,1,1,0.506265761509216,0.00626576150921576,0.987468476981568,0.00458693834753142,0,1,0.987468476981568,0.987468476981568,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,49,95,19275,1,1,0.482378187223485,0.0176218127765155,0.964756374446969,0.000124010296973048,0,1,0.964756374446969,0.964756374446969,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,50,95,19275,1,1,0.478014449194976,0.021985550805024,0.956028898389952,0.00710219314296787,0,1,0.956028898389952,0.956028898389952,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,51,96,19478,1,0,0.500864099459657,0.000864099459657486,0.998271801080685,0.000582270249087263,0,1,0.998271801080685,0.998271801080685,1,0,0,0,0.02,0.00207588963258466,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,52,96,19478,1,1,0.494463091557378,0.00553690844262156,0.988926183114757,0.000436675006542039,0,1,0.988926183114757,0.988926183114757,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,53,97,19680,1,1,0.496688708492021,0.00331129150797899,0.993377416984042,0.000179656480605526,0,1,0.993377416984042,0.993377416984042,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,54,97,19680,1,1,0.485076295107307,0.0149237048926933,0.970152590214613,0.00300064977929655,0,1,0.970152590214613,0.970152590214613,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,55,98,19883,1,0,0.498179953891787,0.00182004610821274,0.996359907783575,0.000343664286245714,0,1,0.996359907783575,0.996359907783575,1,0,0,0,0.02,0.0085748738974171,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,56,98,19883,1,1,0.465682237091025,0.0343177629089746,0.931364474182051,0.00236180108509072,0,1,0.931364474182051,0.931364474182051,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
