problem,variant,run,sharedSectorCount,activeSectorCount,gatePassedPairCount,positiveMarginPairCount,candidateCount,selectedCount,feasibleDescendantSeedCount,FSG,boundaryStarted,SAR,GPR,FDR,oracleCount,meanSelectedOracleDB,medianSelectedOracleDB,qpTauSelectedOracleDB
LIRCMOP1_BC,RandSectorPair,6,2331,2331,2331,2331,2331,2327,0,32,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,6,4910,4910,4910,4910,4910,4900,0,32,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,7,0,0,0,0,0,0,0,Inf,0,NaN,NaN,NaN,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,7,0,0,0,0,0,0,0,Inf,0,NaN,NaN,NaN,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,7,0,0,0,0,0,0,0,Inf,0,NaN,NaN,NaN,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,8,846,846,846,846,846,843,0,544,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,8,968,968,968,968,968,965,0,544,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,8,846,846,846,846,846,843,0,544,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,9,3849,3849,3849,3849,3849,3838,0,125,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,9,7496,7496,7496,7496,7496,7485,0,125,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,9,3880,3880,3880,3880,3880,3869,0,125,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,10,40,40,40,40,40,38,0,961,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,10,39,39,39,39,39,38,0,961,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,10,40,40,40,40,40,38,0,961,1,1,1,0,0,NaN,NaN,NaN
MW1_BC,MainBridge,1,5888,2264,2264,3353,2264,2263,860,66,1,0.384510869565217,0.675216224276767,0.380026513477685,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,1,6229,2474,2474,3726,2474,2471,959,71,1,0.397174506341307,0.663982823403113,0.388101983002833,0,NaN,NaN,NaN
MW1_BC,TopKPair,1,6269,2611,2611,4109,2611,2610,998,66,1,0.416493858669644,0.635434412265758,0.382375478927203,0,NaN,NaN,NaN
MW1_BC,MainBridge,2,6148,2277,2277,3300,2277,2270,842,71,1,0.370364346128822,0.69,0.370925110132159,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,2,6034,2398,2398,3575,2398,2396,1015,72,1,0.397414650314882,0.670769230769231,0.423622704507513,0,NaN,NaN,NaN
MW1_BC,TopKPair,2,6010,2495,2495,3627,2495,2490,984,71,1,0.415141430948419,0.687896333057623,0.395180722891566,0,NaN,NaN,NaN
MW1_BC,MainBridge,3,6592,2472,2472,3515,2472,2470,914,58,1,0.375,0.703271692745377,0.37004048582996,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,3,6342,2589,2589,3979,2589,2587,1081,57,1,0.408230842005676,0.650665996481528,0.417858523386162,0,NaN,NaN,NaN
MW1_BC,TopKPair,3,6048,2659,2659,3905,2659,2656,1092,58,1,0.439649470899471,0.680921895006402,0.411144578313253,0,NaN,NaN,NaN
MW1_BC,MainBridge,4,6362,2330,2330,3568,2330,2330,878,72,1,0.366237032379755,0.653026905829596,0.376824034334764,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,4,6184,2433,2433,3663,2433,2428,1014,69,1,0.39343467011643,0.664209664209664,0.417627677100494,0,NaN,NaN,NaN
MW1_BC,TopKPair,4,6248,2602,2602,3985,2602,2601,1097,72,1,0.416453265044814,0.652948557089084,0.421760861207228,0,NaN,NaN,NaN
MW1_BC,MainBridge,5,6003,2386,2386,3419,2386,2386,902,70,1,0.397467932700316,0.697864872769816,0.378038558256496,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,5,6204,2432,2432,3697,2432,2429,991,69,1,0.392005157962605,0.65783067351907,0.407986825854261,0,NaN,NaN,NaN
MW1_BC,TopKPair,5,6307,2554,2554,3957,2554,2550,1008,70,1,0.404946884414143,0.645438463482436,0.395294117647059,0,NaN,NaN,NaN
MW1_BC,MainBridge,6,6309,2342,2342,3501,2342,2339,890,74,1,0.371215723569504,0.668951728077692,0.380504489097905,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,6,6589,2608,2608,4044,2608,2606,1073,72,1,0.395811200485658,0.644906033630069,0.411742133537989,0,NaN,NaN,NaN
MW1_BC,TopKPair,6,6169,2422,2422,3797,2422,2420,963,74,1,0.392608202301832,0.637872004213853,0.397933884297521,0,NaN,NaN,NaN
MW1_BC,MainBridge,7,6056,2392,2392,3327,2392,2388,913,67,1,0.394980184940555,0.718966035467388,0.382328308207705,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,7,6289,2517,2517,3803,2517,2515,1029,68,1,0.400222610907934,0.661845911122798,0.409145129224652,0,NaN,NaN,NaN
MW1_BC,TopKPair,7,6162,2561,2561,3646,2561,2558,1087,67,1,0.415611814345992,0.702413603949534,0.424941360437842,0,NaN,NaN,NaN
MW1_BC,MainBridge,8,6296,2416,2416,3558,2416,2415,870,68,1,0.383735705209657,0.679033164699269,0.360248447204969,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,8,6548,2380,2380,3744,2380,2377,980,70,1,0.363469761759316,0.635683760683761,0.412284392090871,0,NaN,NaN,NaN
MW1_BC,TopKPair,8,6449,2696,2696,3838,2696,2693,1044,68,1,0.418049309970538,0.70244919228765,0.387671741552172,0,NaN,NaN,NaN
MW1_BC,MainBridge,9,6369,2456,2456,3539,2456,2454,948,64,1,0.385617836395038,0.693981350664029,0.386308068459658,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,9,6294,2534,2534,3802,2534,2532,1037,66,1,0.402605656180489,0.666491320357706,0.40955766192733,0,NaN,NaN,NaN
MW1_BC,TopKPair,9,6331,2564,2564,3802,2564,2560,1044,64,1,0.404991312588849,0.674381904260915,0.4078125,0,NaN,NaN,NaN
MW1_BC,MainBridge,10,6131,2339,2339,3545,2339,2338,881,68,1,0.381503832979938,0.659802538787024,0.376817792985458,0,NaN,NaN,NaN
MW1_BC,RandSectorPair,10,6072,2340,2340,3659,2340,2340,1002,71,1,0.385375494071146,0.639518994260727,0.428205128205128,0,NaN,NaN,NaN
MW1_BC,TopKPair,10,6325,2453,2453,3787,2453,2451,992,68,1,0.387826086956522,0.64774227620808,0.404732762137903,0,NaN,NaN,NaN
