variant,maxCandidatePairsPerRef,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
pair3,3,DASCMOP2_BC,2,30000,30196,137,117,1,0.39,117,0,0.00779346079416216,0.0304482061966225,117,20,3,0.0061246924566822,27.3504273504273,0.761266864639262,1.05960401938989,0,8,12,20,12,0.170940170940171,0.00794810251722612,0.0162887407199029,0,0.0162887407199029,NaN,0.5,0.0345464399194612,0.256410256410256,0.0115832971745353,0.0180467538160351,0.6,400,117,634,634,261,373,218,39,100,39,10880,0,117,117,117,117,117,117,117,117,117,0,20
pair3,3,DASCMOP2_BC,2,50000,50216,228,129,1,0.43,129,0,0.00246366291631881,0.00949459208045645,129,20,3,0.00675286604198293,24.8062015503876,0.689248295811219,1.04022176773406,0,3,17,20,3,0.155038759689922,0.0377906710908696,0.0764844236862795,0,0.0766644221947259,NaN,0.45,-0.0244496988786971,0.13953488372093,0.0379189128635826,0.0794042234187268,0.15,400,131,662,662,274,388,229,46,100,46,11745,0,138,138,138,138,129,129,129,129,129,0,20
pair3,3,DASCMOP2_BC,2,70000,70016,318,138,1,0.46,138,0,0.00153665575391252,0.008509669209266,138,20,3,0.00722399623095849,23.1884057971014,0.689037771949105,0.928249224633871,0,2,18,20,5,0.144927536231884,0.0314601460230358,0.0672677789353102,0,0.0691336571562938,NaN,0.55,0.010511865249032,0.217391304347826,0.031850203573681,0.0693306910178621,0.25,400,138,676,676,275,401,235,49,100,49,11607,0,147,147,147,147,138,138,138,138,138,0,20
pair3,3,DASCMOP2_BC,2,100000,100156,455,129,1,0.43,129,0,0.00102640813607862,0.00432437695506163,129,20,3,0.00675286604198293,24.8062015503876,0.617855675561258,0.952782248395003,0,7,13,20,1,0.155038759689922,0.00886061100838611,0.0172365822735235,0,0.029407663956448,NaN,0.55,0.00588630578163074,0.0465116279069767,0.019624672903763,0.0355000051337609,0.05,400,138,676,676,268,408,237,50,100,50,12124,0,150,150,150,150,129,129,129,129,129,0,20
pair3,3,DASCMOP2_BC,3,10000,10206,46,60,1,0.2,60,0,0.00693482086528936,0.00923073813889401,60,20,3,0.00314086792650369,53.3333333333333,0.780845002884555,1.03690697588181,0,0,20,20,0,0.333333333333333,0.254818315300658,0.28025962316748,0,0.287746243180973,NaN,0.6,0.0152416949386904,0,0.261515751303904,0.287764025156705,0,400,63,526,526,212,314,142,23,100,23,8864,3,69,69,69,69,60,60,60,60,60,0,20
pair3,3,DASCMOP2_BC,3,30000,30006,136,108,1,0.36,108,0,0.00341250755081454,0.0104869009289582,108,20,3,0.00565356226770664,29.6296296296296,0.745031973272342,1.14312967253948,0,3,17,20,4,0.185185185185185,0.018782285226486,0.0251147045878079,0,0.0304385615262101,NaN,0.6,0.00334637412407962,0.138888888888889,0.0218275420406557,0.0311637683497593,0.2,400,114,628,628,253,375,209,41,100,41,11604,0,123,123,123,123,108,108,108,108,108,0,20
pair3,3,DASCMOP2_BC,3,50000,50026,227,144,1,0.48,144,0,0.00249816187947883,0.00968157582412847,144,20,3,0.00753808302360886,22.2222222222222,0.758756913889639,1.09190583666136,0,2,18,20,5,0.138888888888889,0.0279092921056214,0.0716594569787201,0,0.0733471276264276,NaN,0.55,0.0682261051614864,0.208333333333333,0.034464318138865,0.0737818354692342,0.25,400,138,676,676,278,398,237,50,100,50,11584,0,150,150,150,150,144,144,144,144,144,0,20
pair3,3,DASCMOP2_BC,3,70000,70046,318,146,1,0.49,146,0,0.0013387256366106,0.00557783903320238,146,20,3,0.00764277862115898,21.9178082191781,0.791094331233446,1.03042237166988,0,1,19,20,5,0.136986301369863,0.0418853551186299,0.100900692449838,0,0.101297974197746,NaN,0.6,0.0279598566650163,0.204081632653061,0.0478900281619509,0.101362900295899,0.25,400,144,688,688,287,401,244,50,100,50,11807,0,150,150,150,150,146,146,146,146,146,0,20
pair3,3,DASCMOP2_BC,3,100000,100186,455,135,1,0.45,135,0,0.00112229293929413,0.00449923302728671,135,20,3,0.0070669528346333,23.7037037037037,0.734332910524535,1.00215531295069,0,5,15,20,5,0.148148148148148,0.0302874371801707,0.150153705429134,0,0.152838515142363,NaN,0.55,0.054587933013548,0.222222222222222,0.0444779559395107,0.15315643180363,0.25,400,135,670,670,271,399,235,50,100,50,11890,0,150,150,150,150,135,135,135,135,135,0,20
pair3,3,DASCMOP4_BC,1,10000,10067,48,27,1,0.09,27,0,0.00202572346512876,0.00336810108067238,27,20,3,0.00141339056692666,100,0.0359314887023047,0.30633011961853,0,20,0,20,0,0.740740740740741,1.70808649750842,2.1120532617269,0,2.11363540925894,NaN,0.7,0.00442433344045914,0,1.7090381641285,2.11395778702126,0,400,30,460,460,166,294,88,11,79,10,2424,1,27,27,27,27,27,27,27,27,27,0,20
