problem,run,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP2_BC,2,364,45,1,0.45,45,0,0.00159588807958241,0.0072314330310441,45,20,3,0.00235565094487777,71.1111111111111,0.753215484668224,1.02991444901931,0,2,18,20,3,0.444444444444444,0.0929396323047398,0.111062650688516,0,0.122407966534515,45.823815011199,0.4,-0.0739187408948744,0.111111111111111,0.093078353312759,0.122644586977496,0.15
DASCMOP2_BC,2,365,42,1,0.42,42,0,0.000836130826688323,0.00427319951793786,42,20,3,0.00219860754855258,76.1904761904762,0.741994035426806,1.14443838606362,0,5,15,20,5,0.476190476190476,0.08901146519223,0.109256866117361,0,0.117230128695472,43.3692328749138,0.65,0.00953335615951068,0.119047619047619,0.0927511070991605,0.117417971728339,0.25
DASCMOP2_BC,2,366,43,1,0.43,43,0,0.00137807120528535,0.00459005042946858,43,20,3,0.00225095534732764,74.4186046511628,0.769631858325384,1.02645207643847,0,3,17,20,3,0.465116279069767,0.128435187006984,0.181251101099792,0,0.193993744897074,72.1743690038669,0.45,-0.0100090112077192,0.13953488372093,0.13828898403425,0.194293584771461,0.15
DASCMOP2_BC,2,367,43,1,0.43,43,0,0.00125434196770051,0.00475910985187676,43,20,3,0.00225095534732764,74.4186046511628,0.769631858325384,1.02645207643847,0,4,16,20,3,0.465116279069767,0.124040364307258,0.183006761997101,0,0.196999676420719,72.1257509642023,0.4,-0.00538073213922435,0.13953488372093,0.131176510145874,0.197305544403698,0.15
DASCMOP2_BC,2,368,44,1,0.44,44,0,0.0017887755750734,0.00798864108312179,44,20,3,0.00230330314610271,72.7272727272727,0.766643820883896,1.02601927986587,0,3,17,20,6,0.454545454545455,0.0470967532050161,0.0788896910431568,0,0.0798227409533277,31.6728254905422,0.4,-0.0416656457674692,0.272727272727273,0.0505809673100279,0.0799677010675198,0.3
DASCMOP2_BC,2,369,43,1,0.43,43,0,0.0010539570137538,0.00421397046534864,43,20,3,0.00225095534732764,74.4186046511628,0.769631858325384,1.02645207643847,0,4,16,20,0,0.465116279069767,0.141384364982819,0.215175000493287,0,0.217098458780649,79.9696076089625,0.5,-0.0261055220360052,0,0.152610474706825,0.217144321590268,0
DASCMOP2_BC,2,370,41,1,0.41,41,0,0.00118510443852844,0.00452397148727667,41,20,3,0.00214625974977752,78.0487804878049,0.769631858325384,1.02731766958368,0,5,15,20,1,0.48780487804878,0.158924885331405,0.204926346480213,0,0.218042596464728,79.3861357696821,0.35,-0.0433556595846234,0.0487804878048781,0.170366819668835,0.218585576203136,0.05
DASCMOP2_BC,2,371,41,1,0.41,41,0,0.0013797509279002,0.00464911739739333,41,20,3,0.00214625974977752,78.0487804878049,0.762002539536089,1.10351780427707,0,5,15,20,1,0.48780487804878,0.138299616129539,0.230929846600907,0,0.246820014173623,87.0417173839845,0.45,-0.00692017197281031,0.0487804878048781,0.148049580444875,0.247025560339861,0.05
DASCMOP2_BC,2,372,43,1,0.43,43,0,0.00120305637971223,0.00524105877776711,43,20,3,0.00225095534732764,74.4186046511628,0.771359230664603,1.02645207643847,0,4,16,20,2,0.465116279069767,0.0989937462592003,0.137736167365985,0,0.150784826384655,58.224400078513,0.6,0.079505038798978,0.0465116279069767,0.100242219625469,0.150984944849473,0.1
DASCMOP2_BC,2,373,42,1,0.42,42,0,0.00109098866343683,0.00358562475755281,42,20,3,0.00219860754855258,76.1904761904762,0.757609012102156,1.02688487301108,0,5,15,20,1,0.476190476190476,0.0948461107946037,0.122994588462049,0,0.135083770360483,49.3687609625986,0.5,0.0292370789574613,0.0476190476190476,0.0980616296798393,0.135359422983706,0.05
