problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
LIRCMOP7_BC,1,50000,50149,229,37,1,0.37,37,0,0.00329921691131401,0.00905572398551352,37,20,3,0.00193686855467728,86.4864864864865,0.349937747435297,0.512013310297754,0,20,0,20,0,0.540540540540541,0.0137222337123542,0.0200873229721097,0,0.0231716326482538,25.192806781283,0.8,0.070496441880794,0,0.0157089201572669,0.023462604635071,0
LIRCMOP7_BC,1,70000,70169,320,57,1,0.57,57,0,0.00218386271099907,0.00615894568083024,57,20,3,0.00298382453017851,56.140350877193,0.384151352016498,0.880788009594561,0,20,0,20,0,0.350877192982456,0.013372756354828,0.0253844124513437,0,0.0318506678563028,50.2628672178941,0.5,0.00462260078208804,0,0.0229403955956912,0.0320786805494069,0
LIRCMOP7_BC,1,100000,100089,456,78,1,0.78,78,0,0.00174710534819882,0.0053527660008707,78,20,3,0.0040831283044548,41.025641025641,0.472967158616362,0.997702633208664,0,20,0,20,1,0.256410256410256,0.0171562298082356,0.0287078599182847,0,0.0289770684360313,54.9469861500884,0.3,-0.0162803981873476,0.0256410256410256,0.0175293901840624,0.0290788733073383,0.05
LIRCMOP8_BC,1,10000,10155,48,37,1,0.37,37,0,0.00375957635529407,0.00920872685076602,37,20,3,0.00193686855467728,86.4864864864865,0.399142417428324,0.605249843198592,0,7,13,20,5,0.540540540540541,0.00237236469579378,0.00345307302176286,0,0.0501342112088534,22.9729282002941,0.65,0.0272423982014794,0.135135135135135,0.0388284686498539,0.0508033509342035,0.25
LIRCMOP8_BC,1,30000,30175,139,47,1,0.47,47,0,0.00178739809143065,0.00540229182872818,47,20,3,0.00246034654242789,68.0851063829787,0.443455439872879,0.615186911182305,0,20,0,20,2,0.425531914893617,0.0155091547375341,0.031703334836011,0,0.0321513793040195,26.1092022212917,0.75,0.04348073026134,0.0638297872340425,0.0168685656423685,0.0322355978216592,0.1
LIRCMOP8_BC,1,50000,50195,230,52,1,0.52,52,0,0.00209064819756766,0.00616211517427339,52,20,3,0.0027220855363032,61.5384615384615,0.218408635611125,0.367161295456413,0,20,0,20,3,0.384615384615385,0.0049842453131481,0.0278522989094466,0,0.0278522989094466,57.5261029047534,0.8,0.0188119061868197,0.0769230769230769,0.00772607535327343,0.0304424028318176,0.15
LIRCMOP8_BC,1,70000,70215,321,64,1,0.64,64,0,0.00106442137859848,0.00335033388191378,64,20,3,0.00335025912160394,50,0.297167239553186,0.463691533801098,0,20,0,20,4,0.3125,0.0247448404737894,0.0521286038587117,0,0.0526305415031508,112.957757062678,0.65,0.0151573133730158,0.0625,0.0257329580241315,0.0606044318462896,0.2
LIRCMOP8_BC,1,100000,100135,457,65,1,0.65,65,0,0.00202656042578078,0.00682368968298348,65,20,3,0.003402606920379,49.2307692307692,0.327401076078715,0.560167852997674,0,20,0,20,7,0.307692307692308,0.0499265144270601,0.0724166406767586,0,0.0792932335183135,168.42737092907,0.8,0.0895822194062413,0.0307692307692308,0.0550802118287069,0.0814782433639527,0.35
LIRCMOP9_BC,1,10000,10192,47,12,1,0.12,12,0,0.00161244263737498,0.00458490986301047,12,12,3,0.000628173585300738,100,0.291779094071929,0.361114058452718,0,1,11,12,3,1,0.0202733441849998,0.0402382274239374,0,0.0403811744131155,147.869627889834,0.583333333333333,0.0156453766991923,0.333333333333333,0.0221325802118599,0.0404802527964363,0.25
LIRCMOP9_BC,1,30000,30065,139,23,1,0.23,23,0,0.00521136969156103,0.0166916180363386,23,20,3,0.00120399937182641,100,0.0857281390905887,0.124273852984817,0,20,0,20,6,0.869565217391304,0.000283822087603219,0.00244403638500928,0,0.0034114996945698,40.9114718401191,0.85,0.0218065847921033,0.173913043478261,0.00219248645762441,0.00472368642156295,0.3
LIRCMOP9_BC,1,50000,50085,230,26,1,0.26,26,0,0.00532218187288226,0.013138274287,26,20,3,0.0013610427681516,100,0.0723642142913268,0.110034040777065,0,20,0,20,11,0.769230769230769,0.00471751329701222,0.0992770870434918,0,0.0993279196820921,799.40914074554,0.85,0.0017732794170722,0.153846153846154,0.00657698332703012,0.112195804191455,0.55
LIRCMOP9_BC,1,70000,70105,321,15,1,0.15,15,0,0.00231510096160794,0.00649662179479543,15,20,3,0.000785216981625923,100,0.0725107065377943,0.141913888321129,0,20,0,20,13,1.33333333333333,0.0285694439070497,0.0726252982549689,0,0.0735605694771285,294.025178120614,0.95,0.0112519301745175,0.133333333333333,0.0383893779114881,0.0866647984164625,0.65
LIRCMOP9_BC,1,100000,100025,457,18,1,0.18,18,0,0.00151246780962154,0.00724173977878667,18,20,3,0.000942260377951107,100,0.0735951310916599,0.178136155041148,0,20,0,20,7,1.11111111111111,0.00101165156498388,0.00899862629901566,0,0.00899862629901566,27.768119312844,0.05,-0.00545019283518845,0.333333333333333,0.00137528630613072,0.0120348755605392,0.35
LIRCMOP10_BC,1,10000,10162,47,14,1,0.14,14,0,0.00747424003473913,0.0206948620778854,14,20,3,0.000732869182850861,100,0.452406105742097,0.837380909338207,0,20,0,20,0,1.42857142857143,0.000428554557426349,0.00107225416681007,0,0.00113499694886749,1.70561606904816,0.05,-0.107949627459858,0,0.00438392663541492,0.0154517108166897,0
LIRCMOP10_BC,1,30000,30182,138,27,1,0.27,27,0,0.00794921541599167,0.0258742651130951,27,20,3,0.00141339056692666,100,0.0913860511345367,0.164020783341192,0,20,0,20,18,0.740740740740741,7.38141082329614e-05,0.000402852812195767,0,0.00134588810775515,7.36240053387626,0.95,0.0109500283771825,0.222222222222222,0.00149859188072962,0.00262859970314944,0.9
LIRCMOP10_BC,1,50000,50202,229,33,1,0.33,33,0,0.0081151337421054,0.0223539729999178,33,20,3,0.00172747735957703,96.969696969697,0.0815100049899982,0.148741493097654,0,20,0,20,17,0.606060606060606,2.88067353364884e-05,0.000276349961783089,0,0.000946433411038041,4.56037623108057,0.9,0.00917817461050376,0.121212121212121,0.00163807588281176,0.0025223904400327,0.85
LIRCMOP10_BC,1,70000,70002,319,40,1,0.4,40,0,0.00790778794758588,0.0197188197452659,40,20,3,0.00209391195100246,80,0.0746060085844921,0.168295322285839,0,20,0,20,11,0.5,8.23643351606347e-06,2.83692835788615e-05,0,0.00104323618400865,4.40004303992417,1,0.0126569292875802,0.05,0.00147022141993767,0.0017333074304347,0.55
LIRCMOP10_BC,1,100000,100142,456,42,1,0.42,42,0,0.00373911832402536,0.0170518349967102,42,20,3,0.00219860754855258,76.1904761904762,0.0854090498781223,0.148118176799203,0,20,0,20,4,0.476190476190476,6.94237515418042e-05,0.000179856674058102,0,0.00037571864317289,1.29642069766211,1,0.00761452943773413,0.0476190476190476,0.000244413652492474,0.000626236127932207,0.2
