variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionKNNRetainRatio,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,N,D,maxFE,target_FE,actual_FE,gen,has_GAN,AF_size,AI_size,BoundaryHit_all,ObjInterfaceScore,RefCov,DuplicateRate,GAN_to_Segment_Dist50,GAN_to_Segment_Dist90,GAN_to_Decision_Segment_Dist50,GAN_to_Decision_Segment_Dist90,GAN_to_AF_Dist90,AF_Cover_epsilon,AF_CoverEpsilon,PairCover_epsilon,PairCoverEpsilon,LargestClusterRate_epsilon,EffectiveClusterCount_epsilon,ClusterEpsilon,RawGANOutsideStandardRangeCount,RawGANFeasibleRate,InjectedCount,GAN_to_AF_ObjNN_mean,GAN_to_AF_ObjNN_median,GAN_to_AF_ObjNN_p90,GAN_to_AF_DecNN_mean,GAN_to_AF_DecNN_median,GAN_to_AF_DecNN_p90,RawGANVarClipRate
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,10000,10000,41,1,76,76,0.21,0.079639538187095,0.68,0,0.195871275172242,0.509328861717622,0.0731888743314364,0.112611784090177,0.509328861717622,0.618421052631579,0.05,0.644736842105263,0.05,0.085,24.6913580246913,0.05,24,0.52,NaN,0.260922772584628,0.204846552505986,0.509328861717622,0.0865487417277427,0.0832467000138121,0.119367540869517,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,30000,30000,121,1,118,118,0.115,0.00236158389094603,0.71,0,0.13899549945934,0.40255473657206,0.0532957755374224,0.0769786446693208,0.4096292033184,0.652542372881356,0.05,0.73728813559322,0.05,0.335,7.77302759424796,0.05,60,0.325,NaN,0.185945540740805,0.146738669787846,0.4096292033184,0.060959905659368,0.0626660861259711,0.0898360407426474,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,50000,50000,201,1,152,152,0.07,0.000574970618532603,0.69,0,0.199487367465137,0.561641256052576,0.0543963628736842,0.077786496975004,0.568224591598533,0.631578947368421,0.05,0.644736842105263,0.05,0.24,13.1147540983607,0.05,74,0.25,NaN,0.272237206147564,0.204237491112871,0.568224591598533,0.0644534233483964,0.0639708948201558,0.0902633867324124,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,70000,70000,281,1,182,182,0.145,0.00180191876224363,0.68,0,0.119639379292525,0.343562343010524,0.051490201982745,0.0697522251181524,0.343562343010524,0.582417582417582,0.05,0.631868131868132,0.05,0.415,5.43625985322098,0.05,41,0.43,NaN,0.159007806279125,0.125335705212615,0.343562343010524,0.0586915464805373,0.0576059181976435,0.0791245159149673,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,100000,100000,401,1,212,212,0.1,0.000441825872635347,0.72,0,0.114308487274077,0.290800569412306,0.0436167714455687,0.0676531345715084,0.294081095211737,0.627358490566038,0.05,0.64622641509434,0.05,0.445,4.78240076518412,0.05,49,0.315,NaN,0.144814660028189,0.120914575663123,0.294081095211737,0.0520730582869729,0.0499685463038791,0.0735851084453618,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,10000,10100,41,1,78,78,0.125,0.0373336528436924,0.48,0,0.27944991244133,1.40151160615206,0.0719596556339844,0.135045543189107,1.40151160615206,0.307692307692308,0.05,0.320512820512821,0.05,0.495,4.01767778224187,0.05,75,0.235,NaN,0.513235852100581,0.300201276803274,1.40151160615206,0.0899880362091496,0.078660984611134,0.142028522465092,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,30000,30100,121,1,124,124,0.075,0.000305268937869027,0.8,0,0.190031061147616,0.419587337402107,0.0629466131317834,0.0876790161358257,0.419587337402107,0.580645161290323,0.05,0.67741935483871,0.05,0.215,15.8856235107228,0.05,71,0.235,NaN,0.220207262152557,0.194017629535062,0.419587337402107,0.07296735099079,0.0719566289667189,0.104551143051325,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,50000,50100,201,1,159,159,0.1,0.000998680879612917,0.75,0,0.1696248819754,0.4808128081155,0.0546474791094854,0.0858254257903019,0.485767859499724,0.591194968553459,0.05,0.59748427672956,0.05,0.35,7.64233855559802,0.05,48,0.345,NaN,0.221832843922595,0.172487933606682,0.485767859499724,0.0653398912288345,0.063069144462915,0.092290617569601,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,70000,70100,281,1,178,178,0.11,0.00055461234953933,0.72,0,0.137378544522732,0.408382572912203,0.0473569872518779,0.0737360408315954,0.4148545426102,0.629213483146067,0.05,0.640449438202247,0.05,0.3,9.71345313258864,0.05,59,0.36,NaN,0.178248408731199,0.141820702409945,0.4148545426102,0.0576264323940181,0.0541869404975975,0.0852702237345019,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,100000,100100,401,1,206,206,0.09,7.28947041255831e-05,0.71,0,0.162710420590575,0.467106073753777,0.0492581771666216,0.0712411046005105,0.471621140061653,0.781553398058252,0.05,0.796116504854369,0.05,0.145,21.953896816685,0.05,61,0.415,NaN,0.201243741694332,0.164964097200897,0.471621140061653,0.0560952985833608,0.054156283833341,0.0816778535445408,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,10000,10000,49,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
