problem,run,trainingSigma,sigma,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,trainingUpdates,candidateValidCount,candidateValidRate,requestedCount,guidedCount,fallbackCount,fullQuota,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawBoundaryMarginP90,rawCVMedian,rawDecisionUniqueRate,requestedRefCoverage,assignedRefCoverage,referenceMatchRate,assignedRefEntropy,decisionWithinRefRMS,decisionTotalRMS,decisionWithinRefRatio,objectiveWithinRefRMS,objectiveTotalRMS,objectiveWithinRefRatio,guidedFeasibleRate,guidedDominatingRate,guidedUsefulPerQuota,guidedBoundaryMarginMedian,guidedCVMedian
LIRCMOP10_BC,1,0.5,1,4000,4100,158.339371583333,38,2,2000,458,0.916,20,20,0,1,0.86,0.14,3.95332377106295,14.5140889438048,0,1,0.44,1,0.048,0.918343667088633,1.5963402115564,1.73134440355568,0.922023491269543,2.93098393126235,3.07986459359837,0.951659997440967,0.95,0.05,0,4.75244593267653,0
LIRCMOP10_BC,1,0.5,0.5,4000,4100,158.339371583333,38,2,2000,459,0.918,20,20,0,1,0.862,0.138,4.02575142739711,13.6562922173771,0,1,0.44,0.98,0.032,0.910509656136251,1.18230621821287,1.47541605751859,0.801337502183158,2.55827513607035,2.76059732868712,0.926710719265605,1,0,0,4.56030677052216,0
LIRCMOP10_BC,2,0.5,1,5000,5100,158.708316,33,2,2000,335,0.67,20,20,0,1,1,0,4.73137961038752,10.4166544938288,0,1,0.34,0.84,0.054,0.914609838881622,1.13835888780247,1.28296761701832,0.887285752736355,2.27338372258511,2.38633754701939,0.952666451326068,1,0,0,0.324656796784373,0
LIRCMOP10_BC,2,0.5,0.5,5000,5100,158.708316,33,2,2000,330,0.66,20,20,0,1,1,0,4.70708655816976,9.01312748801727,0,1,0.34,0.76,0.048,0.835377072318505,0.742688047485584,1.03303122245377,0.71894056185588,1.38066073750145,1.66965494460212,0.82691381351879,1,0,0,0.315019547833794,0
LIRCMOP12_BC,1,0.5,1,6000,6100,115.899405583333,32,1,1000,183,0.366,20,20,0,1,1,0,14.4303879080168,22.3246798142442,0,1,0.3,0.74,0.012,0.836885010472469,0.897766156575796,1.06456659108881,0.843316110134155,3.24566917290035,3.60124777285438,0.901262389487796,1,0,0,3.1047826129563,0
LIRCMOP12_BC,1,0.5,0.5,6000,6100,115.899405583333,32,1,1000,153,0.306,20,20,0,1,1,0,12.6171954623425,18.6168749148339,0,1,0.3,0.52,0,0.731135859065232,0.553624547692054,0.876279255058677,0.631790088029623,1.78751606948992,2.31671712689696,0.771572864350577,1,0,0,3.31366254732511,0
LIRCMOP12_BC,2,0.5,1,8000,8100,115.047745958333,32,1,1000,107,0.214,20,20,0,1,1,0,14.1574423128212,21.8073803002963,0,1,0.24,0.82,0.024,0.759003546430849,0.84231129567208,1.13317568318937,0.74331924711035,3.8445229946882,4.00554497001268,0.959800232794798,0.95,0,0,3.8008108470555,0
LIRCMOP12_BC,2,0.5,0.5,8000,8100,115.047745958333,32,1,1000,151,0.302,20,20,0,1,1,0,13.0120944421307,17.8853974200377,0,1,0.24,0.42,0.024,0.651408116018445,0.49832343876335,1.03595229924981,0.481029328400752,1.91312395620738,2.41840741404747,0.791067685740161,1,0,0,4.28022031741931,0
LIRCMOP14_BC,1,0.5,1,3200,3300,50.623384,43,2,2000,494,0.988,20,20,0,1,0.87,0.13,285.440962353451,6351.11100608245,0,1,0.6,0.866666666666667,0.054,0.885353845933675,0.600469537803623,0.658167241236044,0.912335801879072,0.89295101462009,0.969611493880554,0.920936911593678,1,0.05,0.05,131.178817589271,0
LIRCMOP14_BC,1,0.5,0.5,3200,3300,50.623384,43,2,2000,500,1,20,20,0,1,0.53,0.47,6.22201621201065,236.954694071218,0,1,0.6,0.644444444444444,0.062,0.757198214505947,0.342986208343766,0.440731765933201,0.77821984902207,0.338254507953547,0.42451405328955,0.796804028824065,0.5,0.2,0.05,6.18896574560012,0.52359430931878
LIRCMOP14_BC,2,0.5,1,3600,3700,70.3735304166667,65,3,3000,487,0.974,20,20,0,1,0.966,0.034,767.242802518162,8746.74055989917,0,1,0.666666666666667,0.822222222222222,0.032,0.882436052080282,0.612233010436494,0.67524670238106,0.906680489186594,0.880968063495711,0.979658446656483,0.899260417242769,1,0,0,66.8339760327453,0
LIRCMOP14_BC,2,0.5,0.5,3600,3700,70.3735304166667,65,3,3000,500,1,20,20,0,1,0.782,0.218,33.7420982507614,378.856698805771,0,1,0.666666666666667,0.666666666666667,0.028,0.796463110647194,0.344982356228114,0.457053986040259,0.754795640700804,0.320154966990954,0.444185752191088,0.720768204319223,0.8,0,0,7.84737091073617,0
