epoch,taskCount,full20Rate,guidedCountMedian,candidateValidRateMedian,rawFeasibleRateMedian,rawInfeasibleRateMedian,rawBoundaryMarginMedian,rawCVMedian,guidedFeasibleRateMedian,guidedBoundaryMarginMedian,guidedCVMedian,guidedUsefulPerQuotaMedian,validationEndpointMedian,validationRelationMedian,useFEMedian,wallClockMedian,wallClockP90,qualityScoreMedian,qualityScoreIQR,problem
100,5,1,20,0.696,1,0,42.0758908455419,0,1,3.34614119438312,0,0,1.18699628786478,0.249319656897914,2900,20.8772059583333,171.86274175,0.602180739847534,0.127975890075639,LIRCMOP7_BC
200,5,1,20,0.942,1,0,7.62465950074426,0,0.95,1.20869064434972,0,0.05,0.587126642937644,0.33551147566332,2900,36.2058187083333,70.0207467083333,0.742519648537856,0.0376174452566631,LIRCMOP7_BC
400,5,1,20,1,0.828,0.172,0.540828500009271,0,0.6,0.0747481420935199,0,0.05,0.272652309099455,0.307656094968573,2900,101.698717833333,296.344241291667,0.7882,0.0120445318568612,LIRCMOP7_BC
800,5,1,20,0.992,0.848,0.152,1.43184273457167,0,0.65,0.249130328866191,0,0,0.249894197465294,0.262608052029155,2900,132.798121708333,273.834298375,0.793266948284165,0.0301437380779109,LIRCMOP7_BC
10,5,1,20,0.41,1,0,72.1316103799172,0,1,5.21048561617208,0,0,1.43928716337479,0.236635426217657,3300,8.51904208333333,9.14227220833333,0.462270327711453,0.123126026644379,LIRCMOP8_BC
25,5,1,20,0.336,1,0,86.2292221622982,0,1,7.6512549659074,0,0,1.7560584527364,0.263077288065733,3300,4.49739870833333,14.451385875,0.462861254836826,0.0460048689941239,LIRCMOP8_BC
50,5,1,20,0.478,1,0,58.5685539481759,0,1,4.18724891337158,0,0,1.62291861523127,0.229842628997462,3300,16.3656090416667,39.9575195833333,0.57719584217447,0.132679110421857,LIRCMOP8_BC
100,5,1,20,0.712,1,0,36.6867576663979,0,1,2.60989152780434,0,0,1.30301783365624,0.224879643444964,3300,24.485866625,93.31230175,0.688920814017866,0.0812820755453219,LIRCMOP8_BC
200,5,1,20,0.966,1,0,9.16804028727114,0,0.95,1.47759538467735,0,0,0.737709699451523,0.314074546075033,3300,33.0054570833333,102.197210458333,0.748020215922822,0.0133822126032571,LIRCMOP8_BC
400,5,1,20,1,0.844,0.156,0.470264048960718,0,0.55,0.0891181422725962,0,0,0.224858469780008,0.239744705049878,3300,36.5068514166667,146.9937365,0.768094462817676,0.0167500103289243,LIRCMOP8_BC
