problem,seed,arm,finalIGD,finalHV,lateIGDAUC,lateHVAUC,wallSeconds,maxFE,sourceHash
LIRCMOP6_BC,13,fallback_only,0.0126310388123776,0.193383905877225,0.0242932838476975,0.187796931755975,48.3418625416667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,13,pair_only,0.013006433812559,0.193310602962551,0.0252003216421957,0.18853453666492,99.4780021666667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,14,original,0.01484152025097,0.192876491674876,0.0844624910283256,0.173140210104058,769.631731041667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,14,fallback_only,0.0114539045665967,0.194123545423217,0.0187192198418006,0.1919376603936,64.6252875833333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,14,pair_only,0.0153245892896972,0.192249465579338,0.0709821690819463,0.173243578996926,106.55751075,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,15,original,0.0164130366002032,0.191709840883801,0.0792086219451337,0.172660993524083,387.922092333333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,15,fallback_only,0.0131091638241009,0.193283453782158,0.0317706866212554,0.184842230412616,58.1470187916667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,15,pair_only,0.0149452143918702,0.19253936430311,0.117579659147574,0.164082339097691,101.759864875,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,11,original,0.00926219386071412,0.293200899632074,0.013379980272846,0.291057595496813,1085.79379495833,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,11,fallback_only,0.0143824347892583,0.289279592969812,0.0635382203007177,0.268835832821514,102.440628041667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,11,pair_only,0.0150503719292001,0.290834633128478,0.0319394283397933,0.286386107567733,98.4983470416667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
