addedUpdates,trainingSeconds,endpointRMSE,loggedPostRMSE,preEndpointRMSE,directionError,nearestTrainingObjective,labelAccuracy,offlineFullFE,offlineCalObjRows,offlineCalConRows,problem,seed,moving
1000,79.393241375,0.113371955223003,0.113371955108507,0.117022590027827,6.19512516947214,0.15590696313629,0.535,200,400,200,LIRCMOP7_BC,2,1
2000,149.320350125,0.11995159555236,0.119951595365066,0.111770487535778,6.58414867130753,0.0940341776621833,0.46,200,400,200,LIRCMOP7_BC,2,1
0,0,0.119268310785096,NaN,NaN,12.126221087064,0.0794606883356993,0.53,200,400,200,LIRCMOP7_BC,3,0
20,3.41240054166667,0.119234640130705,0.119234640131218,0.1192683108062,9.19485173763475,0.0692048780111942,0.51,200,400,200,LIRCMOP7_BC,3,0
200,18.3931330833333,0.122434159334175,0.122434159732854,0.120328647928251,10.0429493829132,0.0968279678914817,0.535,200,400,200,LIRCMOP7_BC,3,0
1000,71.7038075,0.113760983871587,0.113760983857849,0.124763690453899,6.41826962346382,0.0783420645502673,0.47,200,400,200,LIRCMOP7_BC,3,0
2000,136.51228475,0.123905972058311,0.123905971630347,0.122493497511039,8.36127605997638,0.117390516305363,0.525,200,400,200,LIRCMOP7_BC,3,0
0,0,0.119268310785096,NaN,NaN,12.126221087064,0.0794606883356993,0.53,200,400,200,LIRCMOP7_BC,3,1
20,1.89422708333333,0.115896062482672,0.115896062252776,0.115121379977252,10.2822365563595,0.0683841067171073,0.53,200,400,200,LIRCMOP7_BC,3,1
200,13.8523220416667,0.121063644569745,0.121063644662297,0.121750053818527,11.4707573363805,0.0783088125109885,0.51,200,400,200,LIRCMOP7_BC,3,1
1000,66.279444625,0.116896676540906,0.116896676611545,0.126994819291352,10.4546956801884,0.13652571387512,0.46,200,400,200,LIRCMOP7_BC,3,1
2000,124.919101416667,0.116690150824733,0.116690150663196,0.121213930087194,9.70094505433565,0.0885724672129314,0.555,200,400,200,LIRCMOP7_BC,3,1
0,0,0.0726992318819544,NaN,NaN,5.11103909023009,0.0755603560494359,0.47,200,400,200,LIRCMOP8_BC,1,0
20,2.06128079166667,0.0739148263673341,0.073914826179091,0.0726992318933773,5.04593149085469,0.0896766459207363,0.525,200,400,200,LIRCMOP8_BC,1,0
200,14.3417290416667,0.0740115930660735,0.0740115932748382,0.0718692520472424,6.74326057437878,0.105170604272666,0.51,200,400,200,LIRCMOP8_BC,1,0
1000,75.8070427916667,0.0715036456221399,0.0715036458142141,0.0740213781062876,5.90551811879611,0.109563920510166,0.485,200,400,200,LIRCMOP8_BC,1,0
2000,146.81360825,0.0776954610365364,0.0776954613392008,0.0727963553587171,8.08060507790009,0.07775716487482,0.46,200,400,200,LIRCMOP8_BC,1,0
0,0,0.0726992318819544,NaN,NaN,5.11103909023009,0.0755603560494359,0.47,200,400,200,LIRCMOP8_BC,1,1
20,3.33393379166667,0.0718235378175028,0.0718235373686842,0.080692742580776,5.64834843301151,0.0932913584365419,0.495,200,400,200,LIRCMOP8_BC,1,1
200,19.5958020416667,0.0770625010417159,0.0770625012387409,0.0943149812443808,6.49292917981377,0.0769461823283422,0.435,200,400,200,LIRCMOP8_BC,1,1
1000,71.9577966666666,0.0826091346896059,0.0826091344169184,0.0795004019206637,7.83879427204078,0.0798560904666276,0.47,200,400,200,LIRCMOP8_BC,1,1
2000,135.157050916667,0.0739226587426531,0.0739226582991517,0.108864225473117,6.43440255387665,0.0576581932323308,0.485,200,400,200,LIRCMOP8_BC,1,1
0,0,0.072858099899176,NaN,NaN,7.72171137322272,0.0778058553964904,0.545,200,400,200,LIRCMOP8_BC,2,0
20,1.51907158333333,0.0747343379631687,0.0747343378705087,0.0728580999640057,9.27359219716698,0.111602245321287,0.545,200,400,200,LIRCMOP8_BC,2,0
200,13.6192455833333,0.0729342023574699,0.072934202423927,0.0777873984914914,10.0564705716711,0.0883215734079076,0.51,200,400,200,LIRCMOP8_BC,2,0
1000,62.06964625,0.0714428347799643,0.0714428350792483,0.0693002813749427,8.49736547626684,0.0826411043979632,0.57,200,400,200,LIRCMOP8_BC,2,0
2000,138.23321775,0.0741074728264843,0.0741074729923015,0.0719241502139411,12.9615097454705,0.132704437398856,0.46,200,400,200,LIRCMOP8_BC,2,0
0,0,0.072858099899176,NaN,NaN,7.72171137322272,0.0778058553964904,0.545,200,400,200,LIRCMOP8_BC,2,1
20,1.698378125,0.072002442169346,0.0720024420548356,0.0971497402168734,8.78994296505335,0.119460070412354,0.555,200,400,200,LIRCMOP8_BC,2,1
200,13.2872755416667,0.0776598140251248,0.0776598140569963,0.191502994727299,10.2897551219336,0.116064999537969,0.42,200,400,200,LIRCMOP8_BC,2,1
1000,67.9503500416667,0.0691244768349285,0.0691244769404237,0.105467241447521,9.13496923625211,0.0966284007650854,0.59,200,400,200,LIRCMOP8_BC,2,1
2000,140.607146791667,0.0690237073934271,0.0690237074533371,0.0698886151914418,8.31580656075301,0.0762965571234006,0.485,200,400,200,LIRCMOP8_BC,2,1
0,0,0.0871867836166855,NaN,NaN,4.3345089392657,0.0749583462031755,0.535,200,400,200,LIRCMOP8_BC,3,0
20,1.62313104166667,0.0874812257229159,0.0874812252679047,0.0871867836121779,4.88028381866253,0.0862186947278859,0.505,200,400,200,LIRCMOP8_BC,3,0
200,12.0995275,0.084556272692877,0.0845562722735931,0.0867810930318295,6.88905505361847,0.126926908383689,0.5,200,400,200,LIRCMOP8_BC,3,0
1000,62.0102065,0.0792097584568191,0.0792097583381076,0.0803455227900927,4.53355874879918,0.0687679178020282,0.51,200,400,200,LIRCMOP8_BC,3,0
2000,122.324622833333,0.0841220392959447,0.0841220393021433,0.088091318893645,6.09772393686048,0.0664024394040614,0.48,200,400,200,LIRCMOP8_BC,3,0
0,0,0.0871867836166855,NaN,NaN,4.3345089392657,0.0749583462031755,0.535,200,400,200,LIRCMOP8_BC,3,1
20,1.67514608333333,0.0857980699419583,0.085798069553258,0.087134689434321,4.36250164533944,0.0816909842598073,0.515,200,400,200,LIRCMOP8_BC,3,1
