problem,seed,stage,observationFE,productionFE,trainingFE,modelVersion,uniqueRaw,trainingPairs,labelAccuracy,feasibleRequestAccuracy,infeasibleRequestAccuracy,directionError,trainingFrameDirectionError,knownDirectionError,unseenDirectionError,knownFraction,referenceHitRate,jointRate,rawUseful,nearestObjectiveDistance,selected,selectedLabelAccuracy,survivedP1
LIRCMOP5_BC,3,FE010000,10000,9800,9800,24,200,40,0.52,0.188,0.852,10.1134776509109,10.1134776509109,11.0470253686896,9.64530206872155,0.334,0.02,0.102,0.018,0.202450177311171,20,0.45,0
LIRCMOP5_BC,3,FE030000,30000,29800,29800,124,200,54,0.5,0.172,0.828,6.30329209636998,6.30329209636998,7.04624381862583,5.67548418346744,0.458,0.044,0.156,0,0.185418506813978,20,0.4,0
LIRCMOP5_BC,3,FE050000,50000,49800,49800,223,200,20,0.5,0.008,0.992,10.0482744843709,10.0482744843709,5.68397997376118,10.980453894404,0.176,0.016,0.056,0,0.339149344503737,20,0.4,0
LIRCMOP5_BC,3,FE070000,70000,69800,61800,283,200,9,0.538,0.084,0.992,13.3384298812946,12.9036963393607,6.79101699114372,13.861657261285,0.074,0.026,0,0,0.472627548819702,20,0.7,0
LIRCMOP5_BC,3,FE100000,100000,99800,85600,304,200,8,0.452,0.012,0.892,15.8722333758335,11.829923197958,8.05473983665368,16.2320343337037,0.044,0.036,0,0,1.04566801915997,20,0.45,0
LIRCMOP6_BC,1,first_true_use,5600,5400,5400,1,200,8,0.534,0.592,0.476,16.0054657783835,16.0054657783835,5.99393183853148,16.8289252799298,0.076,0.02,0.13,0.132,0.915058649935449,20,0.7,4
LIRCMOP6_BC,1,FE010000,10000,9800,9800,19,200,32,0.514,0.428,0.6,19.1100664853966,19.1100664853966,5.83485135068961,23.9703911522018,0.268,0.01,0.076,0.026,0.477339417033436,20,0.55,1
LIRCMOP6_BC,1,FE030000,30000,29800,29800,119,200,32,0.54,0.14,0.94,7.15352752619745,7.15352752619745,5.15850062792626,7.89141418720186,0.27,0.024,0.166,0.01,0.350983639227605,20,0.5,0
LIRCMOP6_BC,1,FE050000,50000,49800,49800,172,200,8,0.51,0.072,0.948,10.6869566603008,10.6869566603008,8.31323562223846,10.8171607678738,0.052,0.016,0,0,0.614315995350302,20,0.5,0
LIRCMOP6_BC,1,FE070000,70000,69800,69800,208,200,15,0.49,0.012,0.968,23.6845130535963,23.6845130535963,5.3076228748517,25.8175449493435,0.104,0.02,0,0,1.00826414077434,20,0.7,0
LIRCMOP6_BC,2,first_true_use,6600,6400,6400,1,200,10,0.424,0.456,0.392,24.3631013592796,24.3631013592796,19.2389449088083,24.8575375080093,0.088,0.026,0.054,0.092,1.63482219142224,20,0.35,4
LIRCMOP6_BC,2,FE010000,10000,9800,9800,8,200,25,0.506,0.332,0.68,14.5139249526052,14.5139249526052,11.4701129325364,15.3328185417608,0.212,0.01,0.06,0.02,1.20308411058085,20,0.45,2
LIRCMOP6_BC,2,FE050000,50000,49800,17400,46,200,24,0.5,0.048,0.952,14.5496165879104,14.9607004516802,8.90599725349726,15.8562673697696,0.188,0.026,0,0,0.425444142023666,20,0.45,0
LIRCMOP6_BC,2,FE070000,70000,69800,69400,53,200,8,0.484,0.64,0.328,27.2993483892463,21.6578186364169,9.60017755674884,28.3891062536676,0.058,0.018,0,0,4.34566303344541,20,0.5,0
LIRCMOP6_BC,3,first_true_use,5600,5400,5400,1,200,8,0.498,0.668,0.328,18.7374763117789,18.7374763117789,11.0152539712597,19.390766271172,0.078,0.016,0.042,0.162,1.92555614569793,20,0.25,6
LIRCMOP6_BC,3,FE010000,10000,9800,9800,21,200,34,0.498,0.14,0.856,9.29054752316709,9.29054752316709,5.64277915586925,10.9602257554288,0.314,0.024,0.116,0.028,0.172029983207231,20,0.6,1
LIRCMOP6_BC,3,FE030000,30000,29800,29800,121,200,77,0.464,0.06,0.868,5.39505724151524,5.39505724151524,5.25527471830087,5.64141428519138,0.638,0.062,0.22,0.004,0.296217955018185,20,0.55,0
LIRCMOP6_BC,3,FE050000,50000,49800,44800,172,200,8,0.472,0.14,0.804,15.8774334909914,14.4116667978569,7.4465742584969,16.473190139112,0.066,0.046,0,0,1.00857330241339,20,0.5,0
LIRCMOP6_BC,3,FE070000,70000,69800,68400,201,200,8,0.474,0.08,0.868,19.7959217341121,11.7010371391113,15.1536011508528,20.0402543963889,0.05,0.004,0,0,0.634366049992722,20,0.5,0
LIRCMOP6_BC,3,FE100000,100000,99800,73000,206,200,8,0.478,0.36,0.596,26.2718502681435,24.7708821789687,4.10743097687352,27.340574888058,0.046,0.01,0,0,1.8410348005498,20,0.5,0
LIRCMOP7_BC,1,first_true_use,4400,4200,4200,1,200,12,0.49,0.54,0.44,19.8896354148149,19.8896354148149,14.135583709777,20.5718831561281,0.106,0.022,0.06,0.226,1.54089879375591,20,0.4,4
LIRCMOP7_BC,1,FE010000,10000,9800,9800,26,200,11,0.644,0.328,0.96,12.7803653714311,12.7803653714311,11.5786465447061,12.9319335117388,0.112,0.014,0.094,0.11,0.212888982914044,20,0.6,2
LIRCMOP7_BC,1,FE030000,30000,29800,29800,126,200,64,0.504,0.096,0.912,11.7237918463976,11.7237918463976,7.29582798863866,17.4985096885441,0.566,0.032,0.316,0.028,0.156841585572232,20,0.55,1
LIRCMOP7_BC,1,FE050000,50000,49800,49800,226,200,87,0.572,0.18,0.964,6.71501915059368,6.71501915059368,6.08926979223704,8.38981890384235,0.728,0.048,0.206,0.006,0.149890863470503,20,0.55,0
LIRCMOP7_BC,1,FE070000,70000,69800,69800,325,200,87,0.506,0.012,1,7.71738214933441,7.71738214933441,7.39813730659372,8.48400411863687,0.706,0.064,0.31,0,0.141955656730344,20,0.6,0
LIRCMOP7_BC,1,FE100000,100000,99800,99800,473,200,92,0.566,0.132,1,9.75462439282194,9.75462439282194,8.41153962309494,13.9614766880826,0.758,0.032,0.212,0,0.104416092432901,20,0.6,0
LIRCMOP7_BC,2,first_true_use,3800,3600,3600,1,200,10,0.656,0.68,0.632,17.7476776328806,17.7476776328806,15.3641500639162,17.9891804262118,0.092,0.04,0.106,0.09,3.96330053537586,20,0.55,3
LIRCMOP7_BC,2,FE010000,10000,9800,9800,20,200,31,0.496,0.08,0.912,22.4720579687633,22.4720579687633,10.7230631740643,27.1322737811858,0.284,0.006,0.07,0.014,0.203113434763633,20,0.5,0
LIRCMOP7_BC,2,FE030000,30000,29800,29800,120,200,68,0.52,0.108,0.932,13.8603279412643,13.8603279412643,13.1543664701189,14.6957670621395,0.542,0.016,0.072,0.006,0.245971086082078,20,0.4,1
