variant,maxCandidatePairsPerRef,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
pair1,1,DASCMOP1_BC,3,30000,30047,139,26,1,0.26,26,0,0.00384978129672308,0.0135497322244978,26,20,3,0.0013610427681516,100,0.572158997402251,0.840203997218978,0,20,0,20,3,0.769230769230769,0.111589295445398,0.344837999458338,0,0.34740654559432,109.973490890839,0.85,0.11286228084367,0.0769230769230769,0.113380834427157,0.349216502116824,0.15
pair1,1,DASCMOP1_BC,3,50000,50067,230,28,1,0.28,28,0,0.000975991363489715,0.00398259767736734,28,20,3,0.00146573836570172,100,0.523414198373276,0.779389753456079,0,20,0,20,0,0.714285714285714,0.0214331654015512,0.0335878787455445,0,0.0335878787455445,9.69097911201399,0.3,-0.0728388623846152,0,0.0252405614493687,0.0353022571633952,0
pair1,1,DASCMOP1_BC,3,70000,70087,321,23,1,0.23,23,0,0.000823886933732831,0.00420751276013553,23,20,3,0.00120399937182641,100,0.547166929648671,0.811222240583707,0,20,0,20,0,0.869565217391304,0.0227256810199211,0.0326090837554832,0,0.0366791954426562,10.0264758120549,0.95,0.261457508624967,0,0.0282437797938619,0.0375013877813709,0
pair1,1,DASCMOP1_BC,3,100000,100007,457,26,1,0.26,26,0,0.000599516726737214,0.00265291963486518,26,20,3,0.0013610427681516,100,0.535486325131914,0.755206917884199,0,20,0,20,2,0.769230769230769,0.0338531420414781,0.201804878772418,0,0.201804878772418,57.6892049285193,1,0.320693141655432,0.0769230769230769,0.0413186922031867,0.203803689823096,0.1
pair1,1,DASCMOP2_BC,1,10000,10048,46,15,1,0.15,15,0,0.00760384641140373,0.0146279445051772,15,16,3,0.000785216981625923,100,0.675541396068104,1.00113714472037,0,2,14,16,0,1.06666666666667,0.168129884801115,0.176308103051176,0,0.177009552500517,129.026780945773,0.75,0.104112254861435,0,0.169297839161354,0.177334231252083,0
pair1,1,DASCMOP2_BC,1,30000,30049,139,32,1,0.32,32,0,0.00770666298153694,0.0196609651282409,32,20,3,0.00167512956080197,100,0.515107324262617,0.866955199984836,0,13,7,20,11,0.625,0.0187586447261159,0.0584592304180923,0,0.0584592304180923,20.5121861858541,0.8,0.0299452138731188,0.25,0.0245254161658039,0.0610183422007922,0.55
pair1,1,DASCMOP2_BC,1,50000,50069,230,42,1,0.42,42,0,0.00277603181498451,0.00781285751851758,42,20,3,0.00219860754855258,76.1904761904762,0.717429899022186,0.965615719469644,0,6,14,20,12,0.476190476190476,0.00405512362427449,0.0438926883637782,0,0.0457088522701524,16.1339744163198,0.8,0.0659817129769753,0.404761904761905,0.0111597510273789,0.0459835411088205,0.6
pair1,1,DASCMOP2_BC,1,70000,70089,321,47,1,0.47,47,0,0.00257410456286653,0.00766844563280339,47,20,3,0.00246034654242789,68.0851063829787,0.639624051367455,0.934305689372354,0,3,17,20,9,0.425531914893617,0.0709927405290219,0.164845453381552,0,0.175713665371615,67.3591934099583,0.75,0.0400974081127436,0.340425531914894,0.0732044446019043,0.176499857337962,0.45
pair1,1,DASCMOP2_BC,1,100000,100009,457,47,1,0.47,47,0,0.00235305388194158,0.0104524414815238,47,20,3,0.00246034654242789,68.0851063829787,0.727004971960048,1.03944560948763,0,3,17,20,8,0.425531914893617,0.0224987795659953,0.063371734791745,0,0.0759844461441196,28.8277164056833,0.5,0.0105929089569274,0.340425531914894,0.0238794254756328,0.0767323118868169,0.4
pair1,1,DASCMOP2_BC,2,10000,10078,46,18,1,0.18,18,0,0.00446477118759142,0.00826360729708293,18,18,3,0.000942260377951107,100,0.65995263550296,1.0322836584158,0,1,17,18,0,1,0.159804982958879,0.170716039265978,0,0.17178111091457,130.551823241624,0.666666666666667,0.0741663945101199,0,0.161515143086774,0.171858716879677,0
