problem,run,seed,FE,DE20IGD,CGANIGD,deltaDE20MinusCGAN
LIRCMOP8_BC,2,2,60000,0.00980705495583904,0.00974171440484563,6.53405509934025e-05
LIRCMOP8_BC,2,2,70000,0.00880042976521014,0.00909648164369336,-0.000296051878483222
LIRCMOP8_BC,2,2,80000,0.0085517638421911,0.00855213425594847,-3.70413757373386e-07
LIRCMOP8_BC,2,2,90000,0.0084009253452183,0.00811342849130591,0.00028749685391239
LIRCMOP8_BC,2,2,100000,0.00820585922233539,0.00824450274655029,-3.86435242149038e-05
LIRCMOP8_BC,3,3,10000,0.655662751359032,0.41602209852242,0.239640652836612
LIRCMOP8_BC,3,3,20000,0.180481680158424,0.195389372757846,-0.0149076925994217
LIRCMOP8_BC,3,3,30000,0.168621620230541,0.153296917839861,0.0153247023906807
LIRCMOP8_BC,3,3,40000,0.141747747644476,0.124654937900541,0.0170928097439347
LIRCMOP8_BC,3,3,50000,0.0453418492538566,0.0129495793347901,0.0323922699190665
LIRCMOP8_BC,3,3,60000,0.0129672006463879,0.0112941456266112,0.00167305501977666
LIRCMOP8_BC,3,3,70000,0.0108126580158155,0.00986422904665784,0.000948428969157708
LIRCMOP8_BC,3,3,80000,0.00987531887091475,0.00912841823934202,0.000746900631572728
LIRCMOP8_BC,3,3,90000,0.00909897194263565,0.00888728191283883,0.000211690029796818
LIRCMOP8_BC,3,3,100000,0.00887606985608706,0.0077969508638642,0.00107911899222286
LIRCMOP8_BC,4,4,10000,0.253044726063599,0.324254000674684,-0.0712092746110851
LIRCMOP8_BC,4,4,20000,0.17873771282848,0.169297912248903,0.00943980057957783
LIRCMOP8_BC,4,4,30000,0.16028489413433,0.12949533712332,0.03078955701101
LIRCMOP8_BC,4,4,40000,0.135532011033853,0.121348351240695,0.014183659793158
LIRCMOP8_BC,4,4,50000,0.0144236642853732,0.0938489415321768,-0.0794252772468036
LIRCMOP8_BC,4,4,60000,0.0101826105658538,0.0120357136125304,-0.0018531030466766
LIRCMOP8_BC,4,4,70000,0.00903251768660151,0.00965748603019595,-0.000624968343594436
LIRCMOP8_BC,4,4,80000,0.00868524553013252,0.00921805532951305,-0.000532809799380533
LIRCMOP8_BC,4,4,90000,0.00843978135635615,0.00832252884272411,0.000117252513632045
LIRCMOP8_BC,4,4,100000,0.0082665147603181,0.00804606620506524,0.000220448555252861
LIRCMOP8_BC,5,5,10000,0.586111079342296,1.68879653747429,-1.10268545813199
LIRCMOP8_BC,5,5,20000,0.206526434434101,0.147436613562011,0.0590898208720902
LIRCMOP8_BC,5,5,30000,0.129551267066717,0.116382371062966,0.0131688960037514
LIRCMOP8_BC,5,5,40000,0.117382224047255,0.0290656489867841,0.0883165750604707
LIRCMOP8_BC,5,5,50000,0.103643523793764,0.0104295103633134,0.0932140134304507
LIRCMOP8_BC,5,5,60000,0.0641322958067186,0.00901220360567405,0.0551200922010446
LIRCMOP8_BC,5,5,70000,0.020574708136806,0.00807247886743451,0.0125022292693715
LIRCMOP8_BC,5,5,80000,0.0154438946300733,0.00801138931917027,0.00743250531090304
LIRCMOP8_BC,5,5,90000,0.0111437820170373,0.00791202496504469,0.00323175705199258
LIRCMOP8_BC,5,5,100000,0.00989748583863096,0.00762126312012162,0.00227622271850934
LIRCMOP10_BC,1,1,10000,0.754280158464856,0.695067498805691,0.0592126596591652
LIRCMOP10_BC,1,1,20000,0.459495930653971,0.442388552029132,0.0171073786248396
LIRCMOP10_BC,1,1,30000,0.415662082831014,0.298948076405881,0.116714006425133
LIRCMOP10_BC,1,1,40000,0.273436054451903,0.249639725095735,0.0237963293561671
LIRCMOP10_BC,1,1,50000,0.219004887344318,0.223794680733955,-0.00478979338963756
LIRCMOP10_BC,1,1,60000,0.217613790333786,0.216849185286025,0.000764605047760103
LIRCMOP10_BC,1,1,70000,0.216860541084209,0.121408884588353,0.0954516564958558
LIRCMOP10_BC,1,1,80000,0.12385698467476,0.105820399284672,0.0180365853900883
LIRCMOP10_BC,1,1,90000,0.107999176175356,0.0305804276366346,0.0774187485387215
LIRCMOP10_BC,1,1,100000,0.0305709518979484,0.0200257039862796,0.0105452479116688
LIRCMOP10_BC,2,2,10000,0.674556084439937,0.692870284388174,-0.0183141999482366
LIRCMOP10_BC,2,2,20000,0.424344939081469,0.426642180817831,-0.00229724173636231
LIRCMOP10_BC,2,2,30000,0.41595312445006,0.295354415887217,0.120598708562844
LIRCMOP10_BC,2,2,40000,0.291626538513369,0.235189243948996,0.0564372945643727
LIRCMOP10_BC,2,2,50000,0.233399705856759,0.217958390521106,0.0154413153356524
LIRCMOP10_BC,2,2,60000,0.218096866139501,0.217019068026741,0.00107779811276015
LIRCMOP10_BC,2,2,70000,0.216001512604588,0.110871040758976,0.105130471845612
LIRCMOP10_BC,2,2,80000,0.128184663274993,0.0304949178407812,0.0976897454342113
LIRCMOP10_BC,2,2,90000,0.105072929244242,0.0212897332697899,0.0837831959744521
LIRCMOP10_BC,2,2,100000,0.0272224421012367,0.018879551473791,0.00834289062744566
LIRCMOP10_BC,3,3,10000,0.716295583927348,0.846481278569126,-0.130185694641778
LIRCMOP10_BC,3,3,20000,0.660020304543396,0.659786649105283,0.000233655438112823
LIRCMOP10_BC,3,3,30000,0.643773225384575,0.619192416611733,0.0245808087728413
LIRCMOP10_BC,3,3,40000,0.482298129098499,0.424386949625009,0.0579111794734899
LIRCMOP10_BC,3,3,50000,0.414581486800067,0.252283182815975,0.162298303984092
LIRCMOP10_BC,3,3,60000,0.227194741184307,0.219883320221816,0.00731142096249013
LIRCMOP10_BC,3,3,70000,0.179809371370489,0.112571789459285,0.0672375819112035
LIRCMOP10_BC,3,3,80000,0.0602203248664032,0.0454949236612495,0.0147254012051537
LIRCMOP10_BC,3,3,90000,0.0295934889703898,0.0257958614860595,0.0037976274843303
LIRCMOP10_BC,3,3,100000,0.0243441364784894,0.0200617315649322,0.00428240491355726
LIRCMOP10_BC,4,4,10000,0.716230543769894,0.738246473871756,-0.0220159301018625
LIRCMOP10_BC,4,4,20000,0.640917098024787,0.4611187650038,0.179798333020987
LIRCMOP10_BC,4,4,30000,0.422029242466615,0.413105234834999,0.00892400763161644
LIRCMOP10_BC,4,4,40000,0.23211350714883,0.256496518255112,-0.024383011106282
LIRCMOP10_BC,4,4,50000,0.221086506328294,0.221461841567623,-0.000375335239329755
LIRCMOP10_BC,4,4,60000,0.137949550984273,0.218433448205462,-0.0804838972211894
LIRCMOP10_BC,4,4,70000,0.109603115136355,0.127492205791041,-0.0178890906546864
LIRCMOP10_BC,4,4,80000,0.103850370074725,0.108959254732348,-0.00510888465762216
LIRCMOP10_BC,4,4,90000,0.0421384036908186,0.0408523842540391,0.00128601943677949
LIRCMOP10_BC,4,4,100000,0.0259102332644164,0.0280491813973027,-0.00213894813288635
LIRCMOP10_BC,5,5,10000,0.690219208129943,0.680002860930092,0.0102163471998507
LIRCMOP10_BC,5,5,20000,0.66038531496775,0.634284068853855,0.0261012461138941
LIRCMOP10_BC,5,5,30000,0.423284708419514,0.419662440887265,0.0036222675322497
LIRCMOP10_BC,5,5,40000,0.255021016350038,0.244650329365802,0.0103706869842359
LIRCMOP10_BC,5,5,50000,0.230469946201947,0.218674055415394,0.0117958907865534
LIRCMOP10_BC,5,5,60000,0.220324434550668,0.151402114308012,0.0689223202426558
LIRCMOP10_BC,5,5,70000,0.115814521201107,0.122250319235948,-0.00643579803484091
LIRCMOP10_BC,5,5,80000,0.0458297886388523,0.11008198882346,-0.064252200184608
LIRCMOP10_BC,5,5,90000,0.0285090892428547,0.0302450037606385,-0.00173591451778381
LIRCMOP10_BC,5,5,100000,0.0224129250828435,0.0250535986189863,-0.0026406735361428
