problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,gateOpenRate,refineUseCount,refineGainPerSeed,UBY,ABS,AGS,FFC,FGY,tightBracketAbsCount,recoverAbsCount,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP4_BC,DASCMOP_BC,4,1004,6815,3239,3228,2877,2877,4,2873,532,0.0140003474072529,0.0134215612988843,0.0122729490914515,0.998609662843239,0,1,0,0.370692655760529,0.00139227288548556,0.0103092783505155,38,0,0,0,0,0,0,1065,4,0.489916424638643,0.489916424638643,1,1,100,612,523,523,0.481322121150035,0.481322121150035,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP4_BC,DASCMOP_BC,5,1005,9561,5450,5441,4010,4010,19,3991,554,0.0215260011145749,0.022795630191436,0.0158642608835927,0.995511221945137,0,1,0.0526315789473684,0.590077674768228,0.0125281884239539,0.00208768267223382,7,0,0.000249376558603491,1,0,0,0.0526315789473684,2355,50,0.465157903996363,0.465157903996363,1,1,100,624,539,539,0.477485349406986,0.477485349406986,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP4_BC,DASCMOP_BC,6,1006,8424,5152,5145,3885,3885,16,3869,582,0.0195053003141661,0.0216757178576695,0.0147027365726718,0.995881595881596,0,1,0,0.668389764797105,0.00672008270871026,0,0,0,0,0,0,0,0,2586,26,0.488733444162718,0.488733444162718,1,1,99,655,578,578,0.47204446023393,0.470786034454203,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP5_BC,DASCMOP_BC,1,1001,9838,6306,6291,4051,4051,1,4050,577,0.0129282752332812,0.0144802239181818,0.00983292349706131,0.99975314737102,0,1,0,0.397777777777778,0.000987654320987654,0,0,0,0,0,0,0,0,1611,4,0.493027119153708,0.493027119153707,1,1,100,637,463,463,0.489969802359553,0.489969802359553,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP5_BC,DASCMOP_BC,2,1002,8918,5660,5640,3660,3660,13,3647,553,0.0152296884473798,0.0172240147775982,0.00982155191394228,0.997814207650273,0,1,0.384615384615385,0.503975870578558,0.00246778173841514,0,0,0,0.00136612021857923,5,0,0,0.384615384615385,1838,9,0.459159496258876,0.459159496258876,1,1,100,631,547,547,0.477008840870617,0.47634122868032,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP5_BC,DASCMOP_BC,3,1003,8146,4752,4734,3499,3499,5,3494,556,0.017350226291261,0.0193455647843477,0.0124598291412075,0.99885681623321,0,1,0.2,0.643961076130509,0.00658271322266743,0,0,0,0.000285795941697628,1,0,0,0.2,2250,23,0.456152151675636,0.456152151675636,1,1,100,631,549,549,0.476407233847974,0.476101936826197,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP5_BC,DASCMOP_BC,4,1004,10073,6227,6220,4319,4319,2,4317,588,0.0153325091661439,0.016636344947191,0.0111839472382829,0.999768464922436,0,1,0.5,0.492934908501274,0.000463284688441047,0,0,0,0.000231535077564251,1,0,0,0.5,2128,2,0.501476754554967,0.501476754554967,1,1,100,658,582,582,0.482682237565352,0.481678015518106,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP5_BC,DASCMOP_BC,5,1005,9390,5313,5308,3763,3763,6,3757,601,0.0168384850834972,0.0172517268402667,0.0121616527675346,0.998937018336434,0,1,0.333333333333333,0.391801969656641,0.00425871706148523,0.00104058272632674,4,0,0.000531490831783152,2,0,0,0.333333333333333,1472,16,0.436466981639069,0.436466981639069,1,1,100,667,592,592,0.451466281350297,0.450729209140357,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP5_BC,DASCMOP_BC,6,1006,9270,5738,5731,3925,3925,9,3916,572,0.0223299497014069,0.0257497193207715,0.0146646126097923,0.997707006369427,0,1,0,0.575331971399387,0.0125127681307457,0.00208550573514077,13,0,0,0,0,0,0,2253,49,0.407380799312843,0.407380799312843,1,1,100,648,569,569,0.456319109706401,0.455832530288742,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP6_BC,DASCMOP_BC,1,1001,3179,1603,1601,1593,1593,12,1581,486,0.0150876350901051,0.0149676954826846,0.014911886656571,0.994978028876334,0.0833333333333333,1,0.333333333333333,0.450347881087919,0.00189753320683112,0,0,0,0.00251098556183302,4,0,1,0.333333333333333,712,3,0.493996086795801,0.493996086795801,1,1,100,622,528,528,0.479700638679456,0.479700638679456,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP6_BC,DASCMOP_BC,2,1002,2547,1280,1279,1279,1279,2,1277,520,0.0137968969911726,0.0133355574367993,0.0133166917145189,1,0,1,1,0.568519968676586,0.000783085356303837,0.00101419878296146,2,7.12835641323163e-06,0.00156372165754496,2,0,0,1,726,1,0.490596260054072,0.490596260054073,1,1,100,665,587,587,0.473725212929478,0.473333274278501,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP6_BC,DASCMOP_BC,3,1003,2680,1144,1143,1138,1138,2,1136,465,0.016199381594216,0.0173115978652357,0.017248204175812,0.999121265377856,0,1,0.5,0.486795774647887,0.00616197183098592,0.00810536980749747,18,0,0.000878734622144112,1,0,0,0.5,553,7,0.50093940951086,0.50093940951086,1,1,100,608,513,513,0.476921905029681,0.476921905029681,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP6_BC,DASCMOP_BC,4,1004,2718,1088,1088,1087,1087,1,1086,476,0.0175735126729385,0.0165532224511411,0.0165424379278482,0.999080036798528,0,1,0,0.532228360957643,0.00552486187845304,0,0,0,0,0,0,0,0,578,6,0.505695216503342,0.505695216503342,1,1,100,650,540,540,0.480255901560644,0.480255901560644,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP6_BC,DASCMOP_BC,5,1005,3366,1634,1633,1632,1632,3,1629,560,0.0178900755313746,0.0168740924875887,0.016869318695184,0.998774509803922,0,1,0.333333333333333,0.465930018416206,0.00552486187845304,0,0,0,0.000612745098039216,1,0,0,0.333333333333333,759,9,0.465730147380739,0.465730147380739,1,1,100,677,599,599,0.474110342159,0.473800104944464,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP6_BC,DASCMOP_BC,6,1006,3250,1762,1761,1759,1759,8,1751,560,0.016805816930746,0.0175507545472505,0.0175182628984711,0.996020466173962,0,1,0.125,0.569960022844089,0.00399771559109081,0,0,0,0.000568504832291074,1,0,0,0.125,998,7,0.452906209884952,0.452906209884952,1,1,100,665,585,585,0.473935666141853,0.473935666141853,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP7_BC,DASCMOP_BC,1,1001,13288,11438,10737,4499,4499,5,4494,624,0.0188486698646759,0.0205352391192078,0.00686426991637828,0.999777728384085,0.2,1,0.8,0.536938139741878,0.00133511348464619,0,0,0,0.000889086463658591,4,0,1,0.8,2413,6,0.484945232472751,0.484945232472751,1,1,100,680,610,610,0.478371434783753,0.478371434783753,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP7_BC,DASCMOP_BC,2,1002,12556,10643,10265,4154,4154,32,4122,587,0.0137358344832889,0.0143619403451321,0.00529200829115009,0.993259508907077,0.03125,1,0.125,0.550460941290636,0.000727802037845706,0.00417972831765935,5,1.31541447538182e-06,0.000962927298988926,4,0,1,0.125,2269,3,0.452648365631444,0.452648365631444,1,1,100,645,570,570,0.44527932659334,0.443547831670124,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
