variant,condition_mode,advWeight,reconstructionWeight,problem,run,target_FE,actual_FE,gen,sample_z_mode,train_x_rec90,train_y_rec90,boundary_dist90,segment_width90,feasible_rate,side_rate,ref_cover
A_ref_only_adv,ref_only,1,0,LIRCMOP8_BC,1,100000,100046,438,zero,0.841384322664982,0.56305256901968,0.00642179568257469,0.00980248459364917,0.1,0.3,0.0454545454545455
A_ref_only_adv,ref_only,1,0,LIRCMOP9_BC,1,10000,10049,45,zero,0.700113326176135,1.84055995623692,0.000534033194187715,0.00326486698837524,0.1,0.966666666666667,0.133333333333333
A_ref_only_adv,ref_only,1,0,LIRCMOP9_BC,1,30000,30228,133,zero,0.187103344773491,0.0852231615251554,3.4304323677497e-05,0.00124839560741801,1,0.833333333333333,1
A_ref_only_adv,ref_only,1,0,LIRCMOP9_BC,1,50000,50008,219,zero,0.14824386877701,0.0672305758712239,0.00174783817138786,0.00174783817138786,0.4,0.766666666666667,0.25
A_ref_only_adv,ref_only,1,0,LIRCMOP9_BC,1,70000,70018,306,zero,0.392867012830974,0.168168815231295,0.00245075570146951,0.00245075570146951,0.0666666666666667,0.933333333333333,0.117647058823529
A_ref_only_adv,ref_only,1,0,LIRCMOP9_BC,1,100000,100148,437,zero,0.149099719474264,0.261019390650645,0.00126597807523436,0.00307443243230584,0.133333333333333,0.7,0.166666666666667
A_ref_only_adv,ref_only,1,0,LIRCMOP10_BC,1,10000,10069,46,zero,0.944848026213082,1.08191233333756,0.0041348935958494,0.0143987774798684,0,0.666666666666667,0
A_ref_only_adv,ref_only,1,0,LIRCMOP10_BC,1,30000,30079,133,zero,0.32643220808333,0.936309470528269,0.000279910425539112,0.000823530242735623,0.2,0.133333333333333,0.0689655172413793
A_ref_only_adv,ref_only,1,0,LIRCMOP10_BC,1,50000,50089,220,zero,0.192510055344178,0.336119625909024,0.000511778935651616,0.00091862884710741,0.433333333333333,0.8,0.117647058823529
A_ref_only_adv,ref_only,1,0,LIRCMOP10_BC,1,70000,70099,307,zero,0.205651554118575,0.342021066845552,0.000363597829634166,0.000529554332910815,0.266666666666667,0.633333333333333,0.205128205128205
A_ref_only_adv,ref_only,1,0,LIRCMOP10_BC,1,100000,100229,438,zero,0.190331216623313,0.249453096675671,0.00042032651266548,0.000473678541328157,0.3,0.7,0.133333333333333
