problem,run,target_FE,variant_to,variant_from,delta_query_obj_dist90,delta_boundary_dist90,delta_ref_cover,delta_feasible_rate,delta_missing_ref_query_obj_dist90,delta_large_gap_query_obj_dist90,delta_condition_dim
DASCMOP2_BC,1,100000,B_ref_y_tau,A_ref_tau,-1.31145873283227,-1.30387439698255,0.222437137330754,0.3,-1.3442152821041,-1.28612715818772,2
DASCMOP2_BC,1,100000,C_ref_y,B_ref_y_tau,-0.04667654005962,-0.0506185428413706,-0.352973267866885,-0.45,-0.028636941518172,-0.0470125644744191,-1
DASCMOP2_BC,1,100000,C_ref_y,A_ref_tau,-1.35813527289189,-1.35449293982392,-0.130536130536131,-0.15,-1.37285222362228,-1.33313972266214,1
DASCMOP2_BC,2,10000,B_ref_y_tau,A_ref_tau,0.341555693295672,0.342358111338571,-1,-0.85,0.337242946649627,0.343476994221523,2
DASCMOP2_BC,2,10000,C_ref_y,B_ref_y_tau,-0.342416658267513,-0.341929759842761,0.823529411764706,0.65,-0.346925574957507,-0.342273912641682,-1
DASCMOP2_BC,2,10000,C_ref_y,A_ref_tau,-0.000860964971841904,0.000428351495810095,-0.176470588235294,-0.2,-0.00968262830788019,0.0012030815798408,1
DASCMOP2_BC,2,30000,B_ref_y_tau,A_ref_tau,0.0657935951767111,0.0590587830612694,-0.016410256410256,-0.25,0.0670365211961125,0.0637605567028959,2
DASCMOP2_BC,2,30000,C_ref_y,B_ref_y_tau,-0.0332662303689577,-0.0252624654919429,0.112941176470588,-0.15,-0.0802029435238,-0.0294596435236343,-1
DASCMOP2_BC,2,30000,C_ref_y,A_ref_tau,0.0325273648077534,0.0337963175693265,0.096530920060332,-0.4,-0.0131664223276875,0.0343009131792616,1
DASCMOP2_BC,2,50000,B_ref_y_tau,A_ref_tau,0.0315411576350822,0.0337734600912995,0.16046511627907,0.15,-0.0648386114505492,0.036591480778686,2
DASCMOP2_BC,2,50000,C_ref_y,B_ref_y_tau,-0.0632610901541798,-0.0770582948657333,-0.3,-0.3,0.0164864616028153,-0.0637773242932623,-1
DASCMOP2_BC,2,50000,C_ref_y,A_ref_tau,-0.0317199325190976,-0.0432848347744338,-0.13953488372093,-0.15,-0.0483521498477339,-0.0271858435145763,1
DASCMOP2_BC,2,70000,B_ref_y_tau,A_ref_tau,0.0360959420311499,0.0373409677080378,0.020703933747412,0,-0.0241292605860453,0.0376809695276877,2
DASCMOP2_BC,2,70000,C_ref_y,B_ref_y_tau,-0.0531043019397319,-0.067396319907721,0.034632034632035,0.05,0.0185382641500135,-0.0605424066867958,-1
DASCMOP2_BC,2,70000,C_ref_y,A_ref_tau,-0.017008359908582,-0.0300553521996832,0.055335968379447,0.05,-0.0055909964360318,-0.0228614371591081,1
DASCMOP2_BC,2,100000,B_ref_y_tau,A_ref_tau,0.0933412292857301,0.103652338192452,0.170879676440849,0.3,0.126503181447516,0.0960506977684454,2
DASCMOP2_BC,2,100000,C_ref_y,B_ref_y_tau,-0.0880680836717616,-0.080320519942118,-0.217391304347826,-0.35,-0.130574074017161,-0.0856032658622297,-1
DASCMOP2_BC,2,100000,C_ref_y,A_ref_tau,0.0052731456139685,0.0233318182503335,-0.0465116279069767,-0.05,-0.0040708925696456,0.0104474319062157,1
DASCMOP2_BC,3,10000,B_ref_y_tau,A_ref_tau,-0.224521932353681,-0.221419701868825,0,0,NaN,-0.224897014815475,2
DASCMOP2_BC,3,10000,C_ref_y,B_ref_y_tau,0.417241558653882,0.415886495778294,0,0,0.328741695949274,0.419547339303628,-1
DASCMOP2_BC,3,10000,C_ref_y,A_ref_tau,0.192719626300201,0.194466793909469,0,0,NaN,0.194650324488153,1
DASCMOP2_BC,3,30000,B_ref_y_tau,A_ref_tau,0.0710831531843507,0.0668039323528212,-0.038888888888889,-0.1,0.0777823414786019,0.0633771736522119,2
DASCMOP2_BC,3,30000,C_ref_y,B_ref_y_tau,0.063189028482972,0.0558340131202169,-0.0523809523809524,0,0.061135127410194,0.0673465905294257,-1
DASCMOP2_BC,3,30000,C_ref_y,A_ref_tau,0.134272181667323,0.122637945473038,-0.0912698412698414,-0.1,0.138917468888796,0.130723764181638,1
DASCMOP2_BC,3,50000,B_ref_y_tau,A_ref_tau,0.149923750934057,0.137143161466082,0.089539007092199,0.1,0.132314118990287,0.161990358371561,2
DASCMOP2_BC,3,50000,C_ref_y,B_ref_y_tau,-0.097356670493987,-0.099890563124212,-0.127659574468085,-0.15,-0.103536335669962,-0.09155748509264,-1
DASCMOP2_BC,3,50000,C_ref_y,A_ref_tau,0.0525670804400698,0.0372525983418699,-0.038120567375886,-0.05,0.0287777833203251,0.0704328732789207,1
