problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,gateOpenRate,refineUseCount,refineGainPerSeed,UBY,ABS,AGS,FFC,FGY,tightBracketAbsCount,recoverAbsCount,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP4_BC,DASCMOP_BC,4,1004,5793,2859,2854,2734,2734,4,2730,523,0.0134518483788172,0.0138604940975534,0.0131165754430364,0.999268471104609,0,1,0.5,0.400732600732601,0.00146520146520147,0.00411946446961895,22,0,0.000731528895391368,2,0,0,0.5,1094,4,0.478250295345309,0.478250295345309,1,1,100,603,510,510,0.475650063842837,0.475650063842836,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP4_BC,DASCMOP_BC,5,1005,9374,4687,4678,3732,3732,6,3726,561,0.0225936545782905,0.0253527856468102,0.0187901501915528,0.998392282958199,0,1,0,0.463231347289318,0.00322061191626409,0,0,0,0,0,0,0,0,1726,12,0.371920175937974,0.371920175937974,1,1,95,628,532,532,0.477297202977702,0.47720226275417,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP4_BC,DASCMOP_BC,6,1006,8681,4551,4533,3583,3583,30,3553,567,0.0563283127416081,0.0612613356171497,0.0538453315244228,0.991906223834775,0,1,0.0333333333333333,0.816211652124965,0.0143540669856459,0,0,0,0.000279095729835334,1,0,0,0.0333333333333333,2900,51,0.295040678438874,0.295040678438874,1,1,100,653,556,556,0.396463019902345,0.394560767612226,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP5_BC,DASCMOP_BC,1,1001,9974,3987,3980,3285,3285,4,3281,566,0.0284439420513933,0.0283837131369812,0.024167970952429,0.998782343987823,0,1,0,0.462663822005486,0.00640048765620238,0,0,0,0,0,0,0,0,1518,21,0.470458660860434,0.470458660860434,1,1,100,642,463,463,0.476576248800436,0.476576248800436,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP5_BC,DASCMOP_BC,2,1002,8921,4716,4700,3367,3367,9,3358,544,0.0684386141729788,0.0732937620384993,0.0582820015628632,0.998514998514998,0.222222222222222,1,0.444444444444444,0.767123287671233,0.00893388921977368,0,0,0,0.00118800118800119,4,0,2,0.444444444444444,2576,30,0.357532357567629,0.357532357567629,1,1,91,637,553,553,0.412053717710803,0.412053717710803,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP5_BC,DASCMOP_BC,3,1003,9342,4237,4229,3257,3257,3,3254,544,0.0222216610081483,0.0215858554098951,0.0172161378779156,0.999385937979736,0,1,0.333333333333333,0.39059618930547,0.00122925629993854,0,0,0,0.000307031010132023,1,0,0,0.333333333333333,1271,4,0.508585212429193,0.508585212429193,1,1,100,627,545,545,0.475690771530613,0.475690771530613,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP5_BC,DASCMOP_BC,4,1004,10263,5769,5755,4041,4041,6,4035,593,0.0150612810735996,0.0171266848662125,0.0117636145852083,1,0,1,1,0.592565055762082,0.000247831474597274,0,0,0,0.00148478099480327,6,0,0,1,2391,1,0.460299977493112,0.460299977493112,1,1,100,661,576,576,0.46290592677121,0.46290592677121,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP5_BC,DASCMOP_BC,5,1005,8851,3602,3591,3153,3153,3,3150,593,0.0219195098156378,0.0196803813009903,0.018439412489714,0.999365683476055,0,1,0.333333333333333,0.354285714285714,0.00380952380952381,0,0,0,0.000317158261972724,1,0,0,0.333333333333333,1116,12,0.509501117188342,0.509501117188342,1,1,100,664,587,587,0.47649447924672,0.47649447924672,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP5_BC,DASCMOP_BC,6,1006,10485,6155,6128,3946,3946,7,3939,577,0.0342797512314699,0.0375022563686562,0.0264143652827905,0.998479472883933,0,1,0.142857142857143,0.605483625285606,0.00456968773800457,0,0,0,0.000253421186011151,1,0,0,0.142857142857143,2385,18,0.394849274303983,0.394849274303983,1,1,95,646,478,478,0.473070881969582,0.473070881969582,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP6_BC,DASCMOP_BC,1,1001,3311,1332,1331,1326,1326,0,1326,483,0.0138034119624973,0.0146340507837034,0.0145430358159157,1,NaN,1,NaN,0.476621417797888,0,0,0,0,0,0,0,0,NaN,632,0,0.477212597391597,0.477212597391597,1,1,100,616,520,520,0.483490461246193,0.483490461246193,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
