problem,calibratorVariant,queryVariant,run,poolCount,candidateCount,eligibleCount,selectedCount,oracleCount,meanDB,medianDB,QPTau,rhoUtilityNegDB
DASCMOP2_BC,auto,ParetoOnly,1,901,31986,26950,7103,7103,0.00087185479709655,0.000757396322875239,1,-0.176454790901071
DASCMOP2_BC,auto,ParetoOnly,2,899,32372,27168,7163,7163,0.000873738117632435,0.000744280015572364,1,-0.159070765351735
DASCMOP2_BC,auto,ParetoOnly,3,900,31765,26373,7173,7173,0.00079816844836764,0.000611467937369839,1,-0.205839422952517
DASCMOP2_BC,auto,ParetoOnly,4,902,32504,27225,7180,7180,0.000869392050943701,0.000732505797890585,1,-0.143424725533522
DASCMOP2_BC,auto,ParetoOnly,5,900,31464,26082,7139,7139,0.000736661243085651,0.000525006927911791,1,-0.194720114238874
DASCMOP2_BC,auto,RandBoundary,1,901,31986,26950,7103,7103,0.000984300399714103,0.000917490786017063,1,-0.0272235481076702
DASCMOP2_BC,auto,RandBoundary,2,899,32372,27168,7163,7163,0.000973537164010581,0.000904036001964811,1,-0.0159369117982986
DASCMOP2_BC,auto,RandBoundary,3,900,31765,26373,7173,7173,0.000958594857027235,0.000879528603268299,1,-0.0440092252786263
DASCMOP2_BC,auto,RandBoundary,4,902,32504,27225,7180,7180,0.000978270863537209,0.000865556925740277,1,-0.0426784484112417
DASCMOP2_BC,auto,RandBoundary,5,900,31464,26082,7139,7139,0.00090373432497101,0.000809358000175291,1,-0.0709209237997145
DASCMOP2_BC,auto,UncertainOnly,1,901,31986,26950,7103,7103,0.00095484509791172,0.000896140152649451,1,0.166955663649385
DASCMOP2_BC,auto,UncertainOnly,2,899,32372,27168,7163,7163,0.00101843462321799,0.000943536533798197,1,0.310225543192439
DASCMOP2_BC,auto,UncertainOnly,3,900,31765,26373,7173,7173,0.00101063410825886,0.000899361384356534,1,0.214036808358589
DASCMOP2_BC,auto,UncertainOnly,4,902,32504,27225,7180,7180,0.000976294341396733,0.000861777294545677,1,0.109966240390531
DASCMOP2_BC,auto,UncertainOnly,5,900,31464,26082,7139,7139,0.000816170607003136,0.000757929876135433,1,0.04937508848201
DASCMOP2_BC,beta,Full,1,901,31636,26537,7105,7105,0.000890896937681098,0.000759707217791307,1,-0.179553043163792
DASCMOP2_BC,beta,Full,2,899,32372,27168,7163,7163,0.000873738117632435,0.000744280015572364,1,-0.159070765351735
DASCMOP2_BC,beta,Full,3,900,31765,26373,7173,7173,0.00079816844836764,0.000611467937369839,1,-0.205839422952517
DASCMOP2_BC,beta,Full,4,902,32504,27225,7180,7180,0.000869392050943701,0.000732505797890585,1,-0.143424725533522
DASCMOP2_BC,beta,Full,5,900,31898,26263,7133,7133,0.000692476092575111,0.000480310250431676,1,-0.222220047526729
DASCMOP2_BC,beta,HighProbBoundary,1,901,31636,26537,7105,7105,0.00129213947811074,0.00120526503645037,1,-0.0957772970830127
DASCMOP2_BC,beta,HighProbBoundary,2,899,32372,27168,7163,7163,0.00133059475113703,0.00129740906298052,1,-0.0943266032646892
DASCMOP2_BC,beta,HighProbBoundary,3,900,31765,26373,7173,7173,0.00127151078037734,0.00121849513179839,1,-0.144505230286811
DASCMOP2_BC,beta,HighProbBoundary,4,902,32504,27225,7180,7180,0.00115407397268953,0.00100811631630775,1,-0.134533959829098
DASCMOP2_BC,beta,HighProbBoundary,5,900,31898,26263,7133,7133,0.00108506957994943,0.000934196525562663,1,-0.189935218821485
DASCMOP2_BC,beta,ParetoOnly,1,901,31636,26537,7105,7105,0.000890896937681098,0.000759707217791307,1,-0.179553043163792
DASCMOP2_BC,beta,ParetoOnly,2,899,32372,27168,7163,7163,0.000873738117632435,0.000744280015572364,1,-0.159070765351735
DASCMOP2_BC,beta,ParetoOnly,3,900,31765,26373,7173,7173,0.00079816844836764,0.000611467937369839,1,-0.205839422952517
DASCMOP2_BC,beta,ParetoOnly,4,902,32504,27225,7180,7180,0.000869392050943701,0.000732505797890585,1,-0.143424725533522
DASCMOP2_BC,beta,ParetoOnly,5,900,31898,26263,7133,7133,0.000692476092575111,0.000480310250431676,1,-0.222220047526729
DASCMOP2_BC,beta,RandBoundary,1,901,31636,26537,7105,7105,0.000963963394320388,0.000885414722231221,1,-0.00951914711666377
DASCMOP2_BC,beta,RandBoundary,2,899,32372,27168,7163,7163,0.000977076078569361,0.000901531843663021,1,-0.0142443093852413
DASCMOP2_BC,beta,RandBoundary,3,900,31765,26373,7173,7173,0.000955558289716079,0.000872748567004845,1,-0.033968035634407
DASCMOP2_BC,beta,RandBoundary,4,902,32504,27225,7180,7180,0.000979863340850223,0.000868013875559078,1,-0.0171971511480855
DASCMOP2_BC,beta,RandBoundary,5,900,31898,26263,7133,7133,0.000883311759424257,0.000805930441191913,1,-0.0808017138425382
DASCMOP2_BC,beta,UncertainOnly,1,901,31636,26537,7105,7105,0.00127334555369757,0.00118428788977287,1,-0.0555782179388753
DASCMOP2_BC,beta,UncertainOnly,2,899,32372,27168,7163,7163,0.00128877704482942,0.00122856690787834,1,0.00119456086311451
DASCMOP2_BC,beta,UncertainOnly,3,900,31765,26373,7173,7173,0.00126328520131615,0.00120937967770577,1,-0.128205433603832
DASCMOP2_BC,beta,UncertainOnly,4,902,32504,27225,7180,7180,0.00113092260953512,0.000988618299126576,1,-0.091274316253641
DASCMOP2_BC,beta,UncertainOnly,5,900,31898,26263,7133,7133,0.00105893459856998,0.000915527181823295,1,-0.146812727641259
DASCMOP2_BC,raw,Full,1,901,31986,26950,7103,7103,0.00087185479709655,0.000757396322875239,1,-0.176454790901071
DASCMOP2_BC,raw,Full,2,899,32372,27168,7163,7163,0.000873738117632435,0.000744280015572364,1,-0.159070765351735
DASCMOP2_BC,raw,Full,3,900,31765,26373,7173,7173,0.00079816844836764,0.000611467937369839,1,-0.205839422952517
DASCMOP2_BC,raw,Full,4,902,32847,27428,7164,7164,0.000863261576139552,0.000729125286597163,1,-0.162238664997807
DASCMOP2_BC,raw,Full,5,900,31464,26082,7139,7139,0.000736661243085651,0.000525006927911791,1,-0.194720114238874
DASCMOP2_BC,raw,HighProbBoundary,1,901,31986,26950,7103,7103,0.00122020898487949,0.00107795578646362,1,-0.337392913058006
DASCMOP2_BC,raw,HighProbBoundary,2,899,32372,27168,7163,7163,0.00134965585624489,0.00135058890754801,1,-0.380679593656287
DASCMOP2_BC,raw,HighProbBoundary,3,900,31765,26373,7173,7173,0.00127035485105024,0.00121196785907343,1,-0.371812643007957
