problem,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
LIRCMOP11_BC,raw,temperature,TWS,5,0.246787863988275,0.348925090921146,-0.020986513082304,0.125
LIRCMOP11_BC,raw,auto,meanCoreNearGap,5,0.0255421854677687,0.0207034565498214,0.00483872891794729,0.125
LIRCMOP11_BC,raw,beta,meanCoreNearGap,5,0.0255421854677687,0.0210451480481036,0.00686559379259327,0.0625
LIRCMOP11_BC,raw,temperature,meanCoreNearGap,5,0.0255421854677687,0.0206999050640123,0.00451063833099253,0.0625
LIRCMOP11_BC,raw,auto,meanECE,5,0.0842199863094035,0.0710221482372358,0.0114257338470421,0.1875
LIRCMOP11_BC,raw,beta,meanECE,5,0.0842199863094035,0.0790962734480244,0.00561124646585688,0.3125
LIRCMOP11_BC,raw,temperature,meanECE,5,0.0842199863094035,0.074822103590652,0.00531927602697546,0.3125
LIRCMOP12_BC,raw,auto,TGP,5,0.655793025871766,0.49554565701559,0.124949838479905,0.0625
LIRCMOP12_BC,raw,beta,TGP,5,0.655793025871766,0.5498320268757,0.0706634686197957,0.4375
LIRCMOP12_BC,raw,temperature,TGP,5,0.655793025871766,0.499442586399108,0.062216606426004,0.0625
LIRCMOP12_BC,raw,auto,TWS,5,0.305951919198728,0.233553772102907,0.0665176302073344,0.3125
LIRCMOP12_BC,raw,beta,TWS,5,0.305951919198728,0.269198804319448,0.0255951337849574,0.625
LIRCMOP12_BC,raw,temperature,TWS,5,0.305951919198728,0.232528292400109,0.0572649768764208,0.3125
LIRCMOP12_BC,raw,auto,meanCoreNearGap,5,0.0467640165359198,0.029791485604031,0.00569038494887079,0.3125
LIRCMOP12_BC,raw,beta,meanCoreNearGap,5,0.0467640165359198,0.0336467192444953,0.010601100268548,0.0625
LIRCMOP12_BC,raw,temperature,meanCoreNearGap,5,0.0467640165359198,0.040771518362405,0.00742885741690283,0.8125
LIRCMOP12_BC,raw,auto,meanECE,5,0.0768219050613968,0.0915176871160935,-0.0111624682501682,0.3125
LIRCMOP12_BC,raw,beta,meanECE,5,0.0768219050613968,0.0844973677039894,-0.002697327022142,0.8125
LIRCMOP12_BC,raw,temperature,meanECE,5,0.0768219050613968,0.0876948805619458,-0.00178924499237444,0.4375
LIRCMOP13_BC,raw,auto,TGP,5,0.100422832980973,0.189618644067797,-0.0654717065734015,0.0625
LIRCMOP13_BC,raw,beta,TGP,5,0.100422832980973,0.0900423728813559,0.0118407010434287,0.625
LIRCMOP13_BC,raw,temperature,TGP,5,0.100422832980973,0.136507936507936,-0.0317460317460317,0.3125
LIRCMOP13_BC,raw,auto,TWS,5,0.018333811860495,0.0275583856452502,-0.00784694261929616,0.0625
LIRCMOP13_BC,raw,beta,TWS,5,0.018333811860495,0.033512466910446,-0.0138010238844919,0.125
LIRCMOP13_BC,raw,temperature,TWS,5,0.018333811860495,0.0191956044222429,-0.00307825778637829,0.0625
LIRCMOP13_BC,raw,auto,meanCoreNearGap,5,0.130308041181795,0.113095690997949,0.0179306064950704,0.0625
LIRCMOP13_BC,raw,beta,meanCoreNearGap,5,0.130308041181795,0.141887429158247,-0.0210645725314868,0.3125
LIRCMOP13_BC,raw,temperature,meanCoreNearGap,5,0.130308041181795,0.118372205735653,0.0205619692055153,0.0625
LIRCMOP13_BC,raw,auto,meanECE,5,0.133414731184542,0.111275957871828,0.0291140516651173,0.0625
LIRCMOP13_BC,raw,beta,meanECE,5,0.133414731184542,0.125189358953763,0.0173638051332582,0.4375
LIRCMOP13_BC,raw,temperature,meanECE,5,0.133414731184542,0.121516857292461,0.0193700825039539,0.0625
LIRCMOP14_BC,raw,auto,TGP,5,0.195909580193757,0.269272529858849,-6.37977032826864e-05,0.8125
LIRCMOP14_BC,raw,beta,TGP,5,0.195909580193757,0.236126224156692,0.0483936629728275,0.8125
LIRCMOP14_BC,raw,temperature,TGP,5,0.195909580193757,0.207343412526998,0.0625,0.3125
LIRCMOP14_BC,raw,auto,TWS,5,0.0513842210592328,0.0697895905621853,-0.011101770500441,0.4375
LIRCMOP14_BC,raw,beta,TWS,5,0.0513842210592328,0.0684066129052816,0.0023135331309596,1
LIRCMOP14_BC,raw,temperature,TWS,5,0.0513842210592328,0.0439137780360555,0.00106732301430014,0.8125
LIRCMOP14_BC,raw,auto,meanCoreNearGap,5,0.131307587304347,0.116416065226674,0.00171095829450646,0.8125
LIRCMOP14_BC,raw,beta,meanCoreNearGap,5,0.131307587304347,0.120281697928189,-0.0169286078751143,1
LIRCMOP14_BC,raw,temperature,meanCoreNearGap,5,0.131307587304347,0.121084502842109,-0.0051081936943993,0.8125
LIRCMOP14_BC,raw,auto,meanECE,5,0.130903687280239,0.11799841748618,0.00449355095779835,0.625
LIRCMOP14_BC,raw,beta,meanECE,5,0.130903687280239,0.107688956411107,-0.00515681827752702,0.8125
LIRCMOP14_BC,raw,temperature,meanECE,5,0.130903687280239,0.123364025114984,-0.0129430721887644,0.8125
LIRCMOP1_BC,raw,auto,TGP,5,0,0,0,1
LIRCMOP1_BC,raw,beta,TGP,5,0,0,0,1
LIRCMOP1_BC,raw,temperature,TGP,5,0,0,0,1
LIRCMOP1_BC,raw,auto,TWS,5,0,0,0,1
LIRCMOP1_BC,raw,beta,TWS,5,0,0,0,1
LIRCMOP1_BC,raw,temperature,TWS,5,0,0,0,1
LIRCMOP1_BC,raw,auto,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP1_BC,raw,beta,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP1_BC,raw,temperature,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP1_BC,raw,auto,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP1_BC,raw,beta,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP1_BC,raw,temperature,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP2_BC,raw,auto,TGP,5,0,0,0,1
LIRCMOP2_BC,raw,beta,TGP,5,0,0,0,1
LIRCMOP2_BC,raw,temperature,TGP,5,0,0,0,1
LIRCMOP2_BC,raw,auto,TWS,5,0,0,0,1
LIRCMOP2_BC,raw,beta,TWS,5,0,0,0,1
LIRCMOP2_BC,raw,temperature,TWS,5,0,0,0,1
LIRCMOP2_BC,raw,auto,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP2_BC,raw,beta,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP2_BC,raw,temperature,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP2_BC,raw,auto,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP2_BC,raw,beta,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP2_BC,raw,temperature,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP3_BC,raw,auto,TGP,5,0,0,0,1
LIRCMOP3_BC,raw,beta,TGP,5,0,0,0,1
LIRCMOP3_BC,raw,temperature,TGP,5,0,0,0,1
LIRCMOP3_BC,raw,auto,TWS,5,0,0,0,1
LIRCMOP3_BC,raw,beta,TWS,5,0,0,0,1
LIRCMOP3_BC,raw,temperature,TWS,5,0,0,0,1
LIRCMOP3_BC,raw,auto,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP3_BC,raw,beta,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP3_BC,raw,temperature,meanCoreNearGap,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP3_BC,raw,auto,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP3_BC,raw,beta,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP3_BC,raw,temperature,meanECE,5,0.489999999999999,0.489999999999999,0,1
LIRCMOP4_BC,raw,auto,TGP,5,0,0,0,1
LIRCMOP4_BC,raw,beta,TGP,5,0,0,0,1
LIRCMOP4_BC,raw,temperature,TGP,5,0,0,0,1
LIRCMOP4_BC,raw,auto,TWS,5,0,0,0,1
LIRCMOP4_BC,raw,beta,TWS,5,0,0,0,1
LIRCMOP4_BC,raw,temperature,TWS,5,0,0,0,1
LIRCMOP4_BC,raw,auto,meanCoreNearGap,5,0.49,0.48,0,1
LIRCMOP4_BC,raw,beta,meanCoreNearGap,5,0.49,0.48,0,1
LIRCMOP4_BC,raw,temperature,meanCoreNearGap,5,0.49,0.49,0,1
LIRCMOP4_BC,raw,auto,meanECE,5,0.483571729155323,0.48,0,1
LIRCMOP4_BC,raw,beta,meanECE,5,0.483571729155323,0.48,0,1
LIRCMOP4_BC,raw,temperature,meanECE,5,0.483571729155323,0.483003838967772,0,1
LIRCMOP5_BC,raw,auto,TGP,5,0.385382059800664,0.368834080717489,0.0466194467181215,0.4375
LIRCMOP5_BC,raw,beta,TGP,5,0.385382059800664,0.30546265328874,0.10999087414687,0.3125
LIRCMOP5_BC,raw,temperature,TGP,5,0.385382059800664,0.429054054054054,-0.0441481415416174,0.0625
LIRCMOP5_BC,raw,auto,TWS,5,0.162767618773781,0.158071065832501,0.00911723635319106,0.4375
LIRCMOP5_BC,raw,beta,TWS,5,0.162767618773781,0.121770455401366,0.0458768733674281,0.1875
LIRCMOP5_BC,raw,temperature,TWS,5,0.162767618773781,0.192528419236661,-0.0280206872837099,0.0625
LIRCMOP5_BC,raw,auto,meanCoreNearGap,5,0.0710260782468022,0.0801039395401354,-0.0101994021884436,0.4375
LIRCMOP5_BC,raw,beta,meanCoreNearGap,5,0.0710260782468022,0.0725547426936782,-0.0123226889299311,0.125
LIRCMOP5_BC,raw,temperature,meanCoreNearGap,5,0.0710260782468022,0.0616034867451591,0.00337035777054501,0.625
LIRCMOP5_BC,raw,auto,meanECE,5,0.107440556706342,0.115790585082939,-0.0104931240661639,0.625
LIRCMOP5_BC,raw,beta,meanECE,5,0.107440556706342,0.115860080975617,0.0040572189596164,0.8125
LIRCMOP5_BC,raw,temperature,meanECE,5,0.107440556706342,0.109503526364256,0.00629674610127932,0.3125
LIRCMOP6_BC,raw,auto,TGP,5,0.14079822616408,0.125,0.0157982261640798,1
LIRCMOP6_BC,raw,beta,TGP,5,0.14079822616408,0.30981256890849,-0.161995069925306,0.0625
LIRCMOP6_BC,raw,temperature,TGP,5,0.14079822616408,0.196013289036545,-0.0599934193241057,0.3125
LIRCMOP6_BC,raw,auto,TWS,5,0.0286056828399021,0.0284901610842517,-0.0123499228548283,0.4375
LIRCMOP6_BC,raw,beta,TWS,5,0.0286056828399021,0.140887860576517,-0.105311279018482,0.0625
LIRCMOP6_BC,raw,temperature,TWS,5,0.0286056828399021,0.0519961725030927,-0.0233904896631907,0.4375
LIRCMOP6_BC,raw,auto,meanCoreNearGap,5,0.132677041249577,0.136619685629729,-0.00031796952358662,1
LIRCMOP6_BC,raw,beta,meanCoreNearGap,5,0.132677041249577,0.11191892726212,0.0280147805735353,0.0625
LIRCMOP6_BC,raw,temperature,meanCoreNearGap,5,0.132677041249577,0.119507010132802,0.0127289107414351,0.1875
LIRCMOP6_BC,raw,auto,meanECE,5,0.156747321772938,0.151477096570234,0.00545480940285809,0.1875
LIRCMOP6_BC,raw,beta,meanECE,5,0.156747321772938,0.109816051451008,0.0450301562868208,0.0625
LIRCMOP6_BC,raw,temperature,meanECE,5,0.156747321772938,0.13830705800869,0.0115619630804206,0.3125
LIRCMOP7_BC,raw,auto,TGP,5,0.0158550396375991,0.00908059023836549,0.00454029511918275,0.625
LIRCMOP7_BC,raw,beta,TGP,5,0.0158550396375991,0.0226500566251416,-0.00112994350282486,0.625
LIRCMOP7_BC,raw,temperature,TGP,5,0.0158550396375991,0.0135900339750849,0.00226500566251416,0.875
LIRCMOP7_BC,raw,auto,TWS,5,0.00399749005352894,0.00245749399376802,0.000578378101104829,0.625
