problem,calibratorVariant,run,updateCount,auditReadyUpdateCount,boundaryStarted,meanECE,meanCoreNearGap,TWS,TGP,finalCalibrator,dominantCalibrator
LIRCMOP11_BC,raw,4,914,880,1,0.0842199863094035,0.0373142448224436,0.242573472982733,0.561363636363636,raw,raw
LIRCMOP11_BC,raw,5,913,893,1,0.0947019707830548,0.0505169708397971,0.244242900259414,0.535274356103024,raw,raw
LIRCMOP11_BC,temperature,1,913,877,1,0.0745650374023669,0.0206999050640123,0.348925090921146,0.624857468643101,temperature,temperature
LIRCMOP11_BC,temperature,2,913,883,1,0.0770666601529131,0.019968518574617,0.33627684652135,0.600226500566251,temperature,temperature
LIRCMOP11_BC,temperature,3,913,880,1,0.074822103590652,0.0251893027346927,0.376578146487381,0.634090909090909,temperature,temperature
LIRCMOP11_BC,temperature,4,914,880,1,0.0684666011199491,0.0183436994681372,0.386177754949336,0.652272727272727,temperature,temperature
LIRCMOP11_BC,temperature,5,913,893,1,0.0893826947560794,0.0429503840126392,0.265229413341718,0.582306830907055,temperature,temperature
LIRCMOP12_BC,auto,1,928,898,1,0.0915176871160935,0.0540603388632047,0.17800504695428,0.49554565701559,beta,beta
LIRCMOP12_BC,auto,2,918,892,1,0.0860210774856245,0.0248698921523162,0.281757372226253,0.554932735426009,beta,beta
LIRCMOP12_BC,auto,3,914,888,1,0.0703203593974218,0.0433215492390522,0.317179278317526,0.594594594594595,beta,beta
LIRCMOP12_BC,auto,4,916,888,1,0.0976018205606692,0.0284943830681008,0.233553772102907,0.460585585585586,beta,beta
LIRCMOP12_BC,auto,5,915,892,1,0.0936912222915608,0.029791485604031,0.214176804930771,0.475336322869955,beta,beta
LIRCMOP12_BC,beta,1,923,893,1,0.0866406786607796,0.0397849554306001,0.269198804319448,0.5498320268757,beta,beta
LIRCMOP12_BC,beta,2,918,892,1,0.0906524221217875,0.0362773914305661,0.228530430153394,0.45627802690583,beta,beta
LIRCMOP12_BC,beta,3,914,888,1,0.0612619432175416,0.0336467192444953,0.369106334447019,0.734234234234234,beta,beta
LIRCMOP12_BC,beta,4,916,888,1,0.0661477408413879,0.0231381008093169,0.342543400277732,0.685810810810811,beta,beta
LIRCMOP12_BC,beta,5,915,892,1,0.0844973677039894,0.0292824670360009,0.255099301353148,0.507847533632287,beta,beta
LIRCMOP12_BC,raw,1,918,888,1,0.0803552188659253,0.0482003757793079,0.305951919198728,0.620495495495496,raw,raw
LIRCMOP12_BC,raw,2,918,892,1,0.0879550950996455,0.0467640165359198,0.255101156527551,0.561659192825112,raw,raw
LIRCMOP12_BC,raw,3,915,889,1,0.0768219050613968,0.049011934187923,0.31586157672526,0.655793025871766,raw,raw
LIRCMOP12_BC,raw,4,915,887,1,0.0685856814753005,0.0337392010778649,0.349873009593712,0.670800450958286,raw,raw
LIRCMOP12_BC,raw,5,917,894,1,0.070033415682985,0.0454472566439997,0.280694435138105,0.656599552572707,raw,raw
LIRCMOP12_BC,temperature,1,918,888,1,0.0990217665114207,0.040771518362405,0.232528292400109,0.462837837837838,temperature,temperature
LIRCMOP12_BC,temperature,2,923,897,1,0.0876948805619458,0.070644491300408,0.19783617965113,0.499442586399108,temperature,temperature
LIRCMOP12_BC,temperature,3,914,888,1,0.0689878273490634,0.0351447584796715,0.341837315818537,0.641891891891892,temperature,temperature
LIRCMOP12_BC,temperature,4,916,888,1,0.088668876437418,0.0510883924719124,0.228302881599297,0.488738738738739,temperature,temperature
LIRCMOP12_BC,temperature,5,916,893,1,0.0718226606753594,0.0296942161737549,0.316136434334059,0.647256438969765,temperature,temperature
LIRCMOP13_BC,auto,1,986,946,1,0.113824326406828,0.113095690997949,0.0711302569181477,0.250528541226216,raw,beta
LIRCMOP13_BC,auto,2,986,945,1,0.0991985084949204,0.101701264642519,0.0275583856452502,0.194708994708995,raw,beta
LIRCMOP13_BC,auto,3,987,948,1,0.123812754561985,0.136728572340675,0.0240356544017103,0.10126582278481,raw,beta
