problem,run,seed,arm,FE,IGD
LIRCMOP5_BC,7,7,de20,30000,1.23001430015493
LIRCMOP5_BC,7,7,de20,40000,1.19115677018663
LIRCMOP5_BC,7,7,de20,50000,0.148356159922116
LIRCMOP5_BC,7,7,de20,60000,0.0813515714067264
LIRCMOP5_BC,7,7,de20,70000,0.0343335858092767
LIRCMOP5_BC,7,7,de20,80000,0.0293831000319164
LIRCMOP5_BC,7,7,de20,90000,0.0221627983077272
LIRCMOP5_BC,7,7,de20,100000,0.0162746637976503
LIRCMOP5_BC,8,8,mainline,10000,1.23840354565046
LIRCMOP5_BC,8,8,mainline,20000,1.22337427312947
LIRCMOP5_BC,8,8,mainline,30000,0.326596777593291
LIRCMOP5_BC,8,8,mainline,40000,0.261237263730216
LIRCMOP5_BC,8,8,mainline,50000,0.18847570494558
LIRCMOP5_BC,8,8,mainline,60000,0.1324010867226
LIRCMOP5_BC,8,8,mainline,70000,0.0879935811426963
LIRCMOP5_BC,8,8,mainline,80000,0.0164092126018416
LIRCMOP5_BC,8,8,mainline,90000,0.0123359907650338
LIRCMOP5_BC,8,8,mainline,100000,0.0114429460247066
LIRCMOP5_BC,8,8,de20,10000,1.24435133720232
LIRCMOP5_BC,8,8,de20,20000,1.2253255336127
LIRCMOP5_BC,8,8,de20,30000,1.22391230915773
LIRCMOP5_BC,8,8,de20,40000,1.22375181591962
LIRCMOP5_BC,8,8,de20,50000,0.26667401334297
LIRCMOP5_BC,8,8,de20,60000,0.059801646953102
LIRCMOP5_BC,8,8,de20,70000,0.0444792837564062
LIRCMOP5_BC,8,8,de20,80000,0.0332108465645256
LIRCMOP5_BC,8,8,de20,90000,0.0272577496063739
LIRCMOP5_BC,8,8,de20,100000,0.0227664358206127
LIRCMOP5_BC,9,9,mainline,10000,1.23431560455328
LIRCMOP5_BC,9,9,mainline,20000,1.21838617429118
LIRCMOP5_BC,9,9,mainline,30000,1.21559617378258
LIRCMOP5_BC,9,9,mainline,40000,1.21518496278573
LIRCMOP5_BC,9,9,mainline,50000,1.2118746490311
LIRCMOP5_BC,9,9,mainline,60000,0.163171602704362
LIRCMOP5_BC,9,9,mainline,70000,0.0453138083390627
LIRCMOP5_BC,9,9,mainline,80000,0.0360084307504918
LIRCMOP5_BC,9,9,mainline,90000,0.0307711243285782
LIRCMOP5_BC,9,9,mainline,100000,0.0211970130429635
LIRCMOP5_BC,9,9,de20,10000,1.23033817843877
LIRCMOP5_BC,9,9,de20,20000,1.22027575714724
LIRCMOP5_BC,9,9,de20,30000,0.38705094292947
