problem,FE,pairedRuns,mainlineMean,mainlineStd,mainlineMedian,DE20Mean,DE20Std,DE20Median,meanDeltaDE20MinusMainline,medianDeltaDE20MinusMainline,mainlineWins,DE20Wins,ties,signTestP
LIRCMOP8_BC,10000,10,1.04263056123378,0.681924256402075,1.12010985142198,1.10347292148084,0.627621363866264,1.1805304239138,0.0608423602470572,0.00138146726877031,7,3,0,0.34375
LIRCMOP8_BC,20000,10,0.222076361382426,0.0521535678893703,0.215170731724227,0.214144203449815,0.0426967824537761,0.212111176694433,-0.00793215793261139,-0.00643810253313257,3,7,0,0.34375
LIRCMOP8_BC,30000,10,0.152387335202936,0.0537803316254614,0.13260821491667,0.160905839882195,0.045368583611602,0.164610723646299,0.00851850467925977,-0.00353498207750126,4,6,0,0.75390625
LIRCMOP8_BC,40000,10,0.107448402947213,0.0464785480766087,0.108212888893895,0.0871897306964332,0.065617394841616,0.0964336379569056,-0.0202586722507798,0.00409237441850106,6,4,0,0.75390625
LIRCMOP8_BC,50000,10,0.0453399750507385,0.0372293991021587,0.0270420565572176,0.0378848885179771,0.0435608761968907,0.0145284088845798,-0.00745508653276142,-0.00083888337017373,4,6,0,0.75390625
LIRCMOP8_BC,60000,10,0.0182508355151059,0.0228784723360291,0.0110509327633078,0.0160078478815588,0.0170238929688721,0.00999483276084641,-0.00224298763354708,-0.00127895114542284,3,7,0,0.34375
LIRCMOP8_BC,70000,10,0.011358714354332,0.00608417580357281,0.00945868176554705,0.0103460358256486,0.00366937857037679,0.00891647372590583,-0.0010126785286834,-0.000579104148978628,2,8,0,0.109375
LIRCMOP8_BC,80000,10,0.00878239424589857,0.00049456001419937,0.00859460740834899,0.00934466908369128,0.00220597413946375,0.0086133794004155,0.000562274837792716,-0.000226542939512703,4,6,0,0.75390625
LIRCMOP8_BC,90000,10,0.00831734450469002,0.000292423745811592,0.00845291762978972,0.00871181232818654,0.000950177532103568,0.00842035335078722,0.000394467823496519,0.00013227539464393,6,4,0,0.75390625
LIRCMOP8_BC,100000,10,0.008067112144634,0.000295228772131675,0.00805455140572598,0.00839496746038515,0.000674958683667204,0.00823618699132674,0.000327855315751152,0.000201458123411084,8,2,0,0.109375
LIRCMOP10_BC,10000,10,0.754364406427559,0.0841598671286716,0.734575220731127,0.729101906675682,0.0675573913492362,0.716263063848621,-0.0252624997518771,-0.0173636872112867,3,7,0,0.34375
LIRCMOP10_BC,20000,10,0.514227241410296,0.105255532176877,0.445740710613495,0.528036303870494,0.11048627337552,0.453466689962819,0.0138090624601984,0.00635358631778341,8,2,0,0.109375
LIRCMOP10_BC,30000,10,0.342944311900604,0.13509679072833,0.283666706182651,0.386220164224479,0.119546087186125,0.415807603640537,0.0432758523238745,0.0464792349720902,7,3,0,0.34375
LIRCMOP10_BC,40000,10,0.262361370228315,0.072977000684055,0.236111412295347,0.268428769992953,0.0784115732445027,0.234836196078043,0.00606739976463797,0.00336971803700326,6,4,0,0.75390625
LIRCMOP10_BC,50000,10,0.229377101475515,0.0242257736950502,0.222144092044478,0.234399612529264,0.0688423680355025,0.221530530685611,0.00502251105374929,0.00225189885768801,6,4,0,0.75390625
LIRCMOP10_BC,60000,10,0.1714794157404,0.0457755720167452,0.169122273950427,0.172571089561091,0.0558713999365766,0.183758641362189,0.00109167382069137,-1.47228443440062e-05,5,5,0,1
LIRCMOP10_BC,70000,10,0.120993351968567,0.0452184168252218,0.117617710097123,0.134616464699062,0.0575324196346467,0.115194303124994,0.0136231127304951,0.000238214436254117,5,5,0,1
