problem,epoch,run,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,updates,pairVisits,candidateValidCount,candidateValidRate,guidedCount,guidedSelectionRate,fallbackCount,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawCVMedian,rawDecisionUniqueRate,guidedFeasibleRate,guidedBoundaryMarginMedian,guidedCVMedian,guidedDominatingRate,guidedUsefulRate,guidedUsefulPerQuota,qualityScore
LIRCMOP7_BC,1000,2,2800,2900,151.194032541667,37,2,2000,37000,486,0.972,20,1,0,0.912,0.088,1.7497935820101,0,1,0.85,0.668123790999781,0,0.2,0.1,0.1,0.776818466386856
LIRCMOP7_BC,1000,3,2600,2700,99.095023875,32,1,1000,32000,500,1,20,1,0,0.854,0.146,0.896235282849848,0,1,0.6,0.132424828103909,0,0.4,0.05,0.05,0.767725094711196
LIRCMOP7_BC,1000,4,2600,2700,151.925760125,34,2,2000,34000,498,0.996,20,1,0,0.938,0.062,1.4778404753808,0,1,0.75,0.825559804908213,0,0,0,0,0.734762292383599
LIRCMOP7_BC,1000,5,2600,2700,151.904115041667,40,2,2000,40000,500,1,20,1,0,0.726,0.274,0.242896580125773,0,1,0.55,0.0935951593320421,0,0.15,0,0,0.782429975053574
LIRCMOP8_BC,200,1,3000,3100,14.4072479583333,32,1,200,6400,371,0.742,20,1,0,1,0,31.2386409491493,0,1,1,2.44914738153247,0,0,0,0,0.45
LIRCMOP8_BC,200,2,3400,3500,15.7548192083333,32,1,200,6400,358,0.716,20,1,0,1,0,34.6955406604924,0,1,1,3.69070599178117,0,0,0,0,0.45
LIRCMOP8_BC,200,3,2600,2700,28.4453567083333,39,2,400,7800,500,1,20,1,0,1,0,20.7549992761278,0,1,1,1.94173025735353,0,0,0,0,0.45
LIRCMOP8_BC,200,4,3200,3300,25.8672800833333,42,2,400,8400,461,0.922,20,1,0,1,0,14.3720160460857,0,1,0.75,0.604441254810723,0,0,0,0,0.4125
LIRCMOP8_BC,200,5,3200,3300,28.2757140833333,42,2,400,8400,338,0.676,20,1,0,1,0,21.0667228443449,0,1,1,2.03845811835877,0,0,0,0,0.45
LIRCMOP8_BC,400,1,3000,3100,28.2944964166667,32,1,400,12800,471,0.942,20,1,0,1,0,7.07180881306885,0,1,0.95,1.0834900254392,0,0,0,0,0.691520765042083
LIRCMOP8_BC,400,2,3400,3500,24.9161098333333,32,1,400,12800,489,0.978,20,1,0,1,0,7.56214303257864,0,1,0.95,2.35706809194452,0,0,0,0,0.656344126769528
LIRCMOP8_BC,400,3,2600,2700,50.3523475416667,39,2,800,15600,500,1,20,1,0,0.852,0.148,0.818829644090934,0,1,0.7,0.181656648892468,0,0.15,0.05,0.05,0.77035269786125
LIRCMOP8_BC,400,4,3200,3300,23.6342925,42,2,800,16800,500,1,20,1,0,0.754,0.246,0.277458516496126,0,1,0.6,0.0826021530573742,0,0.05,0,0,0.780682286947005
LIRCMOP8_BC,400,5,3200,3300,27.3914737916667,42,2,800,16800,494,0.988,20,1,0,0.888,0.112,0.973650483757221,0,1,0.45,0.0745041844826286,0.0432867934355892,0.1,0,0,0.73846836938198
