variant,archiveParetoFilterMode,archivePairDirectionMode,generatorMode,conditionSamplingMode,problem,target_FE,GroupCount,mean_has_GAN,mean_AF_size,mean_AI_size,mean_BoundaryHit_all,mean_ObjInterfaceScore,mean_RefCov,mean_DuplicateRate,mean_GAN_to_AF_Dist90,mean_AF_Cover_epsilon,mean_AF_CoverEpsilon,mean_RawGANFeasibleRate,mean_InjectedCount,mean_GAN_to_AF_ObjNN_mean,mean_GAN_to_AF_ObjNN_median,mean_GAN_to_AF_ObjNN_p90,mean_GAN_to_AF_DecNN_mean,mean_GAN_to_AF_DecNN_median,mean_GAN_to_AF_DecNN_p90,mean_RawGANVarClipRate
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP5_BC,10000,1,1,124,124,0.54,0.0800207063105926,0.67,0,0.227809786291176,0.395161290322581,0.05,0.86,NaN,0.103562878269319,0.0802023244208422,0.227809786291176,0.0780384958271583,0.0757188140778689,0.0930543975701761,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP5_BC,30000,1,1,165,165,0.885,0.0959806616595623,0.6,0,0.216684968303987,0.76969696969697,0.05,0.46,NaN,0.0703371095920045,0.019841847842137,0.216684968303987,0.0499397536167098,0.0470309999805813,0.0610604956872535,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP5_BC,50000,1,1,235,235,0.805,0.0152492365758309,0.63,0,0.210237694611519,0.514893617021277,0.05,0.1,NaN,0.132140856397457,0.126181732878903,0.210237694611519,0.0480643884667592,0.0483685497247883,0.0541043660991794,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP5_BC,70000,1,1,88,88,1,0.268941276908704,0.44,0,0.0786896154188664,0.965909090909091,0.05,0.81,NaN,0.0195611849441044,0.00466805647816365,0.0786896154188664,0.0130087562280786,0.0110545964392417,0.0289834060900414,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP5_BC,100000,1,1,286,286,1,0.287109414233648,0.77,0,0.0618977450416549,0.958041958041958,0.05,0.46,NaN,0.0309154011314428,0.0254417810653674,0.0618977450416549,0.0112208366391933,0.0106509605231241,0.0164068087705014,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP6_BC,10000,1,0,68,68,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP6_BC,30000,1,1,279,279,0.99,0.0338104078256051,0.81,0,0.0905049747142178,0.956989247311828,0.05,0.12,NaN,0.0593506099459287,0.0581862147927048,0.0905049747142178,0.0438600242279262,0.043226139077059,0.0545853622229217,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP6_BC,50000,1,1,308,308,0.735,0.0463739581468949,0.8,0,0.203533078558587,0.659090909090909,0.05,0.22,NaN,0.105077678320188,0.0993801884741292,0.203533078558587,0.046573520868434,0.0461893166350509,0.0552323373179,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP6_BC,70000,1,1,145,145,1,0.286647628197995,0.53,0,0.107131373162932,0.841379310344828,0.05,0.435,NaN,0.0911694553011731,0.0549157488667942,0.107131373162932,0.0209784823506642,0.0204420866322113,0.0240558617545495,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP6_BC,100000,1,1,334,334,1,0.0946666641020634,0.73,0,0.0250708219959012,0.994011976047904,0.05,0.935,NaN,0.0114783741478907,0.00872566950741874,0.0250708219959012,0.00950481886861254,0.00931659291599044,0.0116545190661063,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP7_BC,10000,1,1,111,111,0.725,0.136824613597226,0.62,0,0.244286081363821,0.234234234234234,0.05,0.645,NaN,0.152030590717721,0.128778694443601,0.244286081363821,0.0841193763846926,0.0823024924492884,0.0999661800811838,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP7_BC,30000,1,1,139,139,0.965,0.149565888948304,0.56,0,0.163164850365821,0.892086330935252,0.05,0.43,NaN,0.0588898480050424,0.0347586944513168,0.163164850365821,0.0382283600182993,0.0355769539064097,0.0518315876672476,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP7_BC,50000,1,1,218,218,0.99,0.107878494954156,0.63,0,0.10636176933865,0.821100917431193,0.05,0.235,NaN,0.0428696442477881,0.0257847698222711,0.10636176933865,0.0409434064926708,0.040542521218686,0.0559526498602089,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP7_BC,70000,1,1,293,293,0.85,0.018786237566123,0.69,0,0.136999977200795,0.563139931740614,0.05,0.1,NaN,0.0769818656689983,0.0768957912370911,0.136999977200795,0.0395063427443931,0.0395540627375462,0.0507180607452129,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP7_BC,100000,1,1,328,328,0.8,0.0147430130302052,0.72,0,0.201908407568137,0.63719512195122,0.05,0.095,NaN,0.109142683713746,0.0982781215834859,0.201908407568137,0.0338191526049682,0.0348878142234106,0.0461617108544249,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP8_BC,10000,1,1,161,161,0.135,0,0.73,0,0.564331235710096,0.291925465838509,0.05,1,NaN,0.325938030561153,0.296409222920398,0.564331235710096,0.10079502747601,0.100834476912239,0.119146691260753,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP8_BC,30000,1,1,134,134,0.87,0.194183856833431,0.71,0,0.206605538256946,0.925373134328358,0.05,0.435,NaN,0.0692077125818077,0.0191090532327008,0.206605538256946,0.0363918950745219,0.0342931557051001,0.061693340266286,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP8_BC,50000,1,1,247,247,0.995,0.0676031976122457,0.74,0,0.139725165880311,0.834008097165992,0.05,0.14,NaN,0.0528659885416772,0.0271846431061721,0.139725165880311,0.0358041605825557,0.0344707843522589,0.0459600457895628,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP8_BC,70000,1,1,315,315,0.915,0.0830745821638577,0.76,0,0.129653680224518,0.752380952380952,0.05,0.225,NaN,0.0676140037817051,0.0533020407226337,0.129653680224518,0.0308077357285751,0.031744115032027,0.037932723022286,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP8_BC,100000,1,1,349,349,0.83,0.0288294642828993,0.77,0,0.12091027867014,0.66189111747851,0.05,0.21,NaN,0.0700478223902756,0.0700086131168656,0.12091027867014,0.0272141683013893,0.0279708019626712,0.0351119519830687,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP9_BC,10000,1,1,51,51,1,0.325953013257636,0.05,0,0.00544239434758852,0.784313725490196,0.05,0.48,NaN,0.0591411062074906,0.00221448717439456,0.00544239434758852,0.0313662395904498,0.0269327898200686,0.0424014446408808,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP9_BC,30000,1,1,56,56,0.88,0.172212973390355,0.24,0,0.0823399346224968,0.857142857142857,0.05,0.805,NaN,0.0221967119578473,0.00321585732225512,0.0823399346224968,0.0136954066506299,0.0109926188810274,0.019982552635202,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP9_BC,50000,1,1,47,47,1,0.130372374100766,0.13,0,0.0163847899726614,1,0.05,0.885,NaN,0.00936040418714448,0.00514736397486396,0.0163847899726614,0.00796614666438729,0.00754010574639813,0.0111014006380104,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP9_BC,70000,1,1,76,76,0.325,0.170861861455506,0.26,0,0.296962162677022,0.657894736842105,0.05,0.405,NaN,0.14863820928237,0.12207315675118,0.296962162677022,0.0301493199992032,0.0279232454569463,0.0450913036646736,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP9_BC,100000,1,1,95,95,1,0.575679596131153,0.26,0,0.0461992038032665,1,0.05,0.56,NaN,0.0222809863879544,0.019260154684498,0.0461992038032665,0.0122708049153616,0.011874729474099,0.0193368148424063,0
