problem,seed,mode,stage,targetFE,actualFE,missing,IGD,HV,p1Feasible,p2Feasible,populationOverlap,archivePairs,activePairs,inactivePairs,eligiblePairs,activeRefCoverage,frontRejectedPairs,infeasibleDominatedPairs,eligibilityRemoved,feasiblePoolEligible,infeasiblePoolEligible,gapMedian,gapP90,trainingEvents,generatorUpdates,criticUpdates,trainingSeconds,lastTrainingFE,lastTrainingPairs,lastTrainingEpochs,lastTrainingUpdates,lastTrainingEndpointRMSE,modelVersion,consumedTrainingFE,consumedTrainingPairs,consumedTrainingEpochs,consumedTrainingUpdates,consumedTrainingRMSE,productionFE,selectedCount,selectedFeasibleRate,survivedP1,survivedP2,cumulativeGuided,nativeBandRate,rebuildInputPoints,netGapReduction
LIRCMOP6_BC,1,fallback_only,FE010000,10000,10000,0,1.35114418656579,0,100,64,38,30,22,8,30,0.22,5,2,6,41,48,0.304443125919637,0.496453873247339,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,462,0
LIRCMOP6_BC,1,fallback_only,FE030000,30000,30000,0,0.945556286742373,0,100,4,4,152,25,127,152,0.25,366,290,372,45,273,0.14540719449982,0.322126037677606,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,1400,0
LIRCMOP6_BC,1,fallback_only,FE050000,50000,50000,0,0.0832475803473493,0.165908706707451,100,74,78,12,7,5,12,0.07,2,1,3,76,46,0.189362530717077,0.217878266330116,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,424,0
LIRCMOP6_BC,1,fallback_only,FE070000,70000,70000,0,0.0198931299598855,0.190556443434475,100,99,87,12,7,5,12,0.07,0,2,2,112,1,0.120113692070885,0.245848239956901,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,424,0
LIRCMOP6_BC,1,fallback_only,FE100000,100000,100000,0,0.0121584332601911,0.193600266368214,100,100,92,0,0,0,0,0,0,0,0,114,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,400,0
LIRCMOP6_BC,1,pair_only,first_true_use,4800,4800,0,2.89272704333347,0,100,96,84,4,3,1,4,0.03,0,0,0,14,4,0.669543983242952,0.961094442830592,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,4600,2,0,0,2,2,1,402,0.412289140840188
LIRCMOP6_BC,1,pair_only,FE010000,10000,10000,0,1.34514870179174,0,100,60,25,54,27,27,54,0.27,2,0,2,67,111,0.000288337065544178,0.07009439486112,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,9800,20,0.35,7,0,428,1,496,-0.048946233147165
LIRCMOP6_BC,1,pair_only,FE030000,30000,30000,0,0.529527461262887,0.0693087355833667,100,24,15,430,24,406,430,0.24,22,0,22,178,184,0.001115709308991,0.0412555343459529,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,29800,20,0.6,10,3,2428,1,1212,0.78287279700615
LIRCMOP6_BC,1,pair_only,FE050000,50000,50000,0,0.171122932208876,0.133697185088886,100,70,67,13,2,11,13,0.02,1,2,2,101,43,0.0824532113029324,0.0882151984167248,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,49800,4,0.75,2,1,4265,1,430,0.228570704710289
LIRCMOP6_BC,1,pair_only,FE070000,70000,70000,0,0.0411875560318969,0.187080376183756,100,92,65,332,13,319,332,0.13,8,0,8,284,23,0.0609134564032187,0.150788775472943,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,69800,20,1,5,5,5471,1,1042,0.13697030295311
LIRCMOP6_BC,1,pair_only,FE100000,100000,100000,0,0.0194970873211859,0.19201364242123,100,100,76,0,0,0,0,0,0,0,0,118,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6079,NaN,400,0
LIRCMOP6_BC,2,cgan,first_true_use,6600,6600,0,1.4977634970034,0,100,93,61,2,2,0,2,0.02,9,8,10,18,11,0.457151976780902,0.65730654263103,1,1000,5000,135.11361025,6400,10,1000,1000,0.10125592464176,1,6400,10,1000,1000,0.10125592464176,6400,20,0.5,4,7,20,NaN,420,1.45539046244243
LIRCMOP6_BC,2,cgan,FE010000,10000,10000,0,1.35605894973008,0,100,56,35,33,30,3,33,0.3,8,1,9,36,68,0.286463917016751,0.480153926373423,9,1160,5800,161.41798925,10000,30,11.6363636363636,20,0.104578964081378,8,9800,25,14.5454545454545,20,0.0982432958236138,9800,20,0.4,2,1,360,NaN,456,-0.0233234335943269
LIRCMOP6_BC,2,cgan,FE030000,30000,30000,0,0.141960919487652,0.139708088404794,100,94,100,0,0,0,0,0,0,0,0,47,12,NaN,NaN,46,1900,9500,247.62268425,17400,24,16.4102564102564,20,0.0798075082312958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,1620,NaN,400,0
LIRCMOP6_BC,2,cgan,FE050000,50000,50000,0,0.0737058648907818,0.164966692350502,100,78,61,7,4,3,7,0.04,0,1,1,117,33,0.0684517106060109,0.084331277055161,46,1900,9500,247.62268425,17400,24,16.4102564102564,20,0.0798075082312958,46,17400,24,16.4102564102564,20,0.0798075082312958,49800,20,0,0,0,3040,NaN,414,0
LIRCMOP6_BC,2,cgan,FE070000,70000,70000,0,0.0184020736332338,0.190831247241702,100,99,72,13,5,8,13,0.05,0,0,0,129,2,0.094793727967109,0.160890971936942,53,2040,10200,268.842292291667,69400,8,18.1818181818182,20,0.0333016174901106,53,69400,8,18.1818181818182,20,0.0333016174901106,69800,20,0.65,0,0,5040,NaN,426,0
LIRCMOP6_BC,2,cgan,FE100000,100000,100000,0,0.0128077443843833,0.193289905230292,100,100,74,0,0,0,0,0,0,0,0,122,0,NaN,NaN,62,2220,11100,292.248962333333,79000,8,17.7777777777778,20,0.021764945749226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,5960,NaN,400,0
LIRCMOP6_BC,2,fallback_only,first_true_use,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN
LIRCMOP6_BC,2,fallback_only,FE010000,10000,10000,0,1.35962601891537,0,100,48,36,32,26,6,32,0.26,7,0,7,30,68,0.220225251051514,0.495212910660397,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,448,0
LIRCMOP6_BC,2,fallback_only,FE030000,30000,30000,0,0.21209834559832,0.137823900641505,100,68,67,2,2,0,2,0.02,1,1,2,38,39,0.183756450312301,0.274973144570391,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,404,0
LIRCMOP6_BC,2,fallback_only,FE050000,50000,50000,0,0.0510648414050056,0.175654158103801,100,87,67,5,3,2,5,0.03,0,0,0,116,22,0.0808464487866887,0.162304744259338,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,410,0
LIRCMOP6_BC,2,fallback_only,FE070000,70000,70000,0,0.0137667882683613,0.19292922993578,100,100,72,0,0,0,0,0,0,0,0,123,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,400,0
LIRCMOP6_BC,2,fallback_only,FE100000,100000,100000,0,0.0100866473507826,0.194699350528782,100,99,70,7,3,4,7,0.03,0,0,0,131,1,0.349710759228393,0.357675113829505,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,410,0
LIRCMOP6_BC,2,pair_only,first_true_use,5600,5600,0,1.64792996818397,0,100,97,89,0,0,0,0,0,0,1,1,19,2,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,5400,2,0.5,1,2,2,1,402,0.615040737039978
LIRCMOP6_BC,2,pair_only,FE010000,10000,10000,0,1.35200435929473,0,100,40,20,51,40,11,51,0.4,2,0,2,52,110,0.0270708368892676,0.326300716843308,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,9800,20,0.3,6,8,304,1,492,0.824971755726731
LIRCMOP6_BC,2,pair_only,FE030000,30000,30000,0,0.192543224933754,0.145296813254276,100,69,69,0,0,0,0,0,0,0,0,44,44,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,1532,NaN,400,0
LIRCMOP6_BC,2,pair_only,FE050000,50000,50000,0,0.0226523916152539,0.189953962710767,100,100,81,0,0,0,0,0,0,0,0,120,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,2143,NaN,400,0
LIRCMOP6_BC,2,pair_only,FE070000,70000,70000,0,0.0125326329297253,0.193464687507479,100,100,81,0,0,0,0,0,0,0,0,119,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,2151,NaN,400,0
