problem,seed,arm,verified,fullFE,CalObjRows,CalConRows,initialPrefixExact,trainingEvents,totalGUpdates,lateGuidedSelected,lateGuidedSurvivedP1,lateGuidedInfeasibleReplacements,sourceHash
LIRCMOP5_BC,15,stable_no_side,1,100000,200000,100000,1,174,4460,5000,1,38,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,11,stable_no_side,1,100000,200000,100000,1,318,7340,3400,25,698,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,12,stable_no_side,1,100000,200000,100000,1,270,6380,2620,17,135,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,13,stable_no_side,1,100000,200000,100000,1,204,5060,1800,36,122,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,14,stable_no_side,1,100000,200000,100000,1,287,6720,2820,4,373,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,15,stable_no_side,1,100000,200000,100000,1,233,5640,3580,6,7,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,11,stable_no_side,1,100000,200000,100000,1,468,10340,5000,14,3481,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,12,stable_no_side,1,100000,200000,100000,1,473,10440,5000,22,2971,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,13,stable_no_side,1,100000,200000,100000,1,477,10520,5000,21,2440,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,14,stable_no_side,1,100000,200000,100000,1,465,10280,5000,22,2818,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,15,stable_no_side,1,100000,200000,100000,1,467,10320,5000,24,3716,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,11,stable_no_side,1,100000,200000,100000,1,473,10440,5000,52,3249,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,12,stable_no_side,1,100000,200000,100000,1,473,10440,5000,54,2921,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,13,stable_no_side,1,100000,200000,100000,1,473,10440,5000,35,2260,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,14,stable_no_side,1,100000,200000,100000,1,476,10500,5000,34,3160,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,15,stable_no_side,1,100000,200000,100000,1,468,10340,5000,18,2699,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
