problem,seed,arm,targetFE,productionFE,trainingFE,nativeCount,nativeUniqueObjectives,trainingPairs,trainingEndpointRMSE,meanNearestTrainingObjective,medianNearestTrainingObjective,requestedDirectionError,sideAccuracy,nativeFeasibleFraction
LIRCMOP7_BC,1,original,50000,49800,49800,500,200,87,0.0544300758565115,0.149890863470503,0.065203598960017,6.71501915059368,0.572,0.108
LIRCMOP7_BC,1,original,70000,69800,69800,500,200,87,0.1018622632869,0.141955656730344,0.0935773584484935,7.71738214933441,0.506,0.006
LIRCMOP7_BC,1,original,100000,99800,99800,500,200,92,0.124650519984022,0.104416092432901,0.0846744702255694,9.75462439282194,0.566,0.066
LIRCMOP8_BC,1,original,5200,5000,5000,500,200,11,0.106520983849675,0.757520532831769,0.749944568676501,11.0879405916073,0.672,0.336
LIRCMOP8_BC,1,original,10000,9800,9800,500,200,20,0.0541560128171515,0.364179230782901,0.193647131495981,6.86934028324865,0.49,0.11
LIRCMOP8_BC,1,original,30000,29800,29800,500,200,73,0.0476275540880279,0.139563128124736,0.0481624185614816,7.86653573444414,0.58,0.152
LIRCMOP8_BC,1,original,50000,49800,49800,500,200,80,0.0685244987637361,0.0859629632381095,0.0734762621529689,5.7445165733475,0.332,0.308
LIRCMOP8_BC,1,original,70000,69800,69800,500,200,89,0.0732028722555895,0.0787598875886185,0.0525414088107085,6.04974870522431,0.474,0.154
LIRCMOP8_BC,1,original,100000,99800,99800,500,200,96,0.0726992318933773,0.0753087832033059,0.0574261107337097,5.11470761648807,0.47,0.098
LIRCMOP5_BC,1,stable_side,5400,5200,5200,500,200,12,0.0728988863544216,0.396707479998946,0.333324549774637,9.5715728583837,0.506,0.374
LIRCMOP5_BC,1,stable_side,10000,9800,9800,500,200,33,0.0407055361514576,0.150692527137009,0.111079162108935,4.69089421609831,0.578,0.106
LIRCMOP5_BC,1,stable_side,30000,29800,29800,500,200,68,0.0677349771414534,0.244385874027173,0.164107553819398,9.59502694093261,0.506,0.178
LIRCMOP5_BC,1,stable_side,50000,49800,44600,500,200,8,0.0487841776073386,1.51198490145024,0.456486746860574,6.98154405837464,0.48,0.228
LIRCMOP5_BC,1,stable_side,70000,69800,44600,500,200,8,0.0487841776073386,1.51181022558972,0.456486746860574,6.98131305002825,0.48,0.232
LIRCMOP5_BC,1,stable_side,100000,99800,99800,500,200,10,0.0361587976260029,2.15321756215862,0.915942833380556,9.80908449209227,0.486,0.282
LIRCMOP6_BC,1,stable_side,5600,5400,5400,500,200,8,0.0808132462984666,0.915058649935449,0.549043875969605,16.0054657783835,0.534,0.558
LIRCMOP6_BC,1,stable_side,10000,9800,9800,500,200,29,0.0563733699752334,0.339130132126028,0.147356395685255,15.1359601649384,0.502,0.106
LIRCMOP6_BC,1,stable_side,30000,29800,29800,500,200,86,0.0768064003110208,0.122525728287445,0.100406902412697,11.1911185511014,0.52,0.02
LIRCMOP6_BC,1,stable_side,50000,49800,49800,500,200,10,0.0455335758577878,0.505675408728594,0.420023141736717,12.7991566280558,0.524,0.024
LIRCMOP6_BC,1,stable_side,70000,69800,69800,500,200,11,0.0314170700369915,1.19098469264229,1.26761957380692,17.9779942884286,0.508,0.448
LIRCMOP6_BC,1,stable_side,100000,99800,88800,500,200,8,0.0365985135531206,1.05743328959431,1.17668759410787,9.01227653561996,0.546,0.126
LIRCMOP7_BC,1,stable_side,4400,4200,4200,500,200,12,0.10718775494591,1.54089879375591,1.17890922436545,19.8896354148149,0.49,0.55
LIRCMOP7_BC,1,stable_side,10000,9800,9800,500,200,32,0.04819946995384,0.0695764970143519,0.0552014172351736,7.7639354245002,0.502,0.07
LIRCMOP7_BC,1,stable_side,30000,29800,29800,500,200,85,0.0480368754830011,0.130213987317142,0.057194941645709,7.52351671569871,0.504,0.056
LIRCMOP7_BC,1,stable_side,50000,49800,49800,500,200,83,0.0597463557842364,0.0915721694146131,0.0670429354859512,7.08042417240958,0.494,0.054
LIRCMOP7_BC,1,stable_side,70000,69800,69800,500,200,92,0.0880549151520434,0.0760647634593785,0.0593014676594332,6.74362123727395,0.496,0.064
LIRCMOP7_BC,1,stable_side,100000,99800,99800,500,200,99,0.0991779237706983,0.0929703627585288,0.0696752004098647,7.27406054101481,0.49,0.018
LIRCMOP8_BC,1,stable_side,5200,5000,5000,500,200,11,0.106520983849675,0.757520532831769,0.749944568676501,11.0879405916073,0.672,0.336
LIRCMOP8_BC,1,stable_side,10000,9800,9800,500,200,16,0.0507666095553622,0.3966681467096,0.291541110702408,8.38398387242829,0.544,0.064
LIRCMOP8_BC,1,stable_side,30000,29800,29800,500,200,76,0.0422119052230833,0.205647103975863,0.152443192851452,6.67132670504077,0.48,0.08
LIRCMOP8_BC,1,stable_side,50000,49800,49800,500,200,80,0.0744645533718707,0.136223833887893,0.0784960071374051,5.1687842309321,0.486,0.066
LIRCMOP8_BC,1,stable_side,70000,69800,69800,500,200,83,0.0732523262176404,0.0764464709366343,0.0499772447047547,8.15120229458402,0.486,0.038
LIRCMOP8_BC,1,stable_side,100000,99800,99800,500,200,82,0.0866435859290311,0.0603916785917163,0.0578358099914947,7.02015664091318,0.5,0.032
LIRCMOP5_BC,1,stable_no_side,5400,5200,5200,500,100,12,0.0701808212605914,0.559733596815893,0.361006242121418,4.38005871285693,NaN,0.21
LIRCMOP5_BC,1,stable_no_side,10000,9800,9800,500,100,39,0.0383286432558115,0.139343647036972,0.123545630434673,7.10772230356386,NaN,0.08
LIRCMOP5_BC,1,stable_no_side,30000,29800,29800,500,100,66,0.0472982084476417,0.137058314326573,0.102231437421865,4.2266952762806,NaN,0
LIRCMOP5_BC,1,stable_no_side,50000,49800,49800,500,100,12,0.0331873356629167,0.36015444906628,0.338713929836413,2.89577572680835,NaN,0.03
LIRCMOP5_BC,1,stable_no_side,70000,69800,68200,500,100,9,0.0268027658806172,0.638314434427778,0.722513764217569,13.6682790059011,NaN,0.03
LIRCMOP5_BC,1,stable_no_side,100000,99800,96600,500,100,8,0.024072308567449,5.2472353466214,5.36696824355888,34.2147730834244,NaN,0.73
LIRCMOP6_BC,1,stable_no_side,5600,5400,5400,500,100,8,0.0904759849696597,1.6343457293203,0.654780281721637,18.1668742954936,NaN,0.53
LIRCMOP6_BC,1,stable_no_side,10000,9800,9800,500,100,49,0.034274085403597,0.364460347770552,0.14419157547173,9.41298910108068,NaN,0.24
LIRCMOP6_BC,1,stable_no_side,30000,29800,29800,500,100,90,0.0581312416193859,0.129876748338528,0.127789362012146,11.4912340038056,NaN,0
LIRCMOP6_BC,1,stable_no_side,50000,49800,49800,500,100,17,0.0512840816115131,0.473720332745736,0.436116162684124,10.5866376735503,NaN,0.01
LIRCMOP6_BC,1,stable_no_side,70000,69800,69800,500,100,8,0.0338807048906394,0.572555841350084,0.506835825238801,11.098844916993,NaN,0
LIRCMOP7_BC,1,stable_no_side,4400,4200,4200,500,100,12,0.106360672063252,2.24939801686721,1.25271594075184,6.18981425883428,NaN,0.61
LIRCMOP7_BC,1,stable_no_side,10000,9800,9800,500,100,21,0.0544210289042695,0.130363971889329,0.125281844843549,6.00824931682158,NaN,0.08
LIRCMOP7_BC,1,stable_no_side,30000,29800,29800,500,100,53,0.0493296158306638,0.427779411037346,0.103120334036939,9.67098797902916,NaN,0.14
LIRCMOP7_BC,1,stable_no_side,50000,49800,49800,500,100,86,0.0759567760520084,0.123221524350567,0.0969246201012424,4.21413417964315,NaN,0.1
LIRCMOP7_BC,1,stable_no_side,70000,69800,69800,500,100,91,0.071949830168943,0.103266859008399,0.0744684942907952,5.10868366074726,NaN,0.09
LIRCMOP7_BC,1,stable_no_side,100000,99800,99800,500,100,97,0.0859683739014447,0.0828383110222654,0.0810575423858273,3.44847160440381,NaN,0.03
LIRCMOP8_BC,1,stable_no_side,5200,5000,5000,500,100,11,0.106936636641791,1.1554143554368,1.11489743355117,10.3418065108085,NaN,0.11
LIRCMOP8_BC,1,stable_no_side,10000,9800,9800,500,100,16,0.0612421930140582,0.303979832745694,0.1446470314384,13.3558853381116,NaN,0.14
LIRCMOP8_BC,1,stable_no_side,30000,29800,29800,500,100,65,0.0404088329247845,0.106170836868819,0.0850911430565232,4.27052245696839,NaN,0.21
LIRCMOP8_BC,1,stable_no_side,50000,49800,49800,500,100,89,0.0626480357137888,0.194290828876897,0.042372569256181,3.89864136174475,NaN,0.1
LIRCMOP8_BC,1,stable_no_side,70000,69800,69800,500,100,91,0.0710365585347829,0.0766573649297938,0.0776173961626423,4.71210836756336,NaN,0.02
LIRCMOP8_BC,1,stable_no_side,100000,99800,99800,500,100,97,0.0768729014281363,0.0789844401078133,0.0554690936407679,4.0807437734836,NaN,0.05
