problem,seed,prefixFE,mode,backboneSeed,initialIGD,finalIGD,finalHV,IGDAUC,firstSelected,firstSurvivedP1,firstGuidedInfeasible,suffixFE,wallSeconds
LIRCMOP8_BC,2,50000,pair_only,288711303,0.00868058552590083,0.00831401175088793,0.29368092201525,0.00846107238708117,20,0,51,5000,1.80711541666667
LIRCMOP8_BC,2,50000,raw,288711303,0.00868058552590083,0.00851903993457751,0.293643058545877,0.00852193981236216,20,0,34,5000,1.93578666666667
LIRCMOP8_BC,2,70000,de,288711303,0.00814867655828574,0.00813764069904071,0.293781324665713,0.00814792318873626,0,0,0,5000,1.87258941666667
LIRCMOP8_BC,2,70000,midpoint,288711303,0.00814867655828574,0.00820559657559602,0.29375184635136,0.00821815560675541,20,0,24,5000,1.91084691666667
LIRCMOP8_BC,2,70000,pair_only,288711303,0.00814867655828574,0.00816736955994982,0.293798391264163,0.00816129241766658,20,0,39,5000,1.707195
LIRCMOP8_BC,2,70000,raw,288711303,0.00814867655828574,0.00807725771498929,0.293775400356615,0.00808285128180643,20,0,4,5000,1.645777875
LIRCMOP8_BC,3,50000,de,2853609264,0.0515678417542785,0.0123062617781377,0.291428231391778,0.0235133740696004,0,0,0,5000,1.90571470833333
LIRCMOP8_BC,3,50000,midpoint,2853609264,0.0515678417542785,0.0122024552365884,0.291779842484724,0.0229331607287723,20,0,44,5000,1.913172625
LIRCMOP8_BC,3,50000,pair_only,2853609264,0.0515678417542785,0.0152329488314745,0.290319533525002,0.026280251005515,20,1,76,5000,1.74451891666667
LIRCMOP8_BC,3,50000,raw,2853609264,0.0515678417542785,0.0117844323080448,0.29188298420872,0.025094127601822,20,0,27,5000,1.91021516666667
LIRCMOP8_BC,3,70000,de,2853609264,0.0097016774682371,0.00895770439882799,0.293618922976805,0.00934786607009673,0,0,0,5000,1.45006120833333
LIRCMOP8_BC,3,70000,midpoint,2853609264,0.0097016774682371,0.00942142568397978,0.293432951011427,0.00959740300635685,20,0,42,5000,1.86105108333333
LIRCMOP8_BC,3,70000,pair_only,2853609264,0.0097016774682371,0.0091392113105872,0.293561644200609,0.0094902584708154,20,0,76,5000,1.943936125
LIRCMOP8_BC,3,70000,raw,2853609264,0.0097016774682371,0.00918885116931179,0.293484521238978,0.00952957305029806,20,0,16,5000,1.96410025
