problem,FE,pairs,updates,epochs,movementRMSE,commonRefs,adjacentTargetJump,top10WeightShare,effectiveWeightedPairs,preRMSE,postRMSE,relativeError,noiseRMSE
LIRCMOP5_BC,8400,23,20,10,0.103477580937426,5,0.104552315223438,0.462669833069795,9.88762138042408,0.131952862241689,0.125598679861905,2.5523086087089,0.0343266484748164
LIRCMOP5_BC,8600,26,20,10,0.0342050398118097,20,0.102941688471808,0.369672220203612,14.0202688970665,0.127322338592735,0.122774771232223,2.21199480019261,0.0329314885598842
LIRCMOP5_BC,8800,13,20,20,0.04512127282947,5,0.0841876794722644,0.502871550761595,6.16600214755239,0.114910522031693,0.109824713330802,1.94614442570891,0.0311505066209897
LIRCMOP5_BC,9000,11,20,20,0.0523858489469406,2,0.0838645097993602,0.532906685533318,4.91794060971232,0.109421969555578,0.104385410407402,1.89531705835834,0.0320973664736897
LIRCMOP5_BC,9200,9,20,20,0.0684450626577734,2,0.0809854453415584,0.384615779096608,4.13699404906228,0.105653331272171,0.0999483730495719,1.9162622576186,0.0334060509379494
LIRCMOP5_BC,9400,13,20,20,0.0649011618770066,3,0.0809854453415584,0.546287295632383,5.7746620255497,0.0988323182285872,0.0952766177487118,1.64106910355593,0.0302829216463829
LIRCMOP5_BC,9600,22,20,10,0.0308185673408537,10,0.0730121433661721,0.431032448232952,11.2758403377475,0.0995103611540063,0.0958232220427127,1.79654077722226,0.0314232316558207
LIRCMOP5_BC,9800,22,20,10,0.0598597345374077,9,0.0691141113602411,0.477994772518979,10.5848785471832,0.0978728077414701,0.094293126069741,1.80456719641185,0.0307618344640611
LIRCMOP5_BC,10000,24,20,10,0.0676205003532902,8,0.0691141113602411,0.418276808003777,11.5617267961509,0.0936894547943649,0.090835678066369,1.89017896738194,0.0297381501368204
LIRCMOP5_BC,10200,27,20,10,0.0601091619555073,7,0.0675365455711314,0.391787355969318,13.3696945792565,0.0892130920058421,0.0868567969228343,1.77309164217697,0.0290595024733658
LIRCMOP5_BC,10400,28,20,10,0.0566704084667112,11,0.0669371426221604,0.449736493405823,10.4635116940562,0.0875132851627324,0.0853586883997325,1.65434942942846,0.0282928095930625
LIRCMOP5_BC,10600,34,20,6.66666666666667,0.0636628444120226,12,0.0737484848512031,0.613724782950016,7.11534173986467,0.0892243118433019,0.0875404136329195,1.79167559103046,0.0280786792546077
LIRCMOP5_BC,10800,32,20,10,0.0673557591418328,10,0.0717221047980841,0.531719698467825,10.1555083795383,0.0856960925983834,0.0831902335491041,1.86826552257364,0.0273801606755909
LIRCMOP5_BC,11000,36,20,6.66666666666667,0.0671554118251663,13,0.0753059031182344,0.584502750563453,9.80515683098622,0.0865498394228421,0.0845932462474748,2.1178364265345,0.0268496608644389
LIRCMOP5_BC,11200,40,20,6.66666666666667,0.073256385846484,14,0.0783451170674801,0.518719766803546,11.3295961642003,0.081979672318672,0.0809717525162534,1.94362836237802,0.0263708329094224
LIRCMOP5_BC,11400,41,20,6.66666666666667,0.0489322675126331,29,0.0755986805903145,0.566105018224241,11.8173144457128,0.080365805614186,0.0787342890258575,2.02306390386071,0.0258206498299497
LIRCMOP5_BC,11600,43,20,6.66666666666667,0.0694465178815914,19,0.0736646269333727,0.55790206170722,12.8583122787499,0.0829899766596302,0.0817151824850678,2.07392955647518,0.0253605865985422
LIRCMOP5_BC,11800,44,20,6.66666666666667,0.0629604809608284,22,0.0755515440628627,0.521621415147189,13.8397209127698,0.0770713742709344,0.0762460828608507,1.90486210275168,0.0248167611779957
