setting,variant,condition_mode,advWeight,reconstructionWeight,nGen,zDim,ganIter,ganMiniBatch,trainMode,trainZMode,sampleZMode,maxCandidatePairsPerRef,networkPreset,generatorHidden,discriminatorHidden,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP7_BC,1,70000,70079,307,162,1,0.54,162,0,0.0041263742247676,0.012326158599512,162,30,2,0.0425531914893617,7.90123456790123,0.34657939116902,0.520567890298892,0,0.880830071160862,0.123456790123457,0.479343123032202,0.773504247671707,zero,30,0,30,17,0.185185185185185,0.00731388492581441,0.00931442320360913,0,0.00979659672680276,NaN,0.333333333333333,-0.0156240245352731,0.240740740740741,0.00819861600186779,0.0137499435400268,0.0137499435400268,NaN,0.566666666666667,400,156,712,712,378,334,272,58,100,58,10371,0,174,174,174,174,162,162,162,162,162,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP7_BC,1,100000,100209,438,238,1,0.8,238,0,0.00257319089123861,0.00827574703683643,238,30,2,0.0625164171263462,5.3781512605042,0.42942235758832,1.14962445889286,0,1,0.138655462184874,0.657904938124576,0.896557174291585,zero,13,17,30,7,0.126050420168067,0.0085528439933467,0.0181913760493861,0,0.0185937354723644,NaN,0.5,0.00703600985075006,0.0875,0.00951384462824986,0.0187213637479938,0.0195436299222427,0.0177698046048501,0.233333333333333,400,243,886,886,379,507,348,85,100,85,16455,0,255,255,255,255,238,238,238,238,238,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP8_BC,1,10000,10084,47,99,1,0.33,99,0,0.00424578381098302,0.0110653438824503,99,30,2,0.0260047281323877,12.9292929292929,0.320549109562065,0.507656640998129,0,0.83002070348331,0.101010101010101,1.15166451991782,21.0892869934952,zero,23,7,30,30,0.303030303030303,0.385965614504632,0.389095891946666,0,0.396646957801412,NaN,0.366666666666667,-0.0210896384577228,0.515151515151515,0.389042757934039,0.397621009517438,0.393525567253493,0.405679284999925,1,400,91,582,582,447,135,216,55,62,37,3664,0,111,111,111,111,99,99,99,99,99,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP8_BC,1,30000,30081,134,126,1,0.42,126,0,0.00208150446477499,0.00588285945135776,126,30,2,0.033096926713948,10.1587301587302,0.394687289932798,0.650053791619977,0,0.553324786760985,0.0714285714285714,0.472185401689201,1.12235105704405,zero,18,12,30,0,0.238095238095238,0.012684589160322,0.0140949824228365,0,0.0223184583439052,NaN,0.7,0.0139019888111098,0,0.0221996950629379,0.0226930451378612,0.0226185299977478,0.0228159324931839,0,400,135,670,670,464,206,293,67,68,49,7031,0,147,147,147,146,126,126,126,126,126,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP8_BC,1,50000,50091,221,111,1,0.37,111,0,0.00255585745201325,0.00716575580966716,111,30,2,0.0291568163908589,11.5315315315315,0.20762644491593,0.31780945849982,0,1,0.126126126126126,0.29824910525935,0.623123567579891,zero,30,0,30,5,0.27027027027027,0.000692751157872253,0.0017555091296145,0,0.00365566115620717,NaN,0.5,0.000587585259091777,0.0810810810810811,0.00266703347144865,0.00541065825153104,0.00541065825153104,NaN,0.166666666666667,400,107,614,614,356,258,241,46,100,46,8578,104,120,120,120,117,111,111,111,111,111,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP8_BC,1,70000,70101,308,215,1,0.72,215,0,0.00130646696528736,0.0041209784055569,215,30,2,0.056474914630943,5.95348837209302,0.25864400750287,0.420676356606827,0,1,0.153488372093023,0.288602627959784,0.250637801536109,zero,28,2,30,9,0.13953488372093,0.00205104059373325,0.00377108714581583,0,0.00453872948982788,NaN,0.7,0.0181554137110672,0.0694444444444444,0.00443667047077906,0.0316467815618504,0.0316595967603949,0.027864203648531,0.3,400,193,786,786,425,361,344,76,100,76,11397,0,228,228,228,227,215,215,215,215,215,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP8_BC,1,100000,100001,438,219,1,0.73,219,0,0.00117271488506659,0.00412783636574607,219,30,2,0.0575256107171001,5.84474885844749,0.346683550075751,0.504648830246595,0,0.977251824297468,0.191780821917808,0.368698049920372,0.418044469125709,zero,15,15,30,3,0.136986301369863,0.00254540768632352,0.00554083220122228,0,0.00742317809146766,NaN,0.566666666666667,0.00571144976388532,0.0273972602739726,0.00326404825989972,0.00756988751802692,0.00756988751802692,0.00756988751802692,0.1,400,222,844,844,382,462,324,78,100,78,14112,0,234,234,234,233,219,219,219,219,219,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP9_BC,1,10000,10078,45,33,1,0.11,33,0,0.00125335155122713,0.00589404067535577,33,30,2,0.0086682427107959,38.7878787878788,0.202531068086696,0.297107242144525,0.303058269833933,0.969233711108864,0.636363636363636,3.48131527862762,69.5588104733115,zero,30,0,30,30,0.909090909090909,0.467974970847695,0.485834570625161,0,0.485919497745857,NaN,0,-0.0568500112724912,0.181818181818182,0.471711352372804,0.486704306713038,0.486704306713038,NaN,1,400,33,466,466,244,222,135,14,75,13,7852,15,39,39,39,39,33,33,33,33,33,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP9_BC,1,30000,30088,132,45,1,0.15,45,0,0.0038444772331737,0.0157055599668858,45,30,2,0.0118203309692671,28.4444444444444,0.104513355306419,0.140997090091952,0.13884629664608,0.497039487632318,0.733333333333333,2.51541310109306,0.465484304180416,zero,30,0,30,0,0.666666666666667,0.000443388446673941,0.000452662814723513,0,0.00302120353473171,NaN,0.966666666666667,0.00803050228340099,0,0.00761923970609735,0.013490761391849,0.013490761391849,NaN,0,400,33,466,466,309,157,179,21,81,21,5509,101,54,54,54,51,45,45,45,45,45,0,30
B_ref_huber_compact_epoch20,B_ref_huber_compact_epoch20,ref_only,1,1,30,2,20,32,epoch,zero,zero,3,compact,32:32,32:16,LIRCMOP9_BC,1,50000,50066,219,12,1,0.04,12,0,8.2207314174219e-05,0.000241657223438165,12,30,2,0.00315208825847124,40,0.0816960846506225,0.546555158688263,0.155100871506129,0.310201743012258,0.25,3.44883767853791,2.39900553511692,zero,30,0,30,30,2.5,1.15306695699719e-05,1.32587709470323e-05,0,0.0021708656240637,NaN,0,-0.0197583118220488,0.75,0.00622117204591993,0.00987839889947598,0.00987839889947598,NaN,1,400,54,508,508,322,186,229,6,72,6,35124,54,18,18,18,18,12,12,12,12,12,0,30
