variant,archiveParetoFilterMode,archivePairDirectionMode,generatorMode,problem,target_FE,GroupCount,mean_has_GAN,mean_AF_size,mean_AI_size,mean_BoundaryHit_all,mean_ObjInterfaceScore,mean_RefCov,mean_DuplicateRate,mean_GAN_to_AF_Dist90,mean_AF_Cover_epsilon,mean_AF_CoverEpsilon,mean_RawGANFeasibleRate,mean_InjectedCount,mean_GAN_to_AF_ObjNN_mean,mean_GAN_to_AF_ObjNN_median,mean_GAN_to_AF_ObjNN_p90,mean_GAN_to_AF_DecNN_mean,mean_GAN_to_AF_DecNN_median,mean_GAN_to_AF_DecNN_p90,mean_RawGANVarClipRate
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP7_BC,10000,1,1,64,64,0.98,0.109965037220113,0.75,0,0.128605429732664,0.796875,0.05,0.215,NaN,0.0687308777433192,0.058166516517152,0.128605429732664,0.0639813885202466,0.0636420383349025,0.0707783867410486,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP7_BC,30000,1,1,139,139,0.93,0.081961934814795,0.79,0,0.131390607569032,0.856115107913669,0.05,0.205,NaN,0.0914161921668894,0.0626023942313222,0.131390607569032,0.0366463624903377,0.0359496284783855,0.0447211399798902,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP7_BC,50000,1,1,185,185,0.985,0.0444564976328429,0.85,0,0.118505440999561,0.854054054054054,0.05,0.14,NaN,0.0655373723820038,0.0655307785756526,0.118505440999561,0.0340690898857371,0.0337271697874096,0.0404651373005278,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP7_BC,70000,1,1,163,163,0.52,0.0190636234529216,0.81,0,0.103490278604119,0.926380368098159,0.05,0.125,NaN,0.0548032157178777,0.0475528260297792,0.103490278604119,0.0368332413963661,0.0357921145062734,0.0468583866980589,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP7_BC,100000,1,1,259,259,0.44,0.0216353734073064,0.69,0,0.236988310038396,0.656370656370656,0.05,0.165,NaN,0.139610301521223,0.129933395702924,0.236988310038396,0.0373095379804041,0.0369480012782359,0.0461584696297313,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP8_BC,10000,1,1,48,48,0.045,0,0.72,0,2.00358045059872,0,0.05,1,NaN,1.09562049832624,1.02055084374084,2.00358045059872,0.0964819017816105,0.0940764912493305,0.115519328644506,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP8_BC,30000,1,1,155,155,0.76,0.0535051177422345,0.81,0,0.316505863160855,0.651612903225806,0.05,0.19,NaN,0.156698794459218,0.138627681241209,0.316505863160855,0.0467260271819475,0.0465982748111854,0.056093992737326,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP8_BC,50000,1,1,94,94,0.695,0.0636922574349036,0.72,0,0.232978017062892,0.861702127659574,0.05,0.205,NaN,0.0788129922341191,0.0301990229651204,0.232978017062892,0.0335125358389471,0.0320767138554196,0.0438789208938963,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP8_BC,70000,1,1,160,160,0.905,0.129928645346601,0.73,0,0.0634426146909708,0.9375,0.05,0.275,NaN,0.0355877343746808,0.0223117351871722,0.0634426146909708,0.0319281771561755,0.0305818577984335,0.0393004353145375,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP8_BC,100000,1,1,263,263,0.905,0.0540791138672154,0.7,0,0.142915187800473,0.821292775665399,0.05,0.23,NaN,0.0739047760161907,0.0630353281073802,0.142915187800473,0.0322672592117032,0.0321146277315366,0.0410645404338013,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP9_BC,10000,1,1,11,11,1,0.573960803108505,0.11,0,0.762254753749237,0.454545454545455,0.05,0.61,NaN,0.397449362645822,0.294032692033214,0.762254753749237,0.0408363914430004,0.0390040085061932,0.0490538783403672,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP9_BC,30000,1,1,10,10,0,0,0.12,0,0.875572082241905,0,0.05,0,NaN,0.588866876790465,0.825540604035185,0.875572082241905,0.0164001696845836,0.00884579599662873,0.0280426678039182,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP9_BC,50000,1,1,10,10,0.52,8.64783171287739e-41,0.02,0,16.4262392872607,0.5,0.05,0.57,NaN,8.40171922993319,15.320633256768,16.4262392872607,0.234545973551214,0.440674546821369,0.447012939517348,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP9_BC,70000,1,1,10,10,1,0.181293474605535,0.02,0,17.1007253029227,0.5,0.05,0.495,NaN,7.95864498354196,0.0379323437429707,17.1007253029227,0.223580710398583,0.00960371990455033,0.463858498752943,0
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP9_BC,100000,1,1,15,15,1,4.54509674407007e-28,0.02,0,24.2710987183683,0.333333333333333,0.05,0.915,NaN,16.2045586483611,23.3063090450639,24.2710987183683,0.344847020031838,0.498409985895607,0.503045407575295,0
