problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,3,10000,10018,45,75,1,0.15,75,0,0.00471906034336396,0.0117554124980158,75,20,3,0.00392608490812961,42.6666666666667,1.11583914182834,1.38148706223989,0,0,20,20,0,0.266666666666667,0.133435904576536,0.134980296163894,0,0.142410463376869,NaN,0.85,0.298434192233481,0,0.138133731574503,0.142410463376869,0,400,75,550,550,218,332,110,16,100,16,10533,0,80,80,80,80,75,75,75,75,75,0,20
DASCMOP1_BC,3,30000,30038,136,140,1,0.28,140,0,0.00338330995207226,0.0113560293812843,140,20,3,0.00732869182850861,22.8571428571429,0.700184424137217,1.14170030743528,0,20,0,20,13,0.142857142857143,0.044037875838397,0.0851696964058495,0,0.0985534797369406,NaN,0.9,0.518658612278099,0.0714285714285714,0.0690939871449992,0.111098979067505,0.65,400,135,670,670,288,382,202,28,100,28,13560,0,140,140,140,140,140,140,140,140,140,0,20
DASCMOP1_BC,3,50000,50058,227,146,1,0.3,146,0,0.00150347153218207,0.00661958927455219,146,20,3,0.00764277862115898,21.9178082191781,0.594247678687822,0.855338611219036,0,20,0,20,3,0.136986301369863,0.055030447453441,0.289196355889948,0,0.289196355889948,NaN,0.8,0.146456943701265,0.0666666666666667,0.0556013576062996,0.289217514252698,0.15,400,145,690,690,283,407,244,30,100,30,16229,0,150,150,150,150,146,146,146,146,146,0,20
DASCMOP1_BC,3,70000,70078,318,140,1,0.28,140,0,0.000989858523187749,0.00398205749603026,140,20,3,0.00732869182850861,22.8571428571429,0.640669182600813,0.953676205744489,0,20,0,20,0,0.142857142857143,0.0146083288366311,0.0332036612408965,0,0.0332036612408965,NaN,0.9,0.0175663817195084,0,0.0159876035819166,0.0332942954688791,0,400,145,690,690,285,405,246,29,100,29,16825,0,145,145,145,145,140,140,140,140,140,0,20
DASCMOP1_BC,3,100000,100218,455,135,1,0.27,135,0,0.00105158497438815,0.00431726527784362,135,20,3,0.0070669528346333,23.7037037037037,0.618602468056715,0.849870765234401,0,20,0,20,0,0.148148148148148,0.0185944822030768,0.0356702371631016,0,0.0356702371631016,NaN,0.4,-0.0683913416898851,0,0.0221820004702499,0.0375037943516491,0,400,135,670,670,272,398,236,31,100,31,14981,0,155,155,155,155,135,135,135,135,135,0,20
DASCMOP2_BC,1,10000,10214,46,70,1,0.14,70,0,0.00288454316774816,0.00666570219105693,70,20,3,0.00366434591425431,45.7142857142857,0.528804178371427,1.00767142444467,0,0,20,20,13,0.285714285714286,0.0190236145347354,0.0315450817585767,0,0.0315450817585767,NaN,0.65,0.0281434741995912,0.785714285714286,0.0196363095727114,0.0315450817585767,0.65,400,70,540,540,204,336,112,14,100,14,11089,0,70,70,70,70,70,70,70,70,70,0,20
DASCMOP2_BC,1,30000,30014,136,165,1,0.33,165,0,0.00907346374510914,0.0207395561812027,165,20,3,0.00863738679788515,19.3939393939394,0.633716951526831,0.936317330013838,0,13,7,20,7,0.121212121212121,0.0505003185471055,0.0607778366296158,0,0.0666715331424938,NaN,0.75,0.0768857942045158,0.181818181818182,0.0578531496471298,0.0679082471262848,0.35,400,165,730,730,320,410,264,33,100,33,18247,0,165,165,165,165,165,165,165,165,165,0,20
DASCMOP2_BC,1,50000,50034,227,210,1,0.42,210,0,0.00244031921621174,0.00874020089410068,210,20,3,0.0109930377427629,15.2380952380952,0.642610572570269,0.964065733170789,0,4,16,20,3,0.0952380952380952,0.0280703084656557,0.0421750650908376,0,0.0428599593081925,NaN,0.8,0.0614003280812685,0.142857142857143,0.0340206937895466,0.0431962951078511,0.15,400,210,820,820,358,462,310,44,100,44,20217,0,220,220,220,220,210,210,210,210,210,0,20
DASCMOP2_BC,1,70000,70054,318,225,1,0.45,225,0,0.00178393820593888,0.00770396254637977,225,20,3,0.0117782547243888,14.2222222222222,0.641162438817978,0.986904586616235,0,3,17,20,7,0.0888888888888889,0.0215524523857746,0.0386786248683764,0,0.0413626646722612,NaN,0.7,0.0445058949833656,0.244444444444444,0.0250312802502723,0.0418944606584387,0.35,400,215,830,830,357,473,314,49,100,49,20293,0,245,245,245,245,225,225,225,225,225,0,20
DASCMOP2_BC,1,100000,100194,455,205,1,0.41,205,0,0.00129238041520186,0.00551791652915882,205,20,3,0.0107312987488876,15.609756097561,0.617266654797183,0.955798078370216,0,9,11,20,4,0.0975609756097561,0.0212625506874172,0.0438736877891451,0,0.0526234756902693,NaN,0.45,-0.0519877939098129,0.121951219512195,0.0249949763158887,0.0534134858456053,0.2,400,210,820,820,340,480,310,50,100,50,20024,0,250,250,250,250,205,205,205,205,205,0,20
