problem,stage,loss,stream,addedUpdates,reverseFeasibleCoverage,reverseInfeasibleCoverage,f1Offset,f2Offset,f1BaseOffset,f2BaseOffset,f1EnergyOffset,f2EnergyOffset,medianTrueFeasibleNeighborRMS,medianGeneratedFeasibleNeighborRMS
LIRCMOP8_BC,early,adversarial,3,20,0.141364702776852,0.0672865834509517,-0.00317884933328158,-0.000544625251101054,0.00100609885034674,-0.000781991996240142,-0.00418494818362833,0.000237366745139068,0.0496461736515652,0.00331871796641805
LIRCMOP8_BC,early,adversarial,3,200,0.213449651642545,0.116940810551971,-0.123726355176229,-0.0560631277848698,-0.00187511547953011,0.00411045234932461,-0.121851239696699,-0.0601735801341944,0.0496461736515652,0.00301477015890207
LIRCMOP8_BC,early,adversarial,3,2000,0.289197521622641,0.168630894826769,-0.203036331282574,-0.0961101478414158,-0.00679971137318843,0.0119878287982087,-0.196236619909385,-0.108097976639625,0.0496461736515652,0.00223675756693861
LIRCMOP8_BC,early,distance,1,0,0.128493365952427,0.0634363313512011,-0.0274586552881215,0.0658177288568485,-0.0145081547595342,0.0201189104562833,-0.0129505005285873,0.0456988184005652,0.0496461736515652,0.00332411732110495
LIRCMOP8_BC,early,distance,1,20,0.148448843363451,0.0704566858731183,-0.00688889607310609,-0.0407562653680046,0.00269481280708622,-0.00300389400801052,-0.00958370888019233,-0.0377523713599941,0.0496461736515652,0.00316759526752083
LIRCMOP8_BC,early,distance,1,200,0.265766263540186,0.147836360561986,-0.158977563476187,-0.132144082223307,-0.000419840348889512,0.00291204735506295,-0.158557723127298,-0.135056129578369,0.0496461736515652,0.00269905630126806
LIRCMOP8_BC,early,distance,1,2000,0.283735346282693,0.161786539898305,-0.17678406827582,-0.147953258344861,-0.00058528617499229,0.00299782412335812,-0.176198782100828,-0.150951082468219,0.0496461736515652,0.00266768639281635
LIRCMOP8_BC,early,distance,2,0,0.128493365952427,0.0634363313512011,-0.0274586552881215,0.0658177288568485,-0.0145081547595342,0.0201189104562833,-0.0129505005285873,0.0456988184005652,0.0496461736515652,0.00332411732110495
LIRCMOP8_BC,early,distance,2,20,0.155360828024795,0.0738663874027889,-0.0215916765964096,-0.0522530501375638,0.00277362036322382,-0.00306898893108155,-0.0243652969596335,-0.0491840612064822,0.0496461736515652,0.00314273628253351
LIRCMOP8_BC,early,distance,2,200,0.256167276006248,0.143554126351802,-0.158582424828547,-0.118973136034194,-0.00170267908857469,0.00458484679915728,-0.156879745739973,-0.123557982833351,0.0496461736515652,0.00269579738371584
LIRCMOP8_BC,early,distance,2,2000,0.282884120977655,0.160090442713256,-0.186611812248313,-0.134388319809925,-0.000608320374603718,0.00296046407116854,-0.186003491873709,-0.137348783881093,0.0496461736515652,0.00267090179459756
LIRCMOP8_BC,early,distance,3,0,0.128493365952427,0.0634363313512011,-0.0274586552881215,0.0658177288568485,-0.0145081547595342,0.0201189104562833,-0.0129505005285873,0.0456988184005652,0.0496461736515652,0.00332411732110495
LIRCMOP8_BC,early,distance,3,20,0.15555145284499,0.0741385814257229,-0.0216991310842301,-0.0526576149161959,0.00215538101698506,-0.00215572291581011,-0.0238545121012152,-0.0505018920003859,0.0496461736515652,0.0031431521244954
LIRCMOP8_BC,early,distance,3,200,0.269124544032319,0.151278084952087,-0.163121578906011,-0.134714702994412,-0.0015661209300787,0.00462677549427756,-0.161555457975932,-0.13934147848869,0.0496461736515652,0.00265630696034314
LIRCMOP8_BC,early,distance,3,2000,0.2692923190254,0.150627386960509,-0.170647245965043,-0.124544392223537,-5.18384300722086e-05,0.00224829956912145,-0.170595407534971,-0.126792691792658,0.0496461736515652,0.00265481510944827
LIRCMOP8_BC,late,adversarial,1,0,0.0758479104501531,0.0699307714558507,-0.00506134688011155,0.215677048784116,-0.0114405242631647,0.0149608408778021,0.00637917738305311,0.200716207906314,0.0575354821952557,0.00604910670181493
LIRCMOP8_BC,late,adversarial,1,20,0.119048602231607,0.0882714588849366,-0.143749487972581,0.0192805280377135,-0.0165640741072117,0.0212601750098305,-0.12718541386537,-0.00197964697211697,0.0575354821952557,0.00601066669514725
LIRCMOP8_BC,late,adversarial,1,200,0.147057622153044,0.0979990167420435,-0.159030428139759,-0.123905376624494,-0.00219952752689852,0.00630894317411081,-0.15683090061286,-0.130214319798605,0.0575354821952557,0.00621484297256029
LIRCMOP8_BC,late,adversarial,1,2000,0.180532123891905,0.123356220564296,-0.143710529805275,-0.130946773825672,0.00425394474792577,0.00248167832204798,-0.147964474553201,-0.13342845214772,0.0575354821952557,0.00520242020537706
LIRCMOP8_BC,late,adversarial,2,0,0.0758479104501531,0.0699307714558507,-0.00506134688011155,0.215677048784116,-0.0114405242631647,0.0149608408778021,0.00637917738305311,0.200716207906314,0.0575354821952557,0.00604910670181493
LIRCMOP8_BC,late,adversarial,2,20,0.124108787025542,0.0904267972215498,-0.149517633068196,0.0200726473094509,-0.01572572605871,0.0201353300580609,-0.133791907009486,-6.26827486100126e-05,0.0575354821952557,0.00599601294608568
LIRCMOP8_BC,late,adversarial,2,200,0.154431809670837,0.101052878538878,-0.149413297572398,-0.137281255828987,0.00375224749873262,0.000165168635039973,-0.153165545071131,-0.137446424464027,0.0575354821952557,0.00639286733318404
LIRCMOP8_BC,late,adversarial,2,2000,0.182344346192419,0.123045957805371,-0.137504804522401,-0.120369545676942,-0.000230647799434425,0.00677930926318476,-0.137274156722966,-0.127148854940127,0.0575354821952557,0.00502992954176693
LIRCMOP8_BC,late,adversarial,3,0,0.0758479104501531,0.0699307714558507,-0.00506134688011155,0.215677048784116,-0.0114405242631647,0.0149608408778021,0.00637917738305311,0.200716207906314,0.0575354821952557,0.00604910670181493
LIRCMOP8_BC,late,adversarial,3,20,0.120145171143524,0.0909883841553904,-0.150402270341933,0.0280324903876806,-0.0197423993819639,0.0247542387778743,-0.130659870959969,0.00327825160980633,0.0575354821952557,0.00590213294693912
LIRCMOP8_BC,late,adversarial,3,200,0.158972880744335,0.105021149241005,-0.158972148098974,-0.13474782841111,0.00399656049991867,-0.00155015966165963,-0.162968708598893,-0.13319766874945,0.0575354821952557,0.00637634638594772
