problem,stage,stream,addedUpdates,exactDistanceRatio,seenObjectiveGapRatio,singletonObjectiveGapRatio,conditionalSeenGapRatio,objectiveGapRatio,reverseCoverageGapRatio,directionErrorRatio,weightedDecisionMSERatio,supportCriterion
LIRCMOP6_BC,late,3.0,200.0,0.2597938242191922,0.018362410538057983,0.018362410538057983,0.024553670996602623,0.6257679315102727,0.039725272253922826,0.6404051845364458,0.07515314256742388,1
LIRCMOP6_BC,late,3.0,2000.0,0.49991691840842845,0.1609905746603955,0.1609905746603955,0.13899019222236145,1.3162169350233452,0.18595820873869107,1.288024253025405,0.26489654914834704,1
LIRCMOP6_BC,middle,1.0,20.0,0.49205171441004525,0.19527762212277117,0.19527762212277117,0.22833858568087123,0.5688309152337341,0.2716090922748338,0.4084502123727437,0.26466223533042915,1
LIRCMOP6_BC,middle,1.0,200.0,0.3192427335051972,0.04626641284440944,0.04626641284440944,0.07645704676543336,0.3593173857839971,0.09997547433662266,0.5703339961744679,0.12032561690462507,1
LIRCMOP6_BC,middle,1.0,2000.0,0.3955403199595595,0.24603885082242904,0.24603885082242904,0.34068629676730544,0.2422057828290849,0.4515776086681041,0.30543501780660465,0.21337972530323127,1
LIRCMOP6_BC,middle,2.0,20.0,0.5424063036210177,0.12540444688351154,0.12540444688351154,0.19970797797568313,0.5877198449601472,0.2638826786097822,0.5100891854117682,0.2905161072166393,1
LIRCMOP6_BC,middle,2.0,200.0,0.38753098601086755,0.10161140110550171,0.10161140110550171,0.15384358360846123,0.4005248662057975,0.1449622479036922,0.6566998932802448,0.16654702970993604,1
LIRCMOP6_BC,middle,2.0,2000.0,0.4327634640904064,0.4091520955165618,0.4091520955165618,0.6719403373429114,0.7335752617000776,0.5529526437543997,0.4355778387002325,0.2229922867082213,1
LIRCMOP6_BC,middle,3.0,20.0,0.47161698968538907,0.14644670144446773,0.14644670144446773,0.1779139242862893,0.5749262673278848,0.283548423795219,0.447298157995566,0.23709507561206394,1
LIRCMOP6_BC,middle,3.0,200.0,0.29927761902245503,0.11376305979003253,0.11376305979003253,0.14635342052207434,0.31593068585645706,0.11991189345625651,0.4792184344446779,0.10925181332947694,1
LIRCMOP6_BC,middle,3.0,2000.0,0.3712212273032062,0.17764432252309714,0.17764432252309714,0.26788433536565875,1.233835569675731,0.23607656530343382,0.5413115018126516,0.17160123876023906,1
LIRCMOP7_BC,early,1.0,20.0,0.9405014425300314,0.5343515057577363,0.5204786823977114,1.0603652852305911,0.6476572268690359,1.3125708761896469,1.061137590379997,0.896549873990528,0
LIRCMOP7_BC,early,1.0,200.0,0.8627086028241047,0.5137383234467641,0.4980742803441625,0.970121549847629,0.751433447433653,1.5950173022255614,0.4638402753678986,0.7712244022538873,0
LIRCMOP7_BC,early,1.0,2000.0,0.8702720820880372,0.6474409030349865,0.6308762379913104,0.9513285782453809,0.7066971557647772,1.3145718499098582,0.20659832172509748,0.7895772133806561,0
LIRCMOP7_BC,early,2.0,20.0,0.9229927491406262,0.3150464276276223,0.30884069476165776,0.8133902858855301,0.7063632885870753,1.2474409800414197,0.8557073578459325,0.8618555779666697,0
