problem,stage,mode,threshold,initialShortPairs,finalShortPairs,newSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP8_BC,middle,adversarial20,0.02,65,77,7,7
LIRCMOP8_BC,middle,adversarial20,0.04,378,397,6,5
LIRCMOP8_BC,middle,distance20,0.01,18,19,2,1
LIRCMOP8_BC,middle,distance20,0.02,65,79,10,7
LIRCMOP8_BC,middle,distance20,0.04,378,398,3,2
LIRCMOP8_BC,middle,adversarial2000,0.01,18,16,2,1
LIRCMOP8_BC,middle,adversarial2000,0.02,65,77,11,10
LIRCMOP8_BC,middle,adversarial2000,0.04,378,400,5,4
LIRCMOP8_BC,middle,distance2000,0.01,18,16,3,3
LIRCMOP8_BC,middle,distance2000,0.02,65,67,11,11
LIRCMOP8_BC,middle,distance2000,0.04,378,408,4,3
LIRCMOP8_BC,middle,de,0.01,18,16,2,2
LIRCMOP8_BC,middle,de,0.02,65,66,8,6
LIRCMOP8_BC,middle,de,0.04,378,399,6,4
LIRCMOP8_BC,middle,pair_only,0.01,18,19,3,3
LIRCMOP8_BC,middle,pair_only,0.02,65,80,11,8
LIRCMOP8_BC,middle,pair_only,0.04,378,407,7,5
LIRCMOP8_BC,late,raw,0.01,30,31,1,1
LIRCMOP8_BC,late,raw,0.02,133,135,4,3
LIRCMOP8_BC,late,raw,0.04,418,418,3,0
LIRCMOP8_BC,late,adversarial20,0.01,30,33,4,3
LIRCMOP8_BC,late,adversarial20,0.02,133,142,12,10
LIRCMOP8_BC,late,adversarial20,0.04,418,413,7,5
LIRCMOP8_BC,late,distance20,0.01,30,31,3,3
LIRCMOP8_BC,late,distance20,0.02,133,131,5,5
LIRCMOP8_BC,late,distance20,0.04,418,418,2,1
LIRCMOP8_BC,late,adversarial2000,0.01,30,42,8,8
LIRCMOP8_BC,late,adversarial2000,0.02,133,144,8,8
LIRCMOP8_BC,late,adversarial2000,0.04,418,429,1,0
LIRCMOP8_BC,late,distance2000,0.01,30,38,5,4
LIRCMOP8_BC,late,distance2000,0.02,133,132,8,7
LIRCMOP8_BC,late,distance2000,0.04,418,416,2,1
LIRCMOP8_BC,late,de,0.01,30,37,5,5
LIRCMOP8_BC,late,de,0.02,133,138,7,7
LIRCMOP8_BC,late,de,0.04,418,424,4,3
LIRCMOP8_BC,late,pair_only,0.01,30,34,5,5
LIRCMOP8_BC,late,pair_only,0.02,133,142,16,9
LIRCMOP8_BC,late,pair_only,0.04,418,435,3,2
