FE,IGD,HV,guidedCount,problem,stage,mode
23000,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
23200,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
23400,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
23600,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
23800,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
24000,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
24200,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
24400,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
24600,1.22690660356431,0,0,LIRCMOP5_BC,early,distance2000
24800,1.22692739383309,0,0,LIRCMOP5_BC,early,distance2000
25000,1.22692739383309,0,0,LIRCMOP5_BC,early,distance2000
20000,1.22718262349464,0,0,LIRCMOP5_BC,early,de
20200,1.22717574127631,0,0,LIRCMOP5_BC,early,de
20400,1.22717574127631,0,0,LIRCMOP5_BC,early,de
20600,1.22717574127631,0,0,LIRCMOP5_BC,early,de
20800,1.22717574127631,0,0,LIRCMOP5_BC,early,de
21000,1.22717574127631,0,0,LIRCMOP5_BC,early,de
21200,1.22717574127631,0,0,LIRCMOP5_BC,early,de
21400,1.22717574127631,0,0,LIRCMOP5_BC,early,de
21600,1.22717574127631,0,0,LIRCMOP5_BC,early,de
21800,1.22717574127631,0,0,LIRCMOP5_BC,early,de
22000,1.22717574127631,0,0,LIRCMOP5_BC,early,de
22200,1.22717574127631,0,0,LIRCMOP5_BC,early,de
22400,1.22717574127631,0,0,LIRCMOP5_BC,early,de
22600,1.22717574127631,0,0,LIRCMOP5_BC,early,de
22800,1.22717574127631,0,0,LIRCMOP5_BC,early,de
23000,1.22708117203184,0,0,LIRCMOP5_BC,early,de
23200,1.22708117203184,0,0,LIRCMOP5_BC,early,de
23400,1.22708117203184,0,0,LIRCMOP5_BC,early,de
23600,1.22708117203184,0,0,LIRCMOP5_BC,early,de
23800,1.22708117203184,0,0,LIRCMOP5_BC,early,de
24000,1.22708117203184,0,0,LIRCMOP5_BC,early,de
24200,1.22708117203184,0,0,LIRCMOP5_BC,early,de
24400,1.22708117203184,0,0,LIRCMOP5_BC,early,de
24600,1.22708805425018,0,0,LIRCMOP5_BC,early,de
24800,1.22708805425018,0,0,LIRCMOP5_BC,early,de
25000,1.22708805425018,0,0,LIRCMOP5_BC,early,de
20000,1.22718262349464,0,0,LIRCMOP5_BC,early,pair_only
20200,1.22717574127631,0,20,LIRCMOP5_BC,early,pair_only
20400,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
20600,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
20800,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
21000,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
21200,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
21400,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
21600,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
21800,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
22000,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
22200,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
22400,1.22717574127631,0,0,LIRCMOP5_BC,early,pair_only
