problem,stage,loss,stream,addedUpdates,reverseFeasibleCoverage,reverseInfeasibleCoverage,f1Offset,f2Offset,f1BaseOffset,f2BaseOffset,f1EnergyOffset,f2EnergyOffset,medianTrueFeasibleNeighborRMS,medianGeneratedFeasibleNeighborRMS
LIRCMOP5_BC,early,distance,1,200,0.35795386960009,0.233195768872703,-0.172443095861762,-0.314784636994539,0.00678238444529386,-0.00454241458466074,-0.179225480307056,-0.310242222409878,0.0601662275559528,0.00186217123709322
LIRCMOP5_BC,early,distance,1,2000,0.332370710768859,0.209934978022916,-0.185350127842129,-0.237723459141071,0.00304730064519808,-0.00215850317120409,-0.188397428487327,-0.235564955969867,0.0601662275559528,0.00169136302535794
LIRCMOP5_BC,early,distance,2,0,0.26986771562151,0.18830283443307,-0.0512922162355083,-0.264303137232365,0.00349031435251721,-0.00211223939891805,-0.0547825305880255,-0.262190897833447,0.0601662275559528,0.00260520511613147
LIRCMOP5_BC,early,distance,2,20,0.327848228606848,0.215618821826112,-0.177150249811576,-0.245786395415775,0.00385919824177526,-0.00255186128615551,-0.181009448053351,-0.243234534129619,0.0601662275559528,0.00250052105684364
LIRCMOP5_BC,early,distance,2,200,0.340662028476739,0.219971495725473,-0.189032119638072,-0.227084394442589,0.00273994699297242,-0.00193119901776322,-0.191772066631044,-0.225153195424826,0.0601662275559528,0.00188969013756184
LIRCMOP5_BC,early,distance,2,2000,0.325184039946734,0.200202144327857,-0.113552470233865,-0.317251729839528,0.0160573782714276,-0.0102535175116838,-0.129609848505292,-0.306998212327845,0.0601662275559528,0.0020009656056892
LIRCMOP5_BC,early,distance,3,0,0.26986771562151,0.18830283443307,-0.0512922162355083,-0.264303137232365,0.00349031435251721,-0.00211223939891805,-0.0547825305880255,-0.262190897833447,0.0601662275559528,0.00260520511613147
LIRCMOP5_BC,early,distance,3,20,0.315775375031934,0.20926429742226,-0.145108252754004,-0.281900536835601,0.0126372836970558,-0.00800304918674893,-0.15774553645106,-0.273897487648852,0.0601662275559528,0.00247509129686179
LIRCMOP5_BC,early,distance,3,200,0.347984406902337,0.231317504329387,-0.179905995072869,-0.277573733992559,0.0103885787173581,-0.00675215106184154,-0.190294573790227,-0.270821582930718,0.0601662275559528,0.00176080602563927
LIRCMOP5_BC,early,distance,3,2000,0.317722972552423,0.204233526216292,-0.224474234668408,-0.139079184746309,-0.0060089467270896,0.00355126063749137,-0.218465287941318,-0.1426304453838,0.0601662275559528,0.00170188427379774
LIRCMOP5_BC,late,adversarial,1,0,0.328588695565347,0.152322899500663,-0.325398648542919,0.114029999859024,-0.00365804133180443,0.00179828700848064,-0.321740607211114,0.112231712850544,0.0329413245358032,0.00707492827395944
LIRCMOP5_BC,late,adversarial,1,20,0.305309510448918,0.0890261564419185,-0.274428397322713,0.115274203425457,-0.00995344723319979,0.00527036111633997,-0.264474950089513,0.110003842309117,0.0329413245358032,0.00745093382998024
LIRCMOP5_BC,late,adversarial,1,200,0.403173577307066,0.109256982891276,-0.283165751415463,0.108974025883795,0.00352715646171598,-0.0018340941681185,-0.286692907877179,0.110808120051914,0.0329413245358032,0.0074319434163018
LIRCMOP5_BC,late,adversarial,1,2000,0.283739077965377,0.0656369039982547,-0.260497456256026,0.0660788431718717,-0.00945371730643024,0.00512993606881962,-0.251043738949596,0.060948907103052,0.0329413245358032,0.00664772832164795
LIRCMOP5_BC,late,adversarial,2,0,0.328588695565347,0.152322899500663,-0.325398648542919,0.114029999859024,-0.00365804133180443,0.00179828700848064,-0.321740607211114,0.112231712850544,0.0329413245358032,0.00707492827395944
LIRCMOP5_BC,late,adversarial,2,20,0.278009309378051,0.0748296559432135,-0.308235962843486,0.0583504007372413,-0.0089436666061692,0.00469153842833025,-0.299292296237317,0.053658862308911,0.0329413245358032,0.00766041768019247
LIRCMOP5_BC,late,adversarial,2,200,0.393993317161713,0.051259112732781,-0.188674050016607,0.100437033129045,0.00520358065326426,-0.00266525356315939,-0.193877630669872,0.103102286692204,0.0329413245358032,0.00692566586373907
LIRCMOP5_BC,late,adversarial,2,2000,0.270984356620987,0.0263242518833852,-0.293268106699044,0.0351945954238417,0.00042496624227699,-0.000232228305912621,-0.293693072941321,0.0354268237297544,0.0329413245358032,0.00767587230470376
LIRCMOP5_BC,late,adversarial,3,0,0.328588695565347,0.152322899500663,-0.325398648542919,0.114029999859024,-0.00365804133180443,0.00179828700848064,-0.321740607211114,0.112231712850544,0.0329413245358032,0.00707492827395944
LIRCMOP5_BC,late,adversarial,3,20,0.310271094464294,0.124053838774281,-0.341582830561847,0.0821779403788502,-0.00826290361829876,0.00432408440758118,-0.333319926943548,0.0778538559712691,0.0329413245358032,0.00800739399881558
