problem,stage,loss,addedUpdates,streams,exactDistanceRatioGeoMean,seenObjectiveGapRatioGeoMean,singletonObjectiveGapRatioGeoMean,conditionalSeenGapRatioGeoMean,reverseCoverageGapRatioGeoMean,directionErrorRatioGeoMean
LIRCMOP8_BC,early,distance,20.0,3,1.0919580283425712,1.1385932518891437,1.1902622165343264,1.1155032850217765,0.5651722661140205,1.2864047408241979
LIRCMOP8_BC,early,distance,200.0,3,1.058250441289741,1.1581349517499575,1.1555633614055083,1.1170673079012559,0.9820013848222408,1.238205242667465
LIRCMOP8_BC,early,distance,2000.0,3,1.0306057201808645,1.5331246784632324,1.5617461824145575,1.3353877289351044,1.4606634445130895,0.8783523374715059
LIRCMOP8_BC,late,adversarial,20.0,3,0.9584809332520255,1.0388288661434983,0.8471518142154226,1.1056665784831023,1.298933691773801,0.8789581127012707
LIRCMOP8_BC,late,adversarial,200.0,3,0.9015230048545655,1.0798520364950426,1.0929976476619117,1.1179026135316597,1.3962871583999417,0.9100429998228202
LIRCMOP8_BC,late,adversarial,2000.0,3,0.9129608867234777,1.0413229231539447,1.0232980736170083,1.1405530314115924,1.7524615978030753,0.8872475508089205
LIRCMOP8_BC,late,distance,20.0,3,1.1107549236240675,1.2757295717754744,1.0778783804026744,1.1858673077180513,0.7944434844896824,1.3390187946989536
LIRCMOP8_BC,late,distance,200.0,3,1.027974517851297,1.068458591647712,1.0826031408629315,0.9876545783680803,0.8826641200812778,0.9814739681752408
LIRCMOP8_BC,late,distance,2000.0,3,1.0403898991796157,1.1020438521941796,1.0967326903783972,1.1243500714359997,1.0493233510942992,1.0317319845735395
LIRCMOP8_BC,middle,adversarial,20.0,3,1.020293267078503,1.1733712590602199,1.2847561155340026,1.252598783015171,1.0167742610318757,1.7974544180410554
LIRCMOP8_BC,middle,adversarial,200.0,3,0.9728515178749244,1.031758100314173,1.0652082750742495,1.031084633123991,0.8714357839365529,0.7667232054291219
LIRCMOP8_BC,middle,adversarial,2000.0,3,0.8607556636070031,0.9507773203472568,0.9414155413743739,1.0677402145752672,1.4610429077575042,0.9913896578977088
LIRCMOP8_BC,middle,distance,20.0,3,1.0759068454275178,1.1349394261253598,1.22257468109584,1.092396542923871,0.8497368784460929,1.3780454310064627
LIRCMOP8_BC,middle,distance,200.0,3,1.1062795414135407,1.0758941149772239,1.0513762608385875,1.0335455603442012,0.6428412946300119,1.0650235293988872
LIRCMOP8_BC,middle,distance,2000.0,3,1.0517038415734536,0.9671921348415097,0.9498688394026366,1.0469148105644441,0.951911737971263,1.580257192642447
