problem,run,condition_mode,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP2_BC,3,ref_tau,23,51,1,0.17,51,0,0.0108232744602432,0.023979843224429,51,20,3,0.00266973773752814,62.7450980392157,0.776847316658045,1.09095647573152,0,9,11,20,0,0.392156862745098,0.155269673562829,0.169961506811181,0,0.170712027552853,NaN,0.65,0.036895613647398,0,0.159394748909224,0.171006038067323,0.174492110077112,0.169331312678332,0,400,51,502,502,193,309,83,18,100,18,5132,0,54,54,54,54,51,51,51,51,51,0,20
DASCMOP2_BC,3,ref_tau,24,57,1,0.19,57,0,0.0111752098938477,0.021845323303707,57,20,3,0.00298382453017851,56.140350877193,0.724505464994518,1.05667924838104,0,7,13,20,0,0.350877192982456,0.423578318953876,0.454297001921423,0,0.454531719581721,NaN,0.65,0.0351239338862981,0,0.427633721244784,0.455303056912681,0.45866127502328,0.444974189112276,0,400,51,502,502,197,305,91,20,100,20,5860,0,60,60,60,60,57,57,57,57,57,0,20
DASCMOP2_BC,3,ref_tau,25,54,1,0.18,54,0,0.00938970034371115,0.0258575676877261,54,20,3,0.00282678113385332,59.2592592592593,0.751030484563946,1.01688331415482,0,8,12,20,0,0.37037037037037,0.143195635720481,0.178326242900534,0,0.17920295230993,NaN,0.8,0.0494179305641108,0,0.149466949599489,0.18009671712134,0.18042378966778,0.179974744670445,0,400,57,514,514,199,315,88,19,100,19,5435,0,57,57,57,57,54,54,54,54,54,0,20
DASCMOP2_BC,3,ref_tau,26,51,1,0.17,51,0,0.0083778193568127,0.0250543140730716,51,20,3,0.00266973773752814,62.7450980392157,0.725213652469848,1.08623760335344,0,10,10,20,12,0.392156862745098,0.00641342741946525,0.0308128710321268,0,0.0322460188513487,NaN,0.75,0.072147042569019,0.705882352941177,0.0126218224199489,0.0325416012803879,0.0364206982655465,0.0245754448202788,0.6,400,54,508,508,206,302,82,18,100,18,4703,0,54,54,54,54,51,51,51,51,51,0,20
DASCMOP2_BC,3,ref_tau,27,48,1,0.16,48,0,0.00840363712495365,0.0206964955151251,48,20,3,0.00251269434120295,66.6666666666667,0.76414288692405,1.08623760335344,0,8,12,20,3,0.416666666666667,0.0751343770933571,0.115705266432259,0,0.116228536240896,NaN,0.5,-0.00691242858182056,0.375,0.078056583946241,0.11642991392543,0.10385204148086,0.117354497740037,0.15,400,51,502,502,186,316,94,19,100,19,5802,0,57,57,57,57,48,48,48,48,48,0,20
DASCMOP2_BC,3,ref_tau,28,57,1,0.19,57,0,0.00817298767543492,0.022265212257336,57,20,3,0.00298382453017851,56.140350877193,0.776847316658045,1.10552065410238,0,5,15,20,13,0.350877192982456,0.00847931880339978,0.0171088732752449,0,0.0229621800932733,NaN,0.45,-0.00971930391226933,0.473684210526316,0.0149110099163331,0.0247179456341058,0.0262595387362758,0.0231763525319359,0.65,400,48,496,496,197,299,95,21,92,21,5730,0,63,63,63,63,57,57,57,57,57,0,20
DASCMOP2_BC,3,ref_tau,29,53,1,0.18,53,0,0.00860980677257997,0.0207998794530941,53,20,3,0.00277443333507826,60.377358490566,0.772886400585244,1.08623760335344,0,7,13,20,7,0.377358490566038,0.0508509010334724,0.0772495022273302,0,0.0772495022273302,NaN,0.6,0.0411628851462911,0.277777777777778,0.0532589475406631,0.077413107242744,0.0761436921567142,0.0785338822814791,0.35,400,57,514,514,202,312,105,20,96,20,6882,0,60,60,60,60,53,53,53,53,53,0,20
DASCMOP2_BC,3,ref_tau,30,57,1,0.19,57,0,0.00902511504967547,0.021327742818022,57,20,3,0.00298382453017851,56.140350877193,0.772886400585244,1.10552065410238,0,6,14,20,14,0.350877192982456,0.0183566959717693,0.0388730831434123,0,0.0388730831434123,NaN,0.55,0.0515273729820229,0.368421052631579,0.0214101567587652,0.0390964058499466,0.0394912404250171,0.0354030386371083,0.7,400,53,506,506,202,304,102,21,98,21,5993,0,63,63,63,63,57,57,57,57,57,0,20
DASCMOP2_BC,3,ref_tau,31,69,1,0.23,69,0,0.00652977948027708,0.019240941060685,69,20,3,0.00361199811547924,46.3768115942029,0.758617884390858,0.99490341543133,0,3,17,20,10,0.289855072463768,0.0191887001304721,0.0304834599703318,0,0.0308827887535697,NaN,0.85,0.105575905922952,0.478260869565217,0.0208022918807759,0.0310023156872382,0.0223493258407125,0.0314472075338515,0.5,400,57,514,514,195,319,108,24,100,24,7373,0,72,72,72,72,69,69,69,69,69,0,20
DASCMOP2_BC,3,ref_tau,32,66,1,0.22,66,0,0.00407271772190647,0.0110353833669138,66,20,3,0.00345495471915406,48.4848484848485,0.765752142488051,1.08623760335344,0,3,17,20,3,0.303030303030303,0.0997760624753853,0.136404439826195,0,0.137116987690385,NaN,0.7,0.0353971803295124,0.227272727272727,0.103742388100431,0.137399855677077,0.114029082632747,0.13769455532868,0.15,400,69,538,538,220,318,122,24,100,24,7884,0,72,72,72,72,66,66,66,66,66,0,20
