problem,seed,mode,guideQuota,guideFull,firstModelFE,firstGuidedFE,trainingEvents,postModelQuotaOccupancy,quotaOccupancy,fallbackRate,positiveUseRate,modelServiceRate,queryRate,nativeBandRate,projectionMedian,coarseIntervalProposals,certifiedIntervalProposals,nativeCertifiedBandRate,pendingPassRate,fullEvaluationRate,uniqueGuidedUpdateRate,logShrinkPerGuideFE,netGapReduction,survivedP1,survivedP2,retainedP1After1,retainedP1After5,retainedP1After10,penalizedGapAUC,pairCoverageAUC,IGDAUC,HVAUC,finalIGD,finalHV,trainingSeconds,wallSeconds,searchFE,CalObjRows,CalConRows
LIRCMOP6_BC,3,pair_only,9980,5054,Inf,4699,0,NaN,0.506412825651303,0.493587174348697,0.627254509018036,0,0.6285140562249,1,NaN,57757,98743,0.630945686900958,0.0322939297124601,1,0.952314998021369,4.79342918300588,105.900196697922,0.329244163039177,0.26790660862683,1288,543,261,3.76473300506142,0.256593186372745,0.86044792225046,0.0898474436063921,0.0131691216847597,0.19298150086928,0,73.5338620833333,100000,200000,100000
LIRCMOP7_BC,1,cgan,9980,9580,4200,4281,473,1,0.959919839679359,0.0400801603206413,0.959919839679359,0.961847389558233,0.961847389558233,NaN,NaN,NaN,NaN,NaN,0.04,1,0.289665970772443,0.122463259798517,9.8134190449017,0.0123173277661795,0.031419624217119,109,91,69,1.63144177389387,0.0207915831663327,0.339765295375423,0.249300101785428,0.00835136579252522,0.293679320018986,1188.29061666667,1379.359548125,100000,200000,100000
LIRCMOP7_BC,1,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,1.51535138784034,0.0103907815631263,0.334686332647483,0.250681197560506,0.00915629275822532,0.29334093026745,0,101.461242291667,100000,200000,100000
LIRCMOP7_BC,1,pair_only,9980,9552,Inf,3299,0,NaN,0.957114228456914,0.0428857715430862,0.969939879759519,0,0.971887550200803,1,NaN,32105,209895,0.867334710743802,0.0394710743801653,1,0.995079564489112,4.92231334192932,143.200904468433,0.193676716917923,0.13463149078727,1504,778,482,1.49999752365826,0.664709418837675,0.330024341885637,0.251907933601469,0.00739339512914588,0.294936300095634,0,144.041888958333,100000,200000,100000
LIRCMOP7_BC,2,cgan,9980,9640,3600,3681,467,1,0.965931863727455,0.0340681362725451,0.965931863727455,0.967871485943775,0.967871485943775,NaN,NaN,NaN,NaN,NaN,0.04,1,0.235995850622407,0.111302028174189,28.4812379911648,0.0102697095435685,0.0219917012448133,93,67,52,1.80154948989806,0.0377354709418838,0.297406023623658,0.255844788156062,0.00894111145302405,0.29358861884264,1039.15916808333,1200.33082579167,100000,200000,100000
LIRCMOP7_BC,2,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,1.85083193600151,0.0361623246492986,0.302251607683489,0.264970153689206,0.00928412694289524,0.292885915022366,0,51.8669317083333,100000,200000,100000
LIRCMOP7_BC,2,pair_only,9980,9542,Inf,3097,0,NaN,0.956112224448898,0.0438877755511022,0.971943887775551,0,0.973895582329317,1,NaN,30468,212032,0.874358762886598,0.0393484536082474,1,0.990672814923496,4.57116572859035,145.559876949944,0.192622091804653,0.0958918465730455,1431,751,437,1.56080485097821,0.657535070140281,0.281022450647638,0.266878358984701,0.00668624636608591,0.294982040699385,0,126.872118458333,100000,200000,100000
LIRCMOP7_BC,3,cgan,9980,9600,4000,4081,471,1,0.961923847695391,0.0380761523046092,0.961923847695391,0.963855421686747,0.963855421686747,NaN,NaN,NaN,NaN,NaN,0.04,1,0.313645833333333,0.111999901810453,0.405136193516029,0.0104166666666667,0.0319791666666667,91,77,56,1.59024387008436,0.0105410821643287,0.281523745825501,0.263437433642613,0.00828226400188557,0.29376464996453,826.642388583333,953.12617075,100000,200000,100000
LIRCMOP7_BC,3,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,1.7010119293644,0.0317935871743487,0.357443409419728,0.249305479592957,0.00852327111907379,0.293453700616481,0,88.9600806666667,100000,200000,100000
LIRCMOP7_BC,3,pair_only,9980,9578,Inf,2699,0,NaN,0.959719438877755,0.0402805611222445,0.971943887775551,0,0.973895582329317,1,NaN,32319,210181,0.866725773195876,0.0394969072164948,1,0.995510544998956,4.31930373866367,132.200881032003,0.152119440384214,0.100960534558363,1195,663,445,1.45028285510297,0.671132264529058,0.309255315521062,0.257037668496466,0.00665973920757684,0.295153321199711,0,50.2751045,100000,200000,100000
LIRCMOP8_BC,1,cgan,9980,9500,5000,5081,472,1,0.95190380761523,0.0480961923847695,0.95190380761523,0.953815261044177,0.953815261044177,NaN,NaN,NaN,NaN,NaN,0.04,1,0.369368421052632,0.165479234429935,9.5978807538196,0.0152631578947368,0.0345263157894737,137,114,92,1.5813120863632,0.0221543086172345,0.418140358508731,0.246102745400661,0.00773753452204754,0.294143645473835,1209.11190458333,1396.229674375,100000,200000,100000
LIRCMOP8_BC,1,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,1.77458226610597,0.00765531062124248,0.438736669593843,0.245921062683864,0.00850068300650884,0.293458574422416,0,86.6922979583333,100000,200000,100000
LIRCMOP8_BC,1,pair_only,9980,9482,Inf,4297,0,NaN,0.950100200400802,0.0498997995991984,0.959919839679359,0,0.961847389558233,1,NaN,32710,206790,0.863423799582464,0.0395908141962422,1,0.994726850875343,3.63311308525711,125.620592081604,0.186036701117908,0.135941784433664,1348,675,427,1.45929561432803,0.663797595190381,0.380892332714801,0.252338750689516,0.00685772784574695,0.294808022288839,0,141.957310333333,100000,200000,100000
LIRCMOP8_BC,2,cgan,9980,9520,4800,4881,466,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.287394957983193,0.123991332925177,0.825572554068982,0.0141806722689076,0.0311974789915966,117,85,66,1.33707392404382,0.0589178356713427,0.377171633873616,0.25729665819755,0.00801684061625868,0.293931808850607,1026.459844125,1182.122577,100000,200000,100000
LIRCMOP8_BC,2,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,1.36931155914219,0.0325851703406814,0.434238325242293,0.252323196131518,0.00765340386653883,0.294074201060604,0,87.1618925833333,100000,200000,100000
LIRCMOP8_BC,2,pair_only,9980,9462,Inf,4099,0,NaN,0.948096192384769,0.0519038076152305,0.961923847695391,0,0.963855421686747,1,NaN,27838,212162,0.884008333333333,0.039425,1,0.996512365250476,4.61666520291706,117.197962976591,0.142464595222997,0.0562248995983936,1138,679,442,1.40684143878501,0.688366733466934,0.410603950912593,0.251167809414103,0.00659736635171313,0.294932828747199,0,131.310705041667,100000,200000,100000
LIRCMOP8_BC,3,cgan,9980,9560,4400,4481,467,1,0.957915831663327,0.0420841683366733,0.957915831663327,0.959839357429719,0.959839357429719,NaN,NaN,NaN,NaN,NaN,0.04,1,0.326673640167364,0.160696279618685,47.0223307162793,0.0165271966527197,0.0393305439330544,140,112,92,1.66602943266674,0.0165430861723447,0.486939531008091,0.230287005434703,0.00819210878689462,0.293999708395493,381.238381166667,443.8199785,100000,200000,100000
LIRCMOP8_BC,3,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,1.80488964733153,0.0223446893787575,0.493459878614016,0.233287240448443,0.00771272276684019,0.29397021079714,0,86.5704612916667,100000,200000,100000
LIRCMOP8_BC,3,pair_only,9980,9458,Inf,3899,0,NaN,0.947695390781563,0.0523046092184369,0.961923847695391,0,0.963855421686747,1,NaN,33610,206390,0.859958333333333,0.0394083333333333,1,0.996510890251639,4.57367880050512,132.556623757184,0.176887291182068,0.106893635017974,1370,709,466,1.67391325513314,0.634058116232465,0.437248692982576,0.241921745920048,0.006656661044307,0.295002884431519,0,119.63069875,100000,200000,100000
