variant,maxCandidatePairsPerRef,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
pair3,3,LIRCMOP6_BC,1,30000,30183,140,132,1,0.44,132,0,0.00146187169551377,0.00496469594337555,132,20,3,0.00690990943830812,24.2424242424242,0.393276669302025,0.531181883288133,0,20,0,20,3,0.151515151515152,0.0100843622604162,0.0187623055567345,0,0.0220325017157544,NaN,0.65,0.0185128814789819,0.113636363636364,0.0163161322465927,0.0230245484747397,0.15,400,114,628,628,451,177,276,68,79,50,4297,46,144,144,144,144,132,132,132,132,132,0,20
pair3,3,LIRCMOP6_BC,1,50000,50203,231,207,1,0.69,207,0,0.00313865646764187,0.00742971078673247,207,20,3,0.0108359943464377,15.4589371980676,0.468664381391432,0.745288262621704,0,20,0,20,10,0.0966183574879227,0.003443447064409,0.0139727004414992,0,0.0198551842818943,NaN,0.75,0.0439697131939042,0.260869565217391,0.0090393376892182,0.0205456372255715,0.5,400,195,790,790,441,349,343,73,100,73,10445,0,219,219,219,219,207,207,207,207,207,0,20
pair3,3,LIRCMOP6_BC,1,70000,70003,321,63,1,0.21,63,0,0.00376569470716146,0.0141882121639493,63,20,3,0.00329791132282887,50.7936507936508,0.16008852998277,0.273442007666041,0,20,0,20,1,0.317460317460317,0.0111887511792461,0.021274796765075,0,0.0377011934934967,NaN,0.65,0.0242841448248658,0.0952380952380952,0.0162174397342343,0.039636959969915,0.05,400,69,538,538,321,217,218,26,100,26,5329,181,72,72,72,72,63,63,63,63,63,0,20
pair3,3,LIRCMOP6_BC,1,100000,100143,458,109,1,0.37,109,0,0.0183576319975983,0.0562540458721482,109,20,3,0.0057059100664817,29.3577981651376,0.183196634380826,0.320512770692003,0,20,0,20,5,0.18348623853211,0.0178996966847161,0.0354200048748064,0,0.0753581684900496,NaN,1,0.064668932549276,0.0540540540540541,0.0325249059427741,0.0762612350907268,0.25,400,114,628,628,384,244,269,58,100,58,8293,2685,113,113,113,110,109,109,109,109,109,0,20
pair3,3,LIRCMOP7_BC,1,10000,10116,47,68,1,0.24,68,0,0.0149013202189846,0.0506096125184981,68,20,3,0.00355965031670418,47.0588235294118,0.216903261914279,0.42504886158809,0,20,0,20,5,0.294117647058824,0.00588962498908052,0.0124378164632324,0,0.0182780350640823,NaN,0.7,0.0151829865498695,0.291666666666667,0.014623683957322,0.0184545914787462,0.25,400,58,516,516,367,149,119,31,95,27,2231,75,77,77,77,77,68,68,68,68,68,0,20
pair3,3,LIRCMOP7_BC,1,30000,30136,138,96,1,0.32,96,0,0.000759778458897837,0.00364306575554095,96,20,3,0.0050253886824059,33.3333333333333,0.241357132693469,0.390696406509098,0,20,0,20,4,0.208333333333333,0.00743791635800372,0.0126814445052292,0,0.0126814445052292,NaN,0.85,0.0390623496974212,0.09375,0.00767453430205173,0.0161856323047874,0.2,400,114,628,628,394,234,259,50,90,40,10183,4,120,120,120,120,96,96,96,96,96,0,20
pair3,3,LIRCMOP7_BC,1,50000,50156,229,60,1,0.2,60,0,0.00323648612859954,0.0103445655536836,60,20,3,0.00314086792650369,53.3333333333333,0.248686646910675,0.420531020343061,0,20,0,20,2,0.333333333333333,0.00699520390921114,0.0136044755136407,0,0.0305166819786146,NaN,0.75,0.0336564285385916,0.1,0.0271584229880831,0.0321538575834015,0.1,400,60,520,520,370,150,219,58,45,20,5376,27,60,60,60,60,60,60,60,60,60,0,20
pair3,3,LIRCMOP7_BC,1,70000,70176,320,186,1,0.62,186,0,0.00226914156520203,0.00848040780217222,186,20,3,0.00973669057216144,17.2043010752688,0.419127439039767,0.924011413084616,0,20,0,20,0,0.10752688172043,0.00668667855987064,0.0118684715671326,0,0.018016395891422,NaN,0.9,0.0684307418402217,0,0.00785067645821198,0.0180986158419936,0,400,201,802,802,398,404,330,67,100,67,13733,0,201,201,201,201,186,186,186,186,186,0,20
pair3,3,LIRCMOP7_BC,1,100000,100096,456,222,1,0.74,222,0,0.00205442167792003,0.00668537866068056,222,20,3,0.0116212113280637,14.4144144144144,0.448888179840403,1.23536528142854,0,20,0,20,0,0.0900900900900901,0.0135299561585911,0.0198467013426204,0,0.0200944641904682,NaN,0.7,0.0247111449618286,0,0.0147840208249076,0.0203421498416793,0,400,204,808,808,331,477,310,78,100,78,14281,0,234,234,234,234,222,222,222,222,222,0,20
pair3,3,LIRCMOP8_BC,1,10000,10162,48,44,1,0.15,44,0,0.00444369239645145,0.0170342364824123,44,20,3,0.00230330314610271,72.7272727272727,0.356306381069636,0.469014242570137,0,20,0,20,20,0.454545454545455,0.0347283369596398,0.0435005738954074,0,0.0435005738954074,NaN,1,0.0492405164730282,0.2,0.0364803303225329,0.0547985285295481,1,400,99,598,598,470,128,159,34,65,19,1258,22,53,53,53,53,44,44,44,44,44,0,20
